"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 24 기","148320552344","제 23 기","80569129356","제 22 기","19445388129","1","KRW",NA
"2","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 24 기","118577906317","제 23 기","53142469890","제 22 기","4604099375","2","KRW",NA
"3","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue","유동 당기손익-공정가치 의무 측정 금융자산","-","제 24 기","7751215950","제 23 기","8602623911","제 22 기","0","3","KRW",NA
"4","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타유동채권","-","제 24 기","12759815290","제 23 기","13185969122","제 22 기","10719096788","4","KRW",NA
"5","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 24 기","7525549987","제 23 기","4946020002","제 22 기","3425683194","5","KRW",NA
"6","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 24 기","4712870","제 23 기","1643790","제 22 기","19335010","6","KRW",NA
"7","20220322000067","11011","2021","00389110","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 24 기","1701351930","제 23 기","690402641","제 22 기","677173762","7","KRW",NA
"8","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 24 기","80672995524","제 23 기","26436088195","제 22 기","23672077749","8","KRW",NA
"9","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue","비유동 당기손익-공정가치 의무 측정 금융자산","-","제 24 기","1294904000","제 23 기","1488040000","제 22 기","1860448000","9","KRW",NA
"10","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","비유동 기타포괄손익-공정가치 측정 금융자산","-","제 24 기","105328507","제 23 기","105328507","제 22 기","105328507","10","KRW",NA
"11","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_InvestmentsInSubsidiaries","종속기업에 대한 투자자산","-","제 24 기","2456969297","제 23 기","0","제 22 기","0","11","KRW",NA
"12","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_PropertyPlantAndEquipment","유형자산","-","제 24 기","50987773582","제 23 기","17294192080","제 22 기","14807266802","12","KRW",NA
"13","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_InvestmentProperty","투자부동산","-","제 24 기","7743640144","제 23 기","0","제 22 기","0","13","KRW",NA
"14","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_IntangibleAssetsOtherThanGoodwill","영업권 이외의 무형자산","-","제 24 기","508777967","제 23 기","550204048","제 22 기","573152728","14","KRW",NA
"15","20220322000067","11011","2021","00389110","BS","재무상태표","dart_LongTermTradeAndOtherNonCurrentReceivablesGross","장기매출채권 및 기타비유동채권","-","제 24 기","0","제 23 기","0","제 22 기","0","15","KRW",NA
"16","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_OtherNoncurrentFinancialAssets","기타비유동금융자산","-","제 24 기","11093195048","제 23 기","6346817167","제 22 기","5591874976","16","KRW",NA
"17","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_DeferredTaxAssets","이연법인세자산","-","제 24 기","6482406979","제 23 기","651506393","제 22 기","734006736","17","KRW",NA
"18","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 24 기","228993547868","제 23 기","107005217551","제 22 기","43117465878","18","KRW",NA
"19","20220322000067","11011","2021","00389110","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 24 기","81878260617","제 23 기","42462067424","제 22 기","22539263396","20","KRW",NA
