"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 2 기","7774879889","제 1 기","1585318893","1","KRW",NA
"2","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 2 기","903600505","제 1 기","1585305993","2","KRW",NA
"3","20220322000096","11011","2021","01514698","BS","재무상태표","dart_ShortTermDepositsNotClassifiedAsCashEquivalents","단기금융상품","-","제 2 기","6400000000","제 1 기","","3","KRW",NA
"4","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타유동채권","-","제 2 기","471065224","제 1 기","","4","KRW",NA
"5","20220322000096","11011","2021","01514698","BS","재무상태표","dart_ShortTermAccruedIncome","미수수익","-","제 2 기","37081424","제 1 기","","5","KRW",NA
"6","20220322000096","11011","2021","01514698","BS","재무상태표","dart_ShortTermAdvancePayments","선급금","-","제 2 기","433983800","제 1 기","","6","KRW",NA
"7","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 2 기","214160","제 1 기","12900","7","KRW",NA
"8","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 2 기","0","제 1 기","0","8","KRW",NA
"9","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 2 기","7774879889","제 1 기","1585318893","9","KRW",NA
"10","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 2 기","","제 1 기","1795890","11","KRW",NA
"11","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_OtherCurrentFinancialLiabilities","기타금융부채","-","제 2 기","","제 1 기","1795890","12","KRW",NA
"12","20220322000096","11011","2021","01514698","BS","재무상태표","ifrs-full_NoncurrentLiabilities","비유동부채","-","제 2 기","1185952390","제 1 기","1169971440","13","KRW",NA
"13","20220322000096","11011","2021","01514698","BS","재무상태표","dart_ConvertibleBonds","전환사채","-","제 2 기","1181944397","제 1 기","1158097945","15","KRW",NA
"14","20220322000096","11011","2021","01514698","BS","재무상태표","-표준계정코드 미사용-","이연법인세부채","-","제 2 기","4007993","제 1 기","11873495","16","KRW",NA
