"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 10 기","27166040560","제 9 기","6189907334","제 8 기","2355388651","1","KRW",NA
"2","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 10 기","24137672129","제 9 기","5506068176","제 8 기","1664813063","2","KRW",NA
"3","20220323000809","11011","2021","01336762","BS","재무상태표","-표준계정코드 미사용-","당기손익-공정가치측정 금융자산","-","제 10 기","2003983252","제 9 기","","제 8 기","","3","KRW",NA
"4","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권및기타채권","-","제 10 기","157685021","제 9 기","543995536","제 8 기","79202689","4","KRW",NA
"5","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CurrentContractAssets","계약자산","-","제 10 기","612769506","제 9 기","73909090","제 8 기","","5","KRW",NA
"6","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 10 기","","제 9 기","31659706","제 8 기","212906519","6","KRW",NA
"7","20220323000809","11011","2021","01336762","BS","재무상태표","dart_ShortTermLoans","단기대여금","-","제 10 기","100000000","제 9 기","","제 8 기","","7","KRW",NA
"8","20220323000809","11011","2021","01336762","BS","재무상태표","-표준계정코드 미사용-","리스자산","-","제 10 기","58030688","제 9 기","","제 8 기","","8","KRW",NA
"9","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 10 기","2595670","제 9 기","993230","제 8 기","11299320","9","KRW",NA
"10","20220323000809","11011","2021","01336762","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 10 기","93304294","제 9 기","33281596","제 8 기","387167060","10","KRW",NA
"11","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 10 기","6119484049","제 9 기","3349762738","제 8 기","3906953877","11","KRW",NA
"12","20220323000809","11011","2021","01336762","BS","재무상태표","-표준계정코드 미사용-","당기손익-공정가치측정 금융자산","-","제 10 기","519448751","제 9 기","513472236","제 8 기","504995600","12","KRW",NA
"13","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_PropertyPlantAndEquipment","유형자산","-","제 10 기","695972231","제 9 기","332962328","제 8 기","284554401","13","KRW",NA
"14","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_RightofuseAssets","사용권자산","-","제 10 기","789181891","제 9 기","1500896750","제 8 기","2116694708","14","KRW",NA
"15","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_IntangibleAssetsOtherThanGoodwill","무형자산","-","제 10 기","130699622","제 9 기","166613074","제 8 기","164890818","15","KRW",NA
"16","20220323000809","11011","2021","01336762","BS","재무상태표","dart_NonCurrentDerivativeAssets","파생상품자산","-","제 10 기","3068393204","제 9 기","","제 8 기","","16","KRW",NA
"17","20220323000809","11011","2021","01336762","BS","재무상태표","dart_OtherNonCurrentAssets","기타비유동자산","-","제 10 기","915788350","제 9 기","835818350","제 8 기","835818350","17","KRW",NA
"18","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 10 기","33285524609","제 9 기","9539670072","제 8 기","6262342528","18","KRW",NA
"19","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 10 기","2323090814","제 9 기","2729744867","제 8 기","3854280747","20","KRW",NA
"20","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_TradeAndOtherCurrentPayables","매입채무및기타채무","-","제 10 기","1086662847","제 9 기","775177345","제 8 기","601294980","21","KRW",NA
"21","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CurrentContractLiabilities","계약부채","-","제 10 기","22000000","제 9 기","577256363","제 8 기","","22","KRW",NA
"22","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_ShorttermBorrowings","단기차입금","-","제 10 기","200000000","제 9 기","200000000","제 8 기","","23","KRW",NA
"23","20220323000809","11011","2021","01336762","BS","재무상태표","ifrs-full_CurrentLeaseLiabilities","리스부채","-","제 10 기","864822151","제 9 기","784375837","제 8 기","794625461","24","KRW",NA
"24","20220323000809","11011","2021","01336762","BS","재무상태표","-표준계정코드 미사용-","충당부채","-","제 10 기","57564545","제 9 기","34552211","제 8 기","","25","KRW",NA
"25","20220323000809","11011","2021","01336762","BS","재무상태표","-표준계정코드 미사용-","우선주부채","-","제 10 기","","제 9 기","","제 8 기","1154894889","26","KRW",NA
"26","20220323000809","11011","2021","01336762","BS","재무상태표","-표준계정코드 미사용-","파생상품부채","-","제 10 기","","제 9 기","","제 8 기","1203993075","27","KRW",NA
"27","20220323000809","11011","2021","01336762","BS","재무상태표","dart_OtherCurrentLiabilities","기타유동부채","-","제 10 기","92041271","제 9 기","358383111","제 8 기","99472342","28","KRW",NA
