"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220513001260","11011","2021","00799177","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 13 기","199335962899","제 12 기","174008884038","제 11 기","118949993806","1","KRW",NA
"2","20220513001260","11011","2021","00799177","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 13 기","15770907533","제 12 기","15256491081","제 11 기","8563587428","2","KRW",NA
"3","20220513001260","11011","2021","00799177","BS","재무상태표","dart_ShortTermDepositsNotClassifiedAsCashEquivalents","기타금융자산(단기)","-","제 13 기","9613000000","제 12 기","24701646657","제 11 기","10762033883","3","KRW",NA
"4","20220513001260","11011","2021","00799177","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타유동채권","-","제 13 기","103328176408","제 12 기","87701848924","제 11 기","57045861036","4","KRW",NA
"5","20220513001260","11011","2021","00799177","BS","재무상태표","-표준계정코드 미사용-","기타채권","-","제 13 기","3475887001","제 12 기","864265357","제 11 기","3654363716","5","KRW",NA
"6","20220513001260","11011","2021","00799177","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 13 기","10917665146","제 12 기","12095348747","제 11 기","7602828890","6","KRW",NA
"7","20220513001260","11011","2021","00799177","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 13 기","56230326811","제 12 기","33389283272","제 11 기","31321318853","7","KRW",NA
"8","20220513001260","11011","2021","00799177","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 13 기","322051746294","제 12 기","316335764005","제 11 기","306004542702","8","KRW",NA
"9","20220513001260","11011","2021","00799177","BS","재무상태표","ifrs-full_OtherNoncurrentFinancialAssets","기타금융자산(장기)","-","제 13 기","438787720","제 12 기","347341808","제 11 기","330916476","9","KRW",NA
"10","20220513001260","11011","2021","00799177","BS","재무상태표","dart_NonCurrentAvailableForSaleFinancialAssets","기타포괄손익공정가치측정금융자산","-","제 13 기","2693121191","제 12 기","1774595461","제 11 기","45455700","10","KRW",NA
"11","20220513001260","11011","2021","00799177","BS","재무상태표","dart_LongTermOtherReceivablesGross","기타채권(장기)","-","제 13 기","250000000","제 12 기","0","제 11 기","0","11","KRW",NA
