"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 22 기","16631705617","제 21 기","11469646067","제 20 기","19349632192","1","KRW",NA
"2","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 22 기","2195652938","제 21 기","3789749017","제 20 기","2846416128","2","KRW",NA
"3","20220816001329","11011","2021","00609315","BS","재무상태표","dart_ShortTermTradeReceivable","매출채권","-","제 22 기","1077331652","제 21 기","1664230358","제 20 기","4522435133","3","KRW",NA
"4","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 22 기","10616766856","제 21 기","3149267447","제 20 기","7560541312","4","KRW",NA
"5","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_OtherCurrentFinancialAssets","기타유동금융자산","-","제 22 기","1198736646","제 21 기","2798857446","제 20 기","4317396172","5","KRW",NA
"6","20220816001329","11011","2021","00609315","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 22 기","1537022165","제 21 기","55517879","제 20 기","93846207","6","KRW",NA
"7","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 22 기","6195360","제 21 기","12023920","제 20 기","8997240","7","KRW",NA
"8","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 22 기","45120860875","제 21 기","53865073152","제 20 기","58976494222","8","KRW",NA
"9","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","기타포괄손익-공정가치 측정 금융자산","-","제 22 기","2000","제 21 기","9494930","제 20 기","2000","9","KRW",NA
"10","20220816001329","11011","2021","00609315","BS","재무상태표","ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates","관계기업투자주식","-","제 22 기","11369711085","제 21 기","26271983157","제 20 기","30812182846","10","KRW",NA
