"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220713000282","11011","2021","01428203","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 2 기","792918296257","제 1 기","760972174175","1","KRW",NA
"2","20220713000282","11011","2021","01428203","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 2 기","64979758028","제 1 기","85223242372","2","KRW",NA
"3","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","매출채권","-","제 2 기","167151901262","제 1 기","179536281390","3","KRW",NA
"4","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","기타채권","-","제 2 기","37803589680","제 1 기","9565060117","4","KRW",NA
"5","20220713000282","11011","2021","01428203","BS","재무상태표","ifrs-full_OtherCurrentFinancialAssets","기타유동금융자산","-","제 2 기","347192746591","제 1 기","320672434232","5","KRW",NA
"6","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","선급금","-","제 2 기","9257789042","제 1 기","5453160670","6","KRW",NA
"7","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","선급비용","-","제 2 기","883688837","제 1 기","1116491730","7","KRW",NA
"8","20220713000282","11011","2021","01428203","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 2 기","","제 1 기","2977576593","8","KRW",NA
"9","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","반환제품회수권","-","제 2 기","70526511","제 1 기","111264401","9","KRW",NA
"10","20220713000282","11011","2021","01428203","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 2 기","165578296306","제 1 기","156316662670","10","KRW",NA
"11","20220713000282","11011","2021","01428203","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 2 기","1085016732326","제 1 기","956844895882","11","KRW",NA
"12","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","장기매출채권","-","제 2 기","1205493899","제 1 기","1205485127","12","KRW",NA
"13","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","기타채권","-","제 2 기","34747111970","제 1 기","48935288598","13","KRW",NA
"14","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","기타비유동금융자산","-","제 2 기","12154895208","제 1 기","1105270872","14","KRW",NA
"15","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","장기선급금","-","제 2 기","6728025639","제 1 기","2174793700","15","KRW",NA
"16","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","장기선급비용","-","제 2 기","214324272","제 1 기","298716317","16","KRW",NA
"17","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","관계기업투자","-","제 2 기","69367316914","제 1 기","","17","KRW",NA
"18","20220713000282","11011","2021","01428203","BS","재무상태표","-표준계정코드 미사용-","사용권자산","-","제 2 기","23502569452","제 1 기","4429229652","18","KRW",NA
