"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 2 기","14586161343","제 1 기","2787253480","1","KRW",NA
"2","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 2 기","2534617513","제 1 기","2787110780","2","KRW",NA
"3","20220303000452","11011","2021","01493535","BS","재무상태표","dart_ShortTermDepositsNotClassifiedAsCashEquivalents","단기금융상품","-","제 2 기","12000000000","제 1 기","0","3","KRW",NA
"4","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타유동채권","-","제 2 기","51146300","제 1 기","0","4","KRW",NA
"5","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 2 기","397530","제 1 기","142700","5","KRW",NA
"6","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 2 기","0","제 1 기","0","6","KRW",NA
"7","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 2 기","14586161343","제 1 기","2787253480","7","KRW",NA
"8","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 2 기","20051804","제 1 기","9589304","9","KRW",NA
"9","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_TradeAndOtherCurrentPayables","매입채무 및 기타유동채무","-","제 2 기","20051804","제 1 기","9589304","10","KRW",NA
"10","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_NoncurrentLiabilities","비유동부채","-","제 2 기","1920346872","제 1 기","1901523658","11","KRW",NA
"11","20220303000452","11011","2021","01493535","BS","재무상태표","dart_LongTermTradeAndOtherNonCurrentPayables","장기매입채무 및 기타비유동채무","-","제 2 기","1911066742","제 1 기","1881974340","12","KRW",NA
"12","20220303000452","11011","2021","01493535","BS","재무상태표","dart_ConvertibleBonds","전환사채","-","제 2 기","1911066742","제 1 기","1881974340","13","KRW",NA
"13","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_DeferredTaxLiabilities","이연법인세부채","-","제 2 기","9280130","제 1 기","19549318","14","KRW",NA
"14","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_Liabilities","부채총계","-","제 2 기","1940398676","제 1 기","1911112962","15","KRW",NA
"15","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_IssuedCapital","자본금","-","제 2 기","681000000","제 1 기","81000000","17","KRW",NA
"16","20220303000452","11011","2021","01493535","BS","재무상태표","dart_CapitalSurplus","자본잉여금","-","제 2 기","12022528909","제 1 기","818333409","18","KRW",NA
"17","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_RetainedEarnings","이익잉여금(결손금)","-","제 2 기","-57766242","제 1 기","-23192891","19","KRW",NA
"18","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_Equity","자본총계","-","제 2 기","12645762667","제 1 기","876140518","20","KRW",NA
"19","20220303000452","11011","2021","01493535","BS","재무상태표","ifrs-full_EquityAndLiabilities","자본과부채총계","-","제 2 기","14586161343","제 1 기","2787253480","21","KRW",NA
"20","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_Revenue","영업수익","-","제 2 기","0","제 1 기","0","0","KRW",""
"21","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","dart_OperatingExpenses","영업비용","-","제 2 기","69478000","제 1 기","20091944","1","KRW",""
"22","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","dart_OperatingIncomeLoss","영업이익(손실)","-","제 2 기","-69478000","제 1 기","-20091944","2","KRW",""
"23","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_FinanceIncome","금융수익","-","제 2 기","53727863","제 1 기","926820","3","KRW",""
"24","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_FinanceCosts","금융원가","-","제 2 기","29092402","제 1 기","10569351","4","KRW",""
"25","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_ProfitLossBeforeTax","법인세비용차감전순이익(손실)","-","제 2 기","-44842539","제 1 기","-29734475","5","KRW",""
"26","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_IncomeTaxExpenseContinuingOperations","법인세비용","-","제 2 기","10269188","제 1 기","6541584","6","KRW",""
"27","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_ProfitLoss","당기순이익(손실)","-","제 2 기","-34573351","제 1 기","-23192891","7","KRW",""
"28","20220303000452","11011","2021","01493535","CIS","포괄손익계산서","ifrs-full_OtherComprehensiveIncome","기타포괄손익","-","제 2 기","0","제 1 기","0","8","KRW",""
