"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 22 기","24479800206","제 21 기","23598075112","제 20 기","25641034599","1","KRW",NA
"2","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 22 기","5650505800","제 21 기","4968201291","제 20 기","6690771912","2","KRW",NA
"3","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타유동채권","-","제 22 기","5549148612","제 21 기","4920179351","제 20 기","5756726194","3","KRW",NA
"4","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 22 기","5232405573","제 21 기","4659866783","제 20 기","4012813146","4","KRW",NA
"5","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_OtherCurrentFinancialAssets","기타유동금융자산","-","제 22 기","6683000000","제 21 기","7833600000","제 20 기","8916160000","5","KRW",NA
"6","20220316000462","11011","2021","00407285","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 22 기","1359293131","제 21 기","1200025187","제 20 기","228135277","6","KRW",NA
"7","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 22 기","5447090","제 21 기","16202500","제 20 기","36428070","7","KRW",NA
"8","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 22 기","26043720792","제 21 기","22866983123","제 20 기","24203269219","8","KRW",NA
"9","20220316000462","11011","2021","00407285","BS","재무상태표","dart_LongTermTradeAndOtherNonCurrentReceivablesGross","기타비유동채권","-","제 22 기","1804676394","제 21 기","541971868","제 20 기","26383000","9","KRW",NA
"10","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_OtherNoncurrentFinancialAssets","기타비유동금융자산","-","제 22 기","240000000","제 21 기","341000000","제 20 기","174000000","10","KRW",NA
"11","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_PropertyPlantAndEquipment","유형자산","-","제 22 기","23818720792","제 21 기","21954011255","제 20 기","23055976944","11","KRW",NA
"12","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_IntangibleAssetsOtherThanGoodwill","무형자산","-","제 22 기","180323606","제 21 기","30000000","제 20 기","946909275","12","KRW",NA
"13","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 22 기","50523520998","제 21 기","46465058235","제 20 기","49844303818","13","KRW",NA
"14","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 22 기","15623311200","제 21 기","13298278514","제 20 기","17169808756","15","KRW",NA
"15","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_TradeAndOtherCurrentPayables","매입채무 및 기타유동채무","-","제 22 기","1698545988","제 21 기","1612136843","제 20 기","1408050090","16","KRW",NA
"16","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_ShorttermBorrowings","단기차입금","-","제 22 기","9598000000","제 21 기","10098000000","제 20 기","13762668315","17","KRW",NA
"17","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_CurrentPortionOfLongtermBorrowings","유동성장기차입금","-","제 22 기","4200000000","제 21 기","1500000000","제 20 기","1900000000","18","KRW",NA
"18","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_CurrentProvisions","충당부채","-","제 22 기","32561807","제 21 기","","제 20 기","","19","KRW",NA
"19","20220316000462","11011","2021","00407285","BS","재무상태표","dart_OtherCurrentLiabilities","기타유동부채","-","제 22 기","94203405","제 21 기","88141671","제 20 기","99090351","20","KRW",NA
"20","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_NoncurrentLiabilities","비유동부채","-","제 22 기","3137072702","제 21 기","3984738306","제 20 기","3959656187","21","KRW",NA
"21","20220316000462","11011","2021","00407285","BS","재무상태표","dart_LongTermBorrowingsGross","장기차입금","-","제 22 기","1480000000","제 21 기","2700000000","제 20 기","2700000000","22","KRW",NA
"22","20220316000462","11011","2021","00407285","BS","재무상태표","dart_PostemploymentBenefitObligations","순확정급여부채","-","제 22 기","1390979024","제 21 기","1226768222","제 20 기","1120445947","23","KRW",NA
"23","20220316000462","11011","2021","00407285","BS","재무상태표","dart_LongTermTradeAndOtherNonCurrentPayables","기타비유동채무","-","제 22 기","266093678","제 21 기","57970084","제 20 기","139210240","24","KRW",NA
"24","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_Liabilities","부채총계","-","제 22 기","18760383902","제 21 기","17283016820","제 20 기","21129464943","25","KRW",NA
"25","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_IssuedCapital","자본금","-","제 22 기","3535430000","제 21 기","3535430000","제 20 기","3535430000","27","KRW",NA
"26","20220316000462","11011","2021","00407285","BS","재무상태표","dart_ElementsOfOtherStockholdersEquity","기타불입자본","-","제 22 기","27022562435","제 21 기","27022562435","제 20 기","27019762650","28","KRW",NA
"27","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_RetainedEarnings","이익잉여금(결손금)","-","제 22 기","1205144661","제 21 기","-1375951020","제 20 기","-1840353775","29","KRW",NA
"28","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_Equity","자본총계","-","제 22 기","31763137096","제 21 기","29182041415","제 20 기","28714838875","30","KRW",NA
"29","20220316000462","11011","2021","00407285","BS","재무상태표","ifrs-full_EquityAndLiabilities","자본과부채총계","-","제 22 기","50523520998","제 21 기","46465058235","제 20 기","49844303818","31","KRW",NA
"30","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_Revenue","매출액","-","제 22 기","35296018927","제 21 기","29117320528","제 20 기","29041712400","0","KRW",""
"31","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_CostOfSales","매출원가","-","제 22 기","29511900574","제 21 기","23771344179","제 20 기","26619115141","1","KRW",""
"32","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_GrossProfit","매출총이익","-","제 22 기","5784118353","제 21 기","5345976349","제 20 기","2422597259","2","KRW",""
"33","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","dart_TotalSellingGeneralAdministrativeExpenses","판매비와관리비","-","제 22 기","3782553782","제 21 기","3608788279","제 20 기","3967918151","3","KRW",""
"34","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","dart_OperatingIncomeLoss","영업이익(손실)","-","제 22 기","2001564571","제 21 기","1737188070","제 20 기","-1545320892","4","KRW",""
"35","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_FinanceIncome","금융수익","-","제 22 기","510240310","제 21 기","289408596","제 20 기","738090619","5","KRW",""
"36","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_FinanceCosts","금융원가","-","제 22 기","320603809","제 21 기","1375491834","제 20 기","793747879","6","KRW",""
"37","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","dart_OtherGains","기타이익","-","제 22 기","662722664","제 21 기","383086658","제 20 기","497973359","7","KRW",""
"38","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","dart_OtherLosses","기타손실","-","제 22 기","142244673","제 21 기","634107600","제 20 기","144508473","8","KRW",""
"39","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_ProfitLossBeforeTax","법인세비용차감전순이익(손실)","-","제 22 기","2711679063","제 21 기","400083890","제 20 기","-1247513266","9","KRW",""
"40","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_ProfitLoss","당기순이익(손실)","-","제 22 기","2711679063","제 21 기","400083890","제 20 기","-1247513266","11","KRW",""
"41","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_OtherComprehensiveIncome","기타포괄손익","-","제 22 기","-130583382","제 21 기","64318865","제 20 기","-91295603","12","KRW",""
"42","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans","확정급여제도의 재측정요소","-","제 22 기","-130583382","제 21 기","64318865","제 20 기","-91295603","14","KRW",""
"43","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_ComprehensiveIncome","당기총포괄손익","-","제 22 기","2581095681","제 21 기","464402755","제 20 기","-1338808869","15","KRW",""
"44","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_BasicEarningsLossPerShare","기본주당이익(손실)","-","제 22 기","386","제 21 기","57","제 20 기","-178","17","KRW",""
"45","20220316000462","11011","2021","00407285","CIS","포괄손익계산서","ifrs-full_DilutedEarningsLossPerShare","희석주당이익(손실)","-","제 22 기","386","제 21 기","57","제 20 기","-178","18","KRW",""
"46","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_CashFlowsFromUsedInOperatingActivities","영업활동현금흐름","-","제 22 기","4433266521","제 21 기","4031863415","제 20 기","1536252952","0","KRW",NA
"47","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_ProfitLossForStatementOfCashFlows","당기순이익(손실)","-","제 22 기","2711679063","제 21 기","400083890","제 20 기","-1247513266","1","KRW",NA
"48","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_AdjustmentsForReconcileProfitLoss","당기순이익조정을 위한 가감","-","제 22 기","3866039712","제 21 기","4749755083","제 20 기","3009044579","2","KRW",NA
"49","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForProvisionForSeveranceIndemnities","퇴직급여","-","제 22 기","333545520","제 21 기","305396040","제 20 기","293260380","3","KRW",NA
"50","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForBadDebtExpenses","대손상각비(환입)","-","제 22 기","130352867","제 21 기","5334000","제 20 기","-29466183","4","KRW",NA
"51","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForOtherBadDebtExpenses","기타의 대손상각비(환입)","-","제 22 기","","제 21 기","35912448","제 20 기","-5208790","5","KRW",NA
"52","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForWritedownsOfInventories","재고자산평가손실","-","제 22 기","102375200","제 21 기","","제 20 기","","6","KRW",NA
"53","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForDepreciationExpense","감가상각비","-","제 22 기","3055823672","제 21 기","3274350485","제 20 기","3386255682","7","KRW",NA
"54","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForAmortisationExpense","무형자산상각비","-","제 22 기","45492421","제 21 기","160919275","제 20 기","123354028","8","KRW",NA
"55","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForLossesOnDisposalsOfIntangibleAssets","무형자산처분손실","-","제 22 기","","제 21 기","15990000","제 20 기","","9","KRW",NA
"56","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForImpairmentLossesOfIntangibleAssets","무형자산손상차손","-","제 22 기","","제 21 기","20000000","제 20 기","","10","KRW",NA
"57","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForInterestExpenses","이자비용","-","제 22 기","315675857","제 21 기","483010567","제 20 기","636179102","11","KRW",NA
"58","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForShareBasedPayment","주식보상비용","-","제 22 기","","제 21 기","2799785","제 20 기","13409497","12","KRW",NA
"59","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForGainOnForeignExchangeTranslations","외화환산손익","-","제 22 기","29012452","제 21 기","-589627522","제 20 기","64505130","13","KRW",NA
"60","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForGainOnDispositionOfTangibleAssets","유형자산처분이익","-","제 22 기","1500000","제 21 기","","제 20 기","","14","KRW",NA
"61","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForReversalsOfInventories","재고자산평가손실환입","-","제 22 기","","제 21 기","20099292","제 20 기","1056376902","15","KRW",NA
"62","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForInterestIncome","이자수익","-","제 22 기","86713373","제 21 기","106421117","제 20 기","261967212","16","KRW",NA
"63","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForGainsOnAdjustmentOfDebts","채무면제이익","-","제 22 기","","제 21 기","17064630","제 20 기","25889893","17","KRW",NA
"64","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities","영업활동으로인한자산ㆍ부채의변동","-","제 22 기","-1877292647","제 21 기","-762436368","제 20 기","163969076","18","KRW",NA
"65","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable","매출채권의 감소(증가)","-","제 22 기","-872781925","제 21 기","651273445","제 20 기","-1214717677","19","KRW",NA
"66","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForDecreaseincreaseInTradeAndOtherReceivables","기타유동채권의 감소(증가)","-","제 22 기","-139439325","제 21 기","92213268","제 20 기","-13371722","20","KRW",NA
"67","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_AdjustmentsForDecreaseIncreaseInInventories","재고자산의 감소(증가)","-","제 22 기","-674913990","제 21 기","-626954345","제 20 기","2223772683","21","KRW",NA
"68","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForDecreaseIncreaseInOtherCurrentAssets","기타유동자산의 감소(증가)","-","제 22 기","-41649267","제 21 기","-912866927","제 20 기","-135345166","22","KRW",NA
"69","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_AdjustmentsForIncreaseDecreaseInTradeAccountPayable","매입채무의 증가(감소)","-","제 22 기","-328791892","제 21 기","322021847","제 20 기","-429573002","23","KRW",NA
"70","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForIncreasedecreaseInTradeAndOtherPayables","기타유동채무의 증가(감소)","-","제 22 기","327047798","제 21 기","-102722091","제 20 기","303828708","24","KRW",NA
"71","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities","기타유동부채의 증가(감소)","-","제 22 기","6061734","제 21 기","-10948680","제 20 기","-15960374","25","KRW",NA
"72","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForIncreasedecreaseInProvisions","충당부채의 증가(감소)","-","제 22 기","32561807","제 21 기","","제 20 기","","26","KRW",NA
"73","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForIncreasedecreaseInLongTermTradeAndOtherNonCurrentPayables","기타비유동채무의 증가(감소)","-","제 22 기","114530513","제 21 기","-39697985","제 20 기","-48514174","27","KRW",NA
"74","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_AdjustmentsForIncreasedecreaseInPostemploymentBenefitObligations","퇴직금 지급액","-","제 22 기","-299918100","제 21 기","-134754900","제 20 기","-506150200","28","KRW",NA
"75","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_InterestReceivedClassifiedAsOperatingActivities","이자수취","-","제 22 기","36454309","제 21 기","114682974","제 20 기","255437679","29","KRW",NA
"76","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_InterestPaidClassifiedAsOperatingActivities","이자지급","-","제 22 기","314369326","제 21 기","490447734","제 20 기","646196806","30","KRW",NA
"77","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities","법인세의 환급","-","제 22 기","-10755410","제 21 기","-20225570","제 20 기","-1511690","31","KRW",NA
"78","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_CashFlowsFromUsedInInvestingActivities","투자활동현금흐름","-","제 22 기","-4713289613","제 21 기","-1626389796","제 20 기","1191638492","32","KRW",NA
"79","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_PurchaseOfOtherCurrentFinancialAssets","기타유동금융자산의 감소(증가)","-","제 22 기","-1378600000","제 21 기","-580000000","제 20 기","-1899800430","33","KRW",NA
"80","20220316000462","11011","2021","00407285","CF","현금흐름표","-표준계정코드 미사용-","기타유동채권의 감소(증가)","-","제 22 기","47005000","제 21 기","15995000","제 20 기","134000000","34","KRW",NA
"81","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities","유형자산의 처분","-","제 22 기","1500000","제 21 기","","제 20 기","","35","KRW",NA
"82","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities","무형자산의 처분","-","제 22 기","","제 21 기","720000000","제 20 기","","36","KRW",NA
"83","20220316000462","11011","2021","00407285","CF","현금흐름표","dart_PurchaseOfOtherNonCurrentFinancialAssets","기타비유동금융자산의 감소(증가)","-","제 22 기","127000000","제 21 기","167000000","제 20 기","12000000","37","KRW",NA
"84","20220316000462","11011","2021","00407285","CF","현금흐름표","-표준계정코드 미사용-","기타비유동채권의감소(증가)","-","제 22 기","-1115000000","제 21 기","-603000000","제 20 기","37903909","38","KRW",NA
"85","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities","유형자산의 취득","-","제 22 기","4702578586","제 21 기","2172384796","제 20 기","868065847","39","KRW",NA
"86","20220316000462","11011","2021","00407285","CF","현금흐름표","ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities","무형자산의 취득","-","제 22 기","195816027","제 21 기","","제 20 기","","40","KRW",NA
