"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2000-08-24",6026,6026,6026,6026,223110
"2000-08-25",5725,5776,5323,5323,101455
"2000-08-28",4696,5274,4696,4876,1635695
"2000-08-29",4972,5450,4776,5449,1069209
"2000-08-30",5424,5977,5072,5122,907276
"2000-08-31",5023,5274,4841,5122,263565
"2000-09-01",5123,5223,4947,5012,238496
"2000-09-04",4771,5012,4771,4997,172670
"2000-09-05",5023,5424,4907,5198,440419
"2000-09-06",5299,5299,4947,4947,231572
"2000-09-07",4947,4972,4596,4605,216216
"2000-09-08",4575,4696,4424,4570,163428
"2000-09-14",4244,4470,4044,4188,93104
"2000-09-15",4117,4238,3817,3897,132613
"2000-09-18",3676,3676,3431,3430,127025
"2000-09-19",3430,3566,3430,3450,215650
"2000-09-20",3450,3545,3359,3480,213126
"2000-09-21",3506,3506,3063,3315,167428
"2000-09-22",3300,3441,3163,3164,290365
"2000-09-25",2787,3265,2787,2998,305349
"2000-09-26",3014,3098,2914,3013,201528
"2000-09-27",2913,3375,2913,3375,294212
"2000-09-28",3459,3676,3365,3611,256599
"2000-09-29",3641,3717,3441,3551,169093
"2000-10-02",3551,3590,3400,3500,78826
"2000-10-04",3365,3717,3239,3581,216559
"2000-10-05",3661,4007,3610,3982,420151
"2000-10-06",4068,4319,4017,4168,551865
"2000-10-09",4068,4490,3868,4219,442561
"2000-10-10",4219,4289,3972,4043,148902
"2000-10-11",3918,4038,3566,3716,122307
"2000-10-12",3591,3717,3466,3616,69815
"2000-10-13",3214,3665,3189,3566,78039
"2000-10-16",3666,3978,3666,3892,141374
"2000-10-17",3912,4103,3736,3917,181776
"2000-10-18",3917,3968,3717,3967,76521
"2000-10-19",4017,4268,3968,4018,207182
"2000-10-20",4264,4264,3917,3927,115547
"2000-10-23",3827,3992,3666,3767,51565
"2000-10-24",3772,3868,3721,3867,79576
"2000-10-25",3766,3902,3766,3797,50446
"2000-10-26",3917,4193,3807,3967,238902
"2000-10-27",4093,4440,4093,4439,660864
"2000-10-30",4469,4957,4219,4219,1260701
"2000-10-31",4519,4720,4219,4520,1014200
"2000-11-01",4519,4765,4368,4520,386580
"2000-11-02",4394,4765,4394,4510,372182
"2000-11-03",4671,4696,4349,4394,346571
"2000-11-06",4320,4506,4300,4409,205005
"2000-11-07",4470,4480,4224,4419,156795
"2000-11-08",4444,4444,4244,4259,81427
"2000-11-09",4219,4505,4178,4424,188884
"2000-11-10",4495,4922,4450,4620,532287
"2000-11-13",4620,4626,4228,4314,194444
"2000-11-14",4323,4560,4323,4465,176073
"2000-11-15",4720,4998,4720,4997,267810
"2000-11-16",5374,5575,4771,5012,842988
"2000-11-17",5013,5123,4862,5022,228307
"2000-11-20",5047,5625,5023,5625,698532
"2000-11-21",5574,6201,5122,5826,862764
"2000-11-22",5675,5977,5374,5524,410240
"2000-11-23",5323,5399,4927,5273,284757
"2000-11-24",5423,5625,5012,5173,185213
"2000-11-27",5273,5474,5122,5323,220622
"2000-11-28",5323,5323,4971,5047,123041
"2000-11-29",4922,5649,4885,5474,773292
"2000-11-30",5475,5650,4978,5122,373693
"2000-12-01",5023,5374,4978,5122,312313
"2000-12-04",5072,5299,4978,5022,203263
"2000-12-05",5022,5122,4681,5047,341106
"2000-12-06",5147,5248,4826,4831,218695
"2000-12-07",4771,4932,4671,4801,150789
"2000-12-08",4822,5098,4812,4922,193362
"2000-12-11",4921,4991,4821,4881,123825
"2000-12-12",4846,4885,4775,4816,102731
"2000-12-13",4771,5374,4747,5374,257557
"2000-12-14",5525,5725,5198,5424,443192
"2000-12-15",5274,5399,5123,5173,127933
"2000-12-18",5274,5701,5174,5374,338379
"2000-12-19",5198,5374,5072,5273,201454
"2000-12-20",5273,5273,4922,5047,99238
"2000-12-21",4771,5274,4771,5273,155784
"2000-12-22",5273,5625,5122,5248,565044
"2000-12-26",5524,5776,5398,5750,389889
"2001-01-02",5393,5943,5338,5695,212474
"2001-01-03",5585,5750,5448,5558,162560
"2001-01-04",5805,5970,5612,5613,318044
"2001-01-05",5557,5832,5448,5640,171025
"2001-01-08",5502,5695,5502,5585,161101
"2001-01-09",5530,5750,5502,5613,185497
"2001-01-10",5641,6164,5503,5668,519771
"2001-01-11",5778,5861,5530,5640,166962
"2001-01-12",5805,6301,5668,5778,571846
"2001-01-15",6053,6465,5998,6466,651093
"2001-01-16",6796,7044,6356,6438,499238
"2001-01-17",6328,6383,5778,6218,260598
"2001-01-18",6328,6439,5888,6053,163178
"2001-01-19",6108,6217,5915,5943,148326
"2001-01-22",5833,6191,5833,6053,226619
"2001-01-26",6053,6109,5861,5915,142225
"2001-01-29",6025,6576,5832,6163,363131
"2001-01-30",6163,6740,6163,6273,365908
"2001-01-31",6218,6548,5971,6245,150407
"2001-02-01",6164,6328,6025,6053,133681
"2001-02-02",5915,6135,5887,5943,96858
"2001-02-05",5943,5998,5778,5778,88599
"2001-02-06",5943,6328,5943,6053,264610
"2001-02-07",5998,6218,5832,6025,155033
"2001-02-08",6025,6080,5915,5943,54000
"2001-02-09",5887,6108,5860,5998,119327
"2001-02-12",5915,6053,5915,5998,68181
"2001-02-13",6135,6163,5943,6025,99562
"2001-02-14",6025,6658,5942,6411,524255
"2001-02-15",6328,7154,6164,7153,413516
"2001-02-16",7429,8007,7209,8006,380018
"2001-02-19",8529,8942,8062,8254,566416
"2001-02-20",8474,8693,8033,8474,277324
"2001-02-21",8255,9327,8255,8254,492293
"2001-02-22",7978,8199,7263,7263,333226
"2001-02-23",7429,7594,6768,7401,265948
"2001-02-26",7263,7648,6878,7043,218006
"2001-02-27",7373,7621,7043,7236,351828
"2001-02-28",6933,7125,6850,6988,112810
"2001-03-02",6988,7098,6328,6851,166435
"2001-03-05",6603,7125,6493,7126,142523
"2001-03-06",7043,7483,6905,7043,142667
"2001-03-07",7209,7319,7017,7098,134954
"2001-03-08",7235,7924,7180,7759,457667
"2001-03-09",7594,7951,7429,7594,176651
"2001-03-12",7456,7594,7070,7208,179936
"2001-03-13",6603,6933,6520,6603,142756
"2001-03-14",6769,6988,6769,6823,130872
"2001-03-15",6548,7017,6410,6961,165652
"2001-03-16",6824,7071,6824,6823,78769
"2001-03-19",6631,7043,6631,6878,77324
"2001-03-20",7043,7043,6824,6878,69038
"2001-03-21",6658,6824,6658,6741,58701
"2001-03-22",6769,6796,6521,6576,52593
"2001-03-23",6603,6961,6548,6741,56530
"2001-03-26",6768,6906,6768,6878,47069
"2001-03-27",6769,6879,6631,6686,27326
"2001-03-28",6713,6878,6602,6658,44756
"2001-03-29",6465,6713,6383,6521,28914
"2001-03-30",6521,6658,6383,6493,37205
"2001-04-02",6521,6714,6328,6713,32438
"2001-04-03",6438,6603,6410,6603,30544
"2001-04-04",6411,6576,6356,6438,18550
"2001-04-06",6603,6713,6410,6466,43703
"2001-04-09",6438,6493,6190,6218,21025
"2001-04-10",6246,6411,6080,6245,49847
"2001-04-11",6272,6410,6272,6328,32800
"2001-04-12",6438,6465,6273,6356,30183
"2001-04-13",6410,6795,6356,6658,72554
"2001-04-16",6714,6714,6466,6576,36747
"2001-04-17",6383,6547,6383,6466,46287
"2001-04-18",6493,6879,6493,6741,125325
"2001-04-19",6879,7154,6741,6906,284417
"2001-04-20",7017,7017,6658,6823,80316
"2001-04-23",6824,6906,6714,6768,97822
"2001-04-24",6603,6962,6603,6713,60223
"2001-04-25",6714,6769,6603,6713,56881
"2001-04-26",6713,7263,6658,7016,369457
"2001-04-27",7099,7099,6769,6823,87572
"2001-04-30",6989,7044,6824,6906,111742
"2001-05-02",7017,7374,7017,7153,239333
"2001-05-03",7263,8007,7044,8006,646399
"2001-05-04",8144,8584,7786,8309,1380541
"2001-05-07",8804,9300,8033,8034,1195097
"2001-05-08",8255,8255,7732,7951,225772
"2001-05-09",8033,8088,7373,7704,281354
"2001-05-10",7511,7814,7511,7786,168545
"2001-05-11",7539,7924,7539,7594,128244
"2001-05-14",7456,7897,7456,7814,173977
"2001-05-15",7758,7924,7594,7704,114718
"2001-05-16",7621,7814,7566,7594,78560
"2001-05-17",7676,7951,7648,7841,157910
"2001-05-18",7840,7924,7648,7759,73237
"2001-05-21",7813,7869,7703,7759,96101
"2001-05-22",7814,8033,7676,8034,141935
"2001-05-23",8199,8557,8062,8061,316327
"2001-05-24",8062,8062,7732,7814,112558
"2001-05-25",8255,8255,7925,8006,129962
"2001-05-28",7841,8364,7814,7951,110565
"2001-05-29",7951,8007,7869,7924,77629
"2001-05-30",7869,8062,7841,7924,58986
"2001-05-31",7814,8255,7814,8199,126207
"2001-06-01",8254,8308,7978,7979,70945
"2001-06-04",7978,8391,7978,8089,225164
"2001-06-05",8255,8282,7924,7924,89791
"2001-06-07",7869,8007,7786,7924,55182
"2001-06-08",7869,8034,7814,7924,74962
"2001-06-11",7925,8282,7925,8144,122553
"2001-06-12",8199,9107,8089,9107,693231
"2001-06-13",9657,10179,9630,10180,495572
"2001-06-14",11006,11391,10098,11390,1875147
"2001-06-15",11225,12629,11116,11721,1501143
"2001-06-18",11831,12270,10317,10317,1413916
"2001-06-19",10454,10538,9546,9795,1360592
"2001-06-20",9905,10235,9327,9767,1440391
"2001-06-21",9905,10235,9382,9932,1093651
"2001-06-22",10180,10290,9520,9822,1180330
"2001-06-25",9822,10015,9189,9272,495950
"2001-06-26",9271,9904,9162,9520,825148
"2001-06-27",9686,9795,9163,9244,401062
"2001-06-28",9245,9685,9079,9437,483733
"2001-06-29",9657,10235,9575,9685,725033
"2001-07-02",9630,9685,9355,9437,260189
"2001-07-03",9464,9575,9300,9409,183233
"2001-07-04",9355,9382,8914,8997,285256
"2001-07-05",8832,9163,8612,8859,283114
"2001-07-06",8859,9134,8694,8887,243779
"2001-07-09",8749,9079,8336,9079,292020
"2001-07-10",9245,9409,8915,8914,185007
"2001-07-11",8530,8860,8475,8667,141796
"2001-07-12",8804,9162,8748,8997,202384
"2001-07-13",8997,9245,8694,8859,193283
"2001-07-16",9024,9079,8805,9052,159049
"2001-07-18",9163,9355,8915,9244,284512
"2001-07-19",9107,9244,8859,8997,131265
"2001-07-20",8832,8915,8530,8722,134778
"2001-07-23",8556,8777,7841,7979,176482
"2001-07-24",7703,8474,7483,8474,170542
"2001-07-25",8309,8419,8007,8006,80921
"2001-07-26",8144,8309,8034,8116,63898
"2001-07-27",8337,8942,8282,8722,169135
"2001-07-30",8777,8777,8418,8612,75219
"2001-07-31",8447,8749,8447,8639,58647
"2001-08-01",8667,9135,8667,8859,125474
"2001-08-02",8969,8969,8666,8804,78468
"2001-08-03",8859,9409,8831,9272,347869
"2001-08-06",9409,10125,9409,9960,848870
"2001-08-07",9905,10291,9740,9905,366319
"2001-08-08",9823,10015,9464,9547,175257
"2001-08-09",9300,9905,9300,9575,261796
"2001-08-10",9437,9960,9437,9877,272537
"2001-08-13",10016,10208,9823,9905,183951
"2001-08-14",9905,10016,9657,9905,162448
"2001-08-16",9794,10235,9739,10070,152621
"2001-08-17",10069,10345,9794,10042,389009
"2001-08-20",9850,9932,9685,9822,98587
"2001-08-21",9905,9960,9630,9822,71490
"2001-08-22",9575,10098,9575,9960,120625
"2001-08-23",9739,10015,9712,9795,70623
"2001-08-24",9905,10317,9850,10015,305673
"2001-08-27",10125,10291,9932,10097,255894
"2001-08-28",10291,10785,10291,10620,581855
"2001-08-29",10731,10840,10290,10345,311706
"2001-08-30",10401,10455,9988,10427,161609
"2001-08-31",9739,10208,9739,10070,160156
"2001-09-03",10070,10317,9905,10152,95670
"2001-09-04",10069,10510,9987,10262,159116
"2001-09-05",10290,10290,10042,10180,50093
"2001-09-06",10262,10565,10125,10538,143738
"2001-09-07",10455,10895,10345,10400,222984
"2001-09-10",10346,10401,10125,10152,76986
"2001-09-11",10098,10235,9657,9685,165345
"2001-09-12",8529,8777,8529,8612,258982
"2001-09-13",8804,9438,8694,9437,283927
"2001-09-14",9217,9355,8309,8914,161853
"2001-09-17",8584,9079,8336,8997,117538
"2001-09-18",9190,9795,9190,9575,185438
"2001-09-19",9795,10016,9465,9630,128558
"2001-09-20",9794,9878,9300,9354,57350
"2001-09-21",9080,9190,8860,9189,61486
"2001-09-24",9190,9465,9079,9299,60623
"2001-09-25",9630,9740,9245,9244,110099
"2001-09-26",9244,9464,9107,9272,58226
"2001-09-27",9134,9905,9134,9465,143526
"2001-09-28",9685,9823,9575,9630,78883
"2001-10-04",9905,10016,9768,9767,113469
"2001-10-05",9657,9932,9575,9685,59853
"2001-10-08",9464,9685,9409,9465,32938
"2001-10-09",9574,9822,9519,9657,64270
"2001-10-10",9657,10813,9657,10813,765332
"2001-10-11",11087,11335,10454,10565,414090
"2001-10-12",10620,11170,10372,10785,394474
"2001-10-15",10924,11611,10621,10620,492566
"2001-10-16",10730,11885,10730,11886,674975
"2001-10-17",12022,13151,11803,12656,1038170
"2001-10-18",12381,14169,12215,14169,687980
"2001-10-19",15022,15188,13427,13536,586852
"2001-10-22",13042,13923,13042,13812,273170
"2001-10-23",13922,14032,13069,13206,203991
"2001-10-24",13014,14086,12903,13509,485033
"2001-10-25",13509,13922,13152,13261,120778
"2001-10-26",13096,14830,13096,14775,546816
"2001-10-29",14802,15490,14472,14747,166561
"2001-10-30",14472,15683,14197,15022,292947
"2001-10-31",14775,15269,14472,14609,125419
"2001-11-01",14582,14775,14114,14417,135363
"2001-11-02",14582,14665,13756,13977,183907
"2001-11-05",13976,14252,13783,14032,68433
"2001-11-06",14031,14389,13867,13894,103810
"2001-11-07",13923,14583,13867,14142,189514
"2001-11-08",14141,14306,13756,13757,110888
"2001-11-09",13757,14004,13482,13591,77966
"2001-11-12",13646,14857,13646,14417,248149
"2001-11-13",14416,14802,14031,14279,150387
"2001-11-14",14417,14472,14115,14197,113909
"2001-11-15",14060,14224,13564,13591,157190
"2001-11-16",13371,13592,12958,13234,175652
"2001-11-19",13069,13701,12986,13399,166900
"2001-11-20",13619,14775,13619,14307,361208
"2001-11-21",14306,14967,14142,14747,225218
"2001-11-22",14857,15243,14445,15105,171322
"2001-11-23",15105,15683,14912,15132,148853
"2001-11-26",15132,15407,14802,15022,113902
"2001-11-27",15132,15572,14967,15407,116351
"2001-11-28",15407,16123,14307,14582,179608
"2001-11-29",14306,14968,14032,14967,66271
"2001-11-30",15132,15270,14857,15022,49862
"2001-12-03",14720,15435,14720,15297,73329
"2001-12-04",15353,16068,15242,15407,85158
"2001-12-05",15627,15682,15352,15517,46933
"2001-12-06",15518,15793,15022,15242,48747
"2001-12-07",15243,15573,14968,15352,76488
"2001-12-10",15353,15655,15160,15160,39095
"2001-12-11",15022,15132,14583,14582,46999
"2001-12-12",14857,15242,14857,15187,60335
"2001-12-13",15407,16178,15050,15820,133124
"2001-12-14",15903,17719,15821,17718,375548
"2001-12-17",17939,19370,16729,17718,280390
"2001-12-18",17719,18049,16949,17003,117226
"2001-12-19",16783,17334,15958,16288,84522
"2001-12-20",16563,18104,16563,18049,422030
"2001-12-21",18159,19480,17498,18681,353841
"2001-12-24",19150,19150,17829,18241,157029
"2001-12-26",17994,18545,17967,18159,102206
"2001-12-27",17783,17899,17149,17206,121080
"2001-12-28",17321,18014,17207,17437,86994
"2002-01-02",17610,18130,17610,17957,83762
"2002-01-03",18822,18937,17725,18188,91090
"2002-01-04",18014,18448,17899,18159,72882
"2002-01-07",18217,18361,17697,18072,64882
"2002-01-08",18245,19314,18245,19054,134045
"2002-01-09",18880,19342,18187,18476,124406
"2002-01-10",18188,18679,18014,18447,93241
"2002-01-11",18476,19285,18159,18996,204158
"2002-01-14",19054,19314,18476,18476,98185
"2002-01-15",18188,18938,17986,17985,65018
"2002-01-16",17985,18187,17379,17495,91435
"2002-01-17",16831,18073,16513,17841,52246
"2002-01-18",17841,17869,17379,17495,41524
"2002-01-21",17870,17899,17524,17668,28439
"2002-01-22",17957,17957,17668,17841,33245
"2002-01-23",17842,18852,17552,18534,151055
"2002-01-24",18535,19343,18188,19285,145201
"2002-01-25",19342,19573,18765,18851,116946
"2002-01-28",19111,19920,18996,19227,124290
"2002-01-29",19342,19342,18418,18938,48734
"2002-01-30",18419,18621,18245,18303,41740
"2002-01-31",18390,18765,18390,18707,37977
"2002-02-01",18706,19255,18706,18880,43907
"2002-02-04",18937,19342,17783,18101,40712
"2002-02-05",17899,18072,17610,17870,27856
"2002-02-06",17668,18072,17639,18014,16003
"2002-02-07",17524,17986,17524,17552,20863
"2002-02-08",17552,17899,17552,17870,19392
"2002-02-14",18072,18476,17956,18245,18238
"2002-02-15",18245,18852,18245,18851,37374
"2002-02-18",18880,18996,18591,18649,18407
"2002-02-19",18649,18996,18244,18418,276816
"2002-02-20",18475,19862,18475,19573,213303
"2002-02-21",19920,20613,19227,19573,165443
"2002-02-22",19921,19921,19228,19285,41467
"2002-02-25",19285,19804,19054,19169,51705
"2002-02-26",19083,19602,18967,19111,90317
"2002-02-27",19285,19342,19054,19313,110450
"2002-02-28",19255,20266,19054,19544,109000
"2002-03-04",19573,21479,19545,21190,275068
"2002-03-05",22230,22287,20382,20382,164810
"2002-03-06",20728,21046,20151,20613,54134
"2002-03-07",20757,21017,20209,20237,58376
"2002-03-08",19863,20122,19602,19631,43726
"2002-03-11",19747,20613,19458,20613,53034
"2002-03-12",21075,23067,21075,21710,299342
"2002-03-13",22518,23528,21941,22633,194066
"2002-03-14",21998,22634,21767,22576,46258
"2002-03-15",22344,23470,22344,22749,53778
"2002-03-18",22778,24452,22749,24192,93337
"2002-03-19",23961,25203,23961,24250,101565
"2002-03-20",25116,25694,23846,24250,159684
"2002-03-21",24019,24452,23701,23904,34162
"2002-03-22",23673,24539,23413,24077,54973
"2002-03-25",23846,24509,23730,23961,27178
"2002-03-26",23673,23847,22807,22835,37081
"2002-03-27",22488,23672,22488,22980,40129
"2002-03-28",23096,23384,22229,22258,31127
"2002-03-29",22518,22807,22230,22691,24850
"2002-04-01",22576,23789,22576,23615,49079
"2002-04-02",23499,23875,23211,23615,37663
"2002-04-03",23904,24077,23096,23095,36741
"2002-04-04",22807,23096,22692,22922,22908
"2002-04-08",23096,23268,22575,23095,32189
"2002-04-09",23210,23615,22806,23124,34050
"2002-04-10",23153,23153,22749,22807,22924
"2002-04-11",22634,23327,22634,23326,17350
"2002-04-12",22634,23499,22634,23499,11590
"2002-04-15",23500,23847,23211,23759,14025
"2002-04-16",23730,24077,23558,24077,34040
"2002-04-17",24077,24366,23846,24077,29930
"2002-04-18",23933,24019,23441,23499,22118
"2002-04-19",23153,23499,22258,22258,54672
"2002-04-22",21941,21941,20612,21363,79716
