"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2002-01-15",12145,12145,12145,12145,11010
"2002-01-16",12145,13576,11954,13575,93796
"2002-01-17",14116,14848,12908,12908,60011
"2002-01-18",12717,13226,12177,12622,19787
"2002-01-21",12717,13480,12463,12463,27026
"2002-01-22",12463,12463,11827,12145,25916
"2002-01-23",12018,13576,12018,13544,53819
"2002-01-24",13353,13353,12399,12399,25463
"2002-01-25",13226,13226,12145,12717,12507
"2002-01-28",13989,14243,12622,14243,19012
"2002-01-29",14625,15197,13353,13385,16247
"2002-01-30",13163,14975,12813,14625,85211
"2002-01-31",14593,16374,13989,16373,89053
"2002-02-01",16882,18249,14752,14879,71941
"2002-02-04",15642,15642,14053,14179,17413
"2002-02-05",13480,13989,12527,13480,21617
"2002-02-06",13862,14053,13099,13353,13440
"2002-02-07",13353,13480,12781,12780,11343
"2002-02-08",12654,13989,12654,13925,11144
"2002-02-14",14243,14243,13353,13448,8979
"2002-02-15",13926,13926,13163,13353,16937
"2002-02-18",13703,13703,13099,13130,11511
"2002-02-19",13194,13639,13099,13162,12008
"2002-02-20",13035,13353,11636,12717,24513
"2002-02-21",12717,13671,12717,13544,9233
"2002-02-22",13671,14498,13035,14497,11199
"2002-02-25",14498,15197,13798,13989,15671
"2002-02-26",14434,14434,13544,13544,13572
"2002-02-27",13989,13989,13067,13353,10990
"2002-02-28",13194,13671,13035,13162,53526
"2002-03-04",13353,13353,13004,13098,13094
"2002-03-05",13131,13608,12972,13226,25601
"2002-03-06",13035,13258,12908,13162,9967
"2002-03-07",13258,13862,13067,13353,15559
"2002-03-08",13830,13830,13163,13321,9452
"2002-03-11",13353,14180,13099,14179,38508
"2002-03-12",14498,14625,13608,14625,20395
"2002-03-13",14879,15102,14116,14434,31308
"2002-03-14",13767,14243,13385,13512,33505
"2002-03-15",13671,13926,13480,13734,30800
"2002-03-18",13989,14243,13735,13861,21841
"2002-03-19",13957,14498,13735,14243,41488
"2002-03-20",14275,14752,13798,14243,29094
"2002-03-21",14243,14339,13894,14116,15823
"2002-03-22",14434,15134,14085,14879,67156
"2002-03-25",14943,15642,14784,14815,43744
"2002-03-26",15134,15833,14593,15451,47595
"2002-03-27",15579,16405,14943,14942,36227
"2002-03-28",15388,16405,15261,15769,87838
"2002-03-29",15897,15897,15007,15260,30341
"2002-04-01",15770,17073,15007,15260,220504
"2002-04-02",15388,15960,13480,14625,114602
"2002-04-03",15229,15229,14148,14815,40308
"2002-04-04",14561,15261,14116,14529,104594
"2002-04-08",14561,16215,14561,15896,135709
"2002-04-09",15897,15960,14243,14307,102107
"2002-04-10",13989,14243,13226,13321,65493
"2002-04-11",13480,13767,13163,13480,34805
"2002-04-12",13290,13798,13162,13702,42822
"2002-04-15",13926,13989,13544,13798,18952
"2002-04-16",13798,13798,13353,13607,26915
"2002-04-17",13608,14180,13417,13925,40702
"2002-04-18",13926,13926,13353,13575,21750
"2002-04-19",13576,13608,13290,13289,18631
"2002-04-22",13194,13671,12590,12780,42118
"2002-04-23",12527,12717,12050,12145,34512
"2002-04-24",12145,12368,11764,11827,25559
"2002-04-25",11636,11636,11191,11445,17340
"2002-04-26",11446,11509,11191,11445,13856
"2002-04-29",11318,11573,10683,11191,10606
"2002-04-30",11223,11446,10969,11127,9164
"2002-05-02",11223,11573,11064,11477,10240
"2002-05-03",11287,11605,11160,11477,19169
"2002-05-06",11446,11573,11318,11350,10851
"2002-05-07",11223,11382,10810,11064,17938
"2002-05-08",11191,11509,11128,11413,15033
"2002-05-09",11509,11605,11160,11223,12632
"2002-05-10",11160,11160,10746,10746,11838
"2002-05-13",10746,10746,10333,10491,19303
"2002-05-14",10683,10746,10365,10428,9214
"2002-05-15",10460,10746,10428,10746,12483
"2002-05-16",10651,10810,10492,10555,6945
"2002-05-17",10492,11001,10428,10809,12172
"2002-05-20",11001,11064,10746,11064,14301
"2002-05-21",11064,11255,10714,10809,8806
"2002-05-22",10810,11573,10683,10873,20279
"2002-05-23",10905,11128,10619,10619,12633
"2002-05-24",10619,10873,10365,10491,10937
"2002-05-27",10333,10587,9856,9855,8585
"2002-05-28",9856,10174,9315,9792,6360
"2002-05-29",9792,9792,9347,9474,5081
"2002-05-30",9379,9602,9029,9188,6579
"2002-05-31",9220,9347,8839,8902,7111
"2002-06-03",8902,9220,8680,8902,7092
"2002-06-04",8775,9411,8616,9220,12119
"2002-06-05",9347,9443,9125,9124,8040
"2002-06-07",9284,9347,8902,8902,7337
"2002-06-10",8934,9220,8934,9061,6489
"2002-06-11",8934,9093,8839,8838,3523
"2002-06-12",8839,9347,8711,9092,16425
"2002-06-14",9220,9411,8998,9220,9421
"2002-06-17",9347,9665,9125,9124,17720
"2002-06-18",9157,9379,9093,9251,4769
"2002-06-19",8934,9315,8648,8838,9558
"2002-06-20",8711,8839,8521,8584,2602
"2002-06-21",8584,8648,8330,8584,2162
"2002-06-24",8266,8393,8076,8329,3305
"2002-06-25",8266,8521,7789,7821,4196
"2002-06-26",7948,8076,6899,6962,7180
"2002-06-27",6963,7217,6899,6994,2279
"2002-06-28",7154,7789,7154,7789,8738
"2002-07-02",7567,8203,7122,7821,5318
"2002-07-03",7821,8076,7630,7916,5183
"2002-07-04",7917,8362,7885,8329,8870
"2002-07-05",8203,8552,8203,8266,7035
"2002-07-08",8552,8552,8203,8457,6332
"2002-07-09",8457,9093,8457,9061,19051
"2002-07-10",8934,8998,8775,8838,6832
"2002-07-11",8775,8902,8584,8902,3262
"2002-07-12",8966,9093,8711,9092,2903
"2002-07-15",8966,9220,8743,9124,4223
"2002-07-16",8743,9093,8743,8838,4032
"2002-07-18",8839,9029,8680,8775,3269
"2002-07-19",8648,8902,8266,8743,6386
"2002-07-22",8393,8521,8203,8266,2590
"2002-07-23",8076,9220,7948,8838,4744
"2002-07-24",8489,8584,8266,8520,4272
"2002-07-25",8902,8902,8393,8457,4136
"2002-07-26",8457,8775,7853,8011,3783
"2002-07-29",8076,8266,7726,8202,5188
"2002-07-30",8203,8552,8171,8488,1732
"2002-07-31",8489,8489,8266,8457,855
"2002-08-01",7821,9029,7821,8457,6592
"2002-08-02",8521,8839,8266,8520,2237
"2002-08-05",8362,8552,8107,8552,3590
"2002-08-06",8266,8584,8076,8552,1620
"2002-08-07",8584,8743,8298,8711,5229
"2002-08-08",8743,8807,8489,8520,2125
"2002-08-09",8775,8870,8489,8775,6400
"2002-08-12",8648,8839,8393,8520,4137
"2002-08-13",8521,8616,8457,8552,2705
"2002-08-14",8521,8966,8425,8965,5829
"2002-08-16",9220,9284,8934,9220,4072
"2002-08-19",9220,9347,9093,9347,8944
"2002-08-20",9379,9602,9252,9379,2912
"2002-08-21",9284,9506,9125,9251,3689
"2002-08-22",9284,9506,9157,9283,4518
"2002-08-23",9284,9602,9157,9188,13403
"2002-08-26",9029,9474,9029,9474,4628
"2002-08-27",9474,9474,9252,9410,567
"2002-08-28",9474,9665,9157,9347,8480
"2002-08-29",9347,9506,9188,9410,3915
"2002-08-30",9411,9538,9252,9410,2900
"2002-09-02",9411,10269,9411,10173,11718
"2002-09-03",10174,10237,9856,10078,9942
"2002-09-04",9951,10365,9665,10046,13057
"2002-09-05",9951,10174,9888,9919,3791
"2002-09-06",10365,10365,9538,10110,6610
"2002-09-09",9920,9983,9347,9792,12183
"2002-09-10",9443,9983,9379,9919,3340
"2002-09-11",9856,9951,9474,9919,5595
"2002-09-12",9633,9951,9538,9919,1541
"2002-09-13",9633,9920,9570,9855,2070
"2002-09-16",9856,9856,9347,9824,2385
"2002-09-17",9602,9951,9538,9569,5999
"2002-09-18",9347,9697,9284,9697,2721
"2002-09-19",9538,9824,9411,9824,2312
"2002-09-23",9570,9824,9284,9824,2303
"2002-09-24",9570,9602,9220,9506,2478
"2002-09-25",9252,9252,8902,8902,2388
"2002-09-26",8902,9284,8680,8870,2163
"2002-09-27",8584,9188,8584,9188,1881
"2002-09-30",8902,9220,8680,9220,419
"2002-10-01",8902,8902,8711,8902,1692
"2002-10-02",8870,9029,8457,8584,3379
