"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"1990-01-03",9864,10245,9609,10246,8080
"1990-01-04",10246,10755,10182,10755,36380
"1990-01-05",10818,10946,10500,10501,40850
"1990-01-06",10500,10627,10500,10628,17620
"1990-01-08",10628,10819,10628,10819,46720
"1990-01-09",11009,11136,10945,11073,69570
"1990-01-10",11264,11264,11009,11200,118340
"1990-01-11",11137,11137,10818,10882,35950
"1990-01-12",10755,10818,10500,10628,30420
"1990-01-13",10182,10309,10118,10119,66370
"1990-01-15",9800,10182,9736,9991,88660
"1990-01-16",9991,10118,9991,10055,35710
"1990-01-17",10055,10182,10055,10055,26870
"1990-01-18",10054,10182,9991,9991,15000
"1990-01-19",9800,9991,9736,9801,29840
"1990-01-20",9927,9991,9800,9864,29420
"1990-01-22",10054,10245,9927,10119,42580
"1990-01-23",10182,10182,9927,9991,18870
"1990-01-24",9991,10118,9991,10055,42090
"1990-01-25",10054,10118,9863,9864,40720
"1990-01-29",9800,9863,9673,9864,37150
"1990-01-30",9864,9864,9673,9673,18210
"1990-01-31",9673,9863,9609,9864,56140
"1990-02-01",9863,9863,9672,9737,14050
"1990-02-02",9736,9800,9609,9737,21560
"1990-02-03",9800,9863,9736,9864,27920
"1990-02-05",9863,9863,9736,9864,12710
"1990-02-06",9864,9991,9800,9928,44940
"1990-02-07",10054,10182,9991,10119,105130
"1990-02-08",10182,10500,10182,10501,81530
"1990-02-09",10627,10691,10564,10628,130930
"1990-02-10",10627,10627,10373,10501,18120
"1990-02-12",10436,10436,10182,10246,31090
"1990-02-13",10182,10182,10055,10183,24320
"1990-02-14",10182,10245,10118,10119,14370
"1990-02-15",10118,10182,9991,10055,25150
"1990-02-16",10564,10564,10437,10565,98090
"1990-02-17",10818,10818,10564,10628,79700
"1990-02-19",10500,10564,10309,10310,28380
"1990-02-20",10245,10309,10182,10246,22830
"1990-02-21",10246,10309,10182,10183,25650
"1990-02-22",10182,10182,10054,10119,19640
"1990-02-23",10182,10245,10118,10119,18690
"1990-02-24",10054,10054,9927,9991,15580
