"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2010-08-12",9900,9900,8425,8450,1490821
"2010-08-13",8650,8800,8200,8250,314946
"2010-08-16",8250,8425,8050,8300,237478
"2010-08-17",8225,8300,7725,7900,263157
"2010-08-18",7900,8025,7700,7825,133122
"2010-08-19",7900,8200,7725,8000,161848
"2010-08-20",7874,8100,7800,7950,66300
"2010-08-23",7900,8125,7825,7825,78376
"2010-08-24",7850,7874,7725,7750,61559
"2010-08-25",7675,7900,7600,7675,56889
"2010-08-26",7724,7824,7650,7650,27973
"2010-08-27",7650,7650,7325,7350,59777
"2010-08-30",7475,7500,7325,7325,101363
"2010-08-31",7300,7449,7275,7425,38788
"2010-09-01",7450,7724,7400,7450,73112
"2010-09-02",7625,7625,7400,7500,34342
"2010-09-03",7500,7625,7450,7475,56561
"2010-09-06",7500,7575,7450,7500,40590
"2010-09-07",7500,7525,7300,7400,46461
"2010-09-08",7375,7375,7200,7225,59043
"2010-09-09",7225,7350,7125,7150,63009
"2010-09-10",7150,7249,7025,7025,58058
"2010-09-13",7050,7100,7000,7050,39465
"2010-09-14",7025,7275,7000,7225,30611
"2010-09-15",7225,7349,7125,7175,22978
"2010-09-16",7224,7324,7175,7250,17748
"2010-09-17",7325,7325,7125,7200,10581
"2010-09-20",7225,7325,7149,7175,17190
"2010-09-24",7225,7600,7225,7325,29460
"2010-09-27",7400,7450,7275,7375,25451
"2010-09-28",7375,7375,7125,7200,47101
"2010-09-29",7174,7225,7100,7150,29534
"2010-09-30",7225,7249,7150,7225,9320
"2010-10-01",7150,7275,7125,7125,28263
"2010-10-04",7075,7225,7075,7100,22383
"2010-10-05",7149,7200,7125,7175,9496
"2010-10-06",7175,7300,7175,7200,18831
"2010-10-07",7224,7324,7175,7250,21078
"2010-10-08",7300,7325,7175,7225,26850
"2010-10-11",7250,7349,7175,7275,25878
"2010-10-12",7300,7475,7300,7425,27850
"2010-10-13",7450,7450,7325,7375,14155
"2010-10-14",7375,7724,7375,7650,69710
"2010-10-15",7700,7700,7475,7650,19351
"2010-10-18",7625,7700,7475,7575,26662
"2010-10-19",7600,7675,7500,7575,22790
"2010-10-20",7574,7600,7425,7550,10622
"2010-10-21",7600,7600,7450,7500,18920
"2010-10-22",7500,7575,7425,7475,25724
"2010-10-25",7600,7725,7400,7425,50053
"2010-10-26",7475,7475,7250,7300,48812
"2010-10-27",7300,7375,7225,7375,35420
"2010-10-28",7325,7375,7300,7325,11202
"2010-10-29",7375,7425,7275,7325,19395
"2010-11-01",7400,7425,7275,7300,21995
"2010-11-02",7325,7525,7300,7500,21210
"2010-11-03",7550,7550,7400,7400,10480
"2010-11-04",7475,7475,7375,7375,4984
"2010-11-05",7449,7449,7200,7325,16622
"2010-11-08",7400,7400,7275,7275,8465
"2010-11-09",7249,7350,7249,7325,8980
"2010-11-10",7275,7350,7250,7250,14843
"2010-11-11",7249,7350,7225,7225,13049
"2010-11-12",7225,7325,7000,7075,32257
"2010-11-15",7100,7225,7075,7100,13332
"2010-11-16",7200,7200,7000,7100,12230
"2010-11-17",7075,7200,7050,7075,6390
"2010-11-18",7050,7175,7050,7100,5101
"2010-11-19",7074,7174,7074,7150,4662
"2010-11-22",7200,7300,7175,7275,6243
"2010-11-23",7275,7300,7100,7225,4800
