"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2013-08-01",18500,19050,15750,15750,2525045
"2013-08-02",15100,16350,14700,15550,1606749
"2013-08-05",15600,15650,14800,14800,378472
"2013-08-06",14800,16350,14800,15300,1172069
"2013-08-07",15700,15900,14950,15050,519364
"2013-08-08",15050,16500,14750,15300,1787181
"2013-08-09",15400,15600,14850,14850,472501
"2013-08-12",14950,15000,13100,13300,801455
"2013-08-13",13350,13500,12700,12850,402411
"2013-08-14",12900,13950,12850,12950,679934
"2013-08-16",13250,13450,12350,12350,481670
"2013-08-19",12450,12650,11800,11950,310480
"2013-08-20",12000,12100,11300,11300,259821
"2013-08-21",11400,11550,10650,10700,235855
"2013-08-22",10900,12300,10900,11300,1846477
"2013-08-23",11400,11650,11100,11150,334729
"2013-08-26",11400,11900,11300,11550,277199
"2013-08-27",11600,11750,11250,11300,139458
"2013-08-28",10900,11350,10900,11300,73648
"2013-08-29",11500,12350,11450,11700,250959
"2013-08-30",11650,11850,11350,11650,128202
"2013-09-02",11500,12450,11450,11950,398411
"2013-09-03",12250,12450,11900,12100,215497
"2013-09-04",12100,12250,11750,12000,175159
"2013-09-05",12050,12100,11700,11800,79156
"2013-09-06",11800,12000,11200,11400,130078
"2013-09-09",11500,11500,11200,11250,60913
"2013-09-10",11450,12000,11300,11500,128374
"2013-09-11",11850,12050,11550,11650,339966
"2013-09-12",11650,11800,11450,11500,113105
"2013-09-13",11600,11650,11350,11350,83850
"2013-09-16",11450,11500,11100,11100,60225
"2013-09-17",11150,11200,10850,10900,86685
"2013-09-23",10900,11050,10750,10800,76975
"2013-09-24",10850,11050,10700,10700,101208
"2013-09-25",10750,10850,10150,10150,242348
"2013-09-26",10250,10600,10150,10500,127498
"2013-09-27",10550,10800,10350,10500,125657
"2013-09-30",10500,10750,10300,10350,100418
"2013-10-01",10300,10350,9880,9920,207969
"2013-10-02",9920,10100,9790,9800,89406
"2013-10-04",9800,9950,9660,9840,47710
"2013-10-07",9850,9920,9400,9400,85846
"2013-10-08",9330,9510,9170,9410,90664
"2013-10-10",9500,10050,9430,9820,127156
"2013-10-11",10000,10100,9580,9580,90700
"2013-10-14",9610,9730,9510,9580,40643
"2013-10-15",9670,9720,9500,9530,49815
"2013-10-16",10100,10950,10000,10950,876598
"2013-10-17",11250,11400,10800,11150,953840
"2013-10-18",11200,11450,11000,11350,420270
"2013-10-21",11300,11500,10850,10850,319282
"2013-10-22",11000,11450,10700,11450,354668
"2013-10-23",11350,11450,10700,10700,293034
"2013-10-24",10600,10950,10600,10850,129285
"2013-10-25",10900,11350,10650,11300,226271
"2013-10-28",11100,11600,11050,11600,245802
"2013-10-29",11600,11700,11400,11400,172618
"2013-10-30",11500,11550,11050,11100,162434
"2013-10-31",11100,11200,10650,10650,156112
