"","StartPrice","HighPrice","LowPrice","EndPrice","Amount"
"2002-12-04",45463,45463,45463,45515,18957
"2002-12-05",50935,50935,50935,50943,30299
"2002-12-06",56987,56987,55964,57018,109310
"2002-12-09",59279,60413,55089,56506,97619
"2002-12-10",56847,56847,50032,50567,36823
"2002-12-11",49658,56606,49658,56266,49444
"2002-12-12",54972,56225,52072,54371,26555
"2002-12-13",53183,54325,50921,51590,18070
"2002-12-16",51187,54850,50793,53093,26170
"2002-12-17",54588,59377,53817,56131,81582
"2002-12-18",55593,56735,52301,53229,22145
"2002-12-20",52445,55084,51673,51830,17117
"2002-12-23",50936,52552,45627,45635,25611
"2002-12-24",43332,46750,40173,42613,16902
"2002-12-26",41826,43353,40432,40463,7871
"2002-12-27",36887,39772,36249,37170,12531
"2002-12-30",39157,39157,33477,34508,6485
"2003-01-02",34741,38544,34741,38553,11424
"2003-01-03",40786,43085,40415,42478,15726
"2003-01-06",41687,46513,40181,44883,36864
"2003-01-07",46517,47132,43351,43996,16170
"2003-01-08",44215,49154,44097,49184,60651
"2003-01-09",49283,51174,46101,50567,64665
"2003-01-10",51292,53064,44462,46146,49572
"2003-01-13",46002,49673,45750,48673,35834
"2003-01-14",48527,49024,46117,46778,19521
"2003-01-15",48027,48657,46365,48673,18193
"2003-01-16",47627,49532,46997,49304,17983
"2003-01-17",48762,54324,47123,47154,51925
"2003-01-20",46615,46615,42307,43620,21823
"2003-01-21",44735,45476,42466,43876,14125
"2003-01-22",42948,48650,42948,44372,51539
"2003-01-23",45619,46762,42320,43485,15009
"2003-01-24",44471,46770,41690,42989,45437
"2003-01-27",41325,42327,37899,38553,15298
"2003-01-28",37893,40311,37893,39200,9403
"2003-01-29",39160,39680,36380,36914,10966
"2003-01-30",36500,38903,36500,38177,7545
"2003-02-03",38028,40320,37131,39831,8028
"2003-02-04",40677,42315,39424,39951,16515
"2003-02-05",39283,44340,38787,41590,25298
"2003-02-06",41067,42202,38902,39200,9524
"2003-02-07",39160,39679,37269,38553,6047
"2003-02-10",37783,41068,37783,40839,10635
"2003-02-11",41829,43467,37787,41215,29223
"2003-02-12",42950,46101,42319,46146,25793
"2003-02-13",48141,49297,44737,45635,73073
"2003-02-14",45982,46502,43453,46146,21130
"2003-02-17",47627,50170,47508,49304,46236
"2003-02-18",49901,52436,48270,48552,61034
"2003-02-19",49910,50044,45239,46522,32598
"2003-02-20",45883,48649,45883,47530,25423
"2003-02-21",47625,47759,44726,45395,14608
"2003-02-24",45465,49010,45465,47921,21491
"2003-02-25",46505,48647,45875,46402,13659
"2003-02-26",47387,48767,45741,46402,28878
"2003-02-27",45475,46113,43577,44883,16571
"2003-02-28",45736,46358,42317,42733,14507
"2003-03-03",43588,43588,41690,42989,8635
"2003-03-04",41943,42463,39801,39831,8354
"2003-03-05",38272,39154,37130,39200,13854
"2003-03-06",38670,39434,37157,37922,4485
"2003-03-07",35492,37901,35373,36538,6273
"2003-03-10",34122,37267,34122,35651,9918
"2003-03-11",35244,35244,33990,34132,5414
"2003-03-12",33842,36763,33842,36794,10712
"2003-03-13",37905,38534,35376,35651,15254
"2003-03-14",37900,38271,36646,36914,16687
"2003-03-17",36635,36635,32453,32869,11390
"2003-03-18",34999,36127,34369,35786,10125
"2003-03-19",36638,36764,34999,35786,5766
"2003-03-20",36000,39277,36000,38944,13319
"2003-03-21",39782,40168,37892,39064,10769
"2003-03-24",39293,39679,37388,37425,15529
"2003-03-25",35241,36376,34492,35020,11322
"2003-03-26",36010,36900,35246,35907,10232
"2003-03-27",36005,36005,34233,35020,7217
"2003-03-28",34731,38527,34731,38313,18685
"2003-03-31",37769,37889,35990,37170,5157
"2003-04-01",37017,38797,36899,38553,11547
"2003-04-02",40684,41574,40054,40463,32076
