"","X2019.12","X2020.12","X2021.12"
"매출액",640,595,682
"매출원가",438,410,479
"매출총이익",203,186,202
"판매비와관리비",61,58,61
"인건비",26,26,24
"유무형자산상각비",3,4,6
"연구개발비",0,0,0
"광고선전비",0,0,0
"판매비",6,6,6
"관리비",27,22,24
"기타원가성비용",NA,NA,NA
"기타",0,0,0
"영업이익",141,127,141
"영업이익(발표기준)",141,127,141
"금융수익",29,28,52
"이자수익",17,13,12
"배당금수익",NA,0,0
"외환이익",11,14,40
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,0,NA
"금융자산평가이익",1,0,0
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",9,40,12
"이자비용",0,0,0
"외환손실",9,40,11
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,1
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",0,0,1
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",0,1,1
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",0,1,1
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",161,114,182
"법인세비용",33,22,36
"계속영업이익",128,92,145
"중단영업이익",NA,NA,NA
"당기순이익",128,92,145
"자산",1211,1260,1395
"유동자산",1079,1067,1041
"재고자산",113,111,176
"유동생물자산",NA,NA,NA
"유동금융자산",191,49,61
"매출채권및기타유동채권",74,81,83
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",0,0,0
"현금및현금성자산",702,826,720
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",131,192,355
"유형자산",102,102,99
"무형자산",2,2,1
"비유동생물자산",NA,NA,NA
"투자부동산",11,10,10
"장기금융자산",6,74,234
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",9,1,3
"이연법인세자산",NA,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",2,3,8
"기타금융업자산",NA,NA,NA
"부채",106,90,131
"유동부채",91,78,113
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",2,2,6
"유동금융부채",NA,NA,NA
"매입채무및기타유동채무",73,69,77
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",16,8,29
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",0,0,0
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",14,12,19
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",0,1,1
"장기매입채무및기타비유동채무",0,NA,1
"비유동종업원급여충당부채",5,3,9
"기타장기충당부채",NA,NA,NA
"이연법인세부채",9,8,8
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",1105,1169,1264
"자본금",6,6,6
"신종자본증권",NA,NA,NA
"자본잉여금",117,117,117
"기타자본",-144,-158,-191
"기타포괄손익누계액",NA,0,-1
"이익잉여금(결손금)",1126,1205,1333
"영업활동으로인한현금흐름",153,127,100
"당기순손익",128,92,145
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",52,80,70
"퇴직급여",6,7,7
"종업원급여",NA,3,0
"주식보상비",NA,NA,NA
"감가상각비",10,11,14
"무형자산상각비",1,1,1
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
