"","X2019.12","X2020.12","X2021.12"
"매출액",608,1010,484
"매출원가",461,905,218
"매출총이익",147,104,266
"판매비와관리비",383,329,188
"인건비",45,45,40
"유무형자산상각비",9,10,9
"연구개발비",305,216,124
"광고선전비",NA,NA,NA
"판매비",1,43,1
"관리비",24,14,14
"기타원가성비용",NA,NA,NA
"기타",0,0,0
"영업이익",-236,-224,78
"영업이익(발표기준)",-236,-224,78
"금융수익",32,72,87
"이자수익",14,10,9
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",4,0,1
"금융자산평가이익",14,62,77
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",12,115,79
"이자비용",7,18,13
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",0,NA,47
"금융자산평가손실",5,97,19
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",11,16,21
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",NA,NA,NA
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",22,33,13
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",NA,3,8
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,-182,NA
"지분법손익",NA,-182,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-227,-466,95
"법인세비용",-5,24,-32
"계속영업이익",-222,-490,127
"중단영업이익",NA,NA,NA
"당기순이익",-222,-490,127
"자산",1245,928,1075
"유동자산",1025,797,914
"재고자산",157,48,162
"유동생물자산",NA,NA,NA
"유동금융자산",583,484,445
"매출채권및기타유동채권",46,11,19
"당기법인세자산",3,2,7
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",143,80,65
"현금및현금성자산",92,172,215
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",220,132,162
"유형자산",124,84,68
"무형자산",7,4,2
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",59,26,32
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",4,4,4
"이연법인세자산",24,NA,29
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",2,14,27
"기타금융업자산",NA,NA,NA
"부채",693,741,592
"유동부채",332,696,537
"단기사채",NA,173,117
"단기차입금",50,54,30
"유동성장기부채",NA,NA,NA
"유동금융부채",6,147,60
"매입채무및기타유동채무",119,81,88
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,192,182
"당기법인세부채",NA,NA,NA
"계약부채",NA,NA,NA
"반품(환불)부채",15,0,6
"배출부채",NA,NA,NA
"기타유동부채",143,49,55
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",361,45,54
"사채",245,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",113,NA,3
"장기매입채무및기타비유동채무",3,2,23
"비유동종업원급여충당부채",NA,NA,NA
"기타장기충당부채",NA,31,NA
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,12,28
"기타금융업부채",NA,NA,NA
"자본",552,187,484
"자본금",51,54,58
"신종자본증권",NA,NA,NA
"자본잉여금",456,606,773
"기타자본",NA,-29,-23
"기타포괄손익누계액",36,36,36
"이익잉여금(결손금)",9,-481,-360
"영업활동으로인한현금흐름",-165,-2,30
"당기순손익",-222,-490,127
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",136,505,152
"퇴직급여",NA,NA,NA
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",39,46,45
"무형자산상각비",7,5,2
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,182,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",39,72,132
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
