"","."
"1",907
"2",1019
"3",-113
"4",146
"5",62
"6",8
"7",23
"8",0
"9",3
"10",50
"11",NA
"12",NA
"13",-259
"14",-259
"15",58
"16",3
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",29
"24",NA
"25",21
"26",4
"27",89
"28",18
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",49
"35",NA
"36",22
"37",NA
"38",22
"39",NA
"40",NA
"41",NA
"42",1
"43",NA
"44",NA
"45",0
"46",NA
"47",NA
"48",NA
"49",NA
"50",97
"51",NA
"52",NA
"53",NA
"54",0
"55",NA
"56",33
"57",13
"58",44
"59",0
"60",0
"61",NA
"62",NA
"63",-365
"64",19
"65",-384
"66",NA
"67",-384
"68",-380
"69",-3
"70",783
"71",500
"72",66
"73",NA
"74",247
"75",98
"76",0
"77",NA
"78",NA
"79",NA
"80",6
"81",82
"82",NA
"83",284
"84",237
"85",19
"86",NA
"87",NA
"88",13
"89",NA
"90",4
"91",NA
"92",NA
"93",11
"94",NA
"95",729
"96",647
"97",176
"98",66
"99",76
"100",69
"101",151
"102",NA
"103",82
"104",2
"105",NA
"106",NA
"107",NA
"108",25
"109",NA
"110",83
"111",NA
"112",76
"113",5
"114",2
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",54
"122",54
"123",151
"124",NA
"125",255
"126",-25
"127",0
"128",-327
"129",NA
"130",-184
"131",-384
"132",NA
"133",252
"134",NA
"135",NA
"136",1
"137",19
"138",3
"139",NA
"140",NA
"141",NA
"142",13
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",0
"149",NA
"150",NA
"151",76
"152",NA
"153",4
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",8
"163",NA
"164",30
"165",115
"166",-85
"167",NA
"168",NA
"169",-178
"170",-6
"171",2
"172",-7
"173",NA
"174",NA
"175",NA
"176",0
"177",NA
"178",-220
"179",181
"180",13
"181",4
"182",NA
"183",NA
"184",NA
"185",NA
"186",NA
"187",1
"188",5
"189",0
"190",NA
"191",NA
"192",157
"193",401
"194",109
"195",4
"196",NA
"197",NA
"198",NA
"199",NA
"200",0
"201",7
"202",9
"203",NA
"204",NA
"205",272
"206",NA
"207",357
"208",598
"209",350
"210",NA
"211",NA
"212",NA
"213",107
"214",NA
"215",140
"216",NA
"217",NA
"218",NA
"219",1
"220",240
"221",127
"222",NA
"223",NA
"224",9
"225",95
"226",2
"227",NA
"228",6
"229",NA
"230",1
"231",NA
"232",NA
"233",0
"234",1
"235",-46
"236",127
"237",82
