"","X2019.12","X2020.12","X2021.12","X2022.12"
"매출액",31756,25962,35365,37193
"매출원가",26994,21993,26016,33440
"매출총이익",4762,3968,9349,3754
"판매비와관리비",2741,2597,2968,3105
"인건비",1180,1147,1426,1446
"유무형자산상각비",235,253,270,268
"연구개발비",182,198,194,210
"광고선전비",104,74,104,102
"판매비",110,143,110,120
"관리비",784,706,766,823
"기타원가성비용",NA,NA,NA,NA
"기타",146,76,97,136
"영업이익",2021,1371,6381,649
"영업이익(발표기준)",2021,1371,6381,649
"금융수익",405,470,639,1585
"이자수익",38,24,50,101
"배당금수익",NA,NA,NA,NA
"외환이익",304,367,474,1403
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",0,10,0,3
"금융자산평가이익",14,31,21,15
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",49,38,94,62
"기타금융수익",NA,NA,NA,NA
"금융원가",686,983,784,2192
"이자비용",356,300,238,484
"외환손실",242,576,437,1526
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",1,1,NA,95
"금융자산처분손실",3,12,0,NA
"금융자산평가손실",46,28,19,6
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",18,58,80,81
"기타금융원가",20,8,9,0
"기타수익",126,579,297,327
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",19,74,100,57
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,0,0,NA
"임대료수익",NA,2,2,2
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,3,1
"충당부채환입액",NA,NA,NA,NA
"기타비용",207,354,168,160
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",9,21,65,47
"자산평가손실",NA,NA,NA,NA
"자산손상차손",NA,101,NA,33
"기타대손상각비",76,83,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA,NA
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",1658,1082,6365,209
"법인세비용",432,141,959,-39
"계속영업이익",1226,941,5406,248
"중단영업이익",274,-929,-24,NA
"당기순이익",1500,12,5382,248
"지배주주순이익",1037,-528,4358,156
"비지배주주순이익",463,540,1024,92
"자산",65271,44298,52554,52673
"유동자산",13120,16268,19065,20601
"재고자산",5737,4632,6964,9072
"유동생물자산",NA,NA,NA,NA
"유동금융자산",209,3393,2084,2708
"매출채권및기타유동채권",3942,4949,7382,6509
"당기법인세자산",157,162,158,226
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",1182,911,658,650
"현금및현금성자산",1893,2220,1820,1436
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",32835,28030,33489,32072
"유형자산",9183,9309,10001,10000
"무형자산",1605,731,677,666
"비유동생물자산",NA,NA,NA,NA
"투자부동산",3003,2782,2637,2613
"장기금융자산",5097,1623,1510,1602
"관계기업등지분관련투자자산",12807,12579,17834,16035
"장기매출채권및기타비유동채권",459,408,285,259
"이연법인세자산",293,287,221,248
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",389,311,324,647
"기타금융업자산",19315,NA,NA,NA
"부채",38168,19154,22656,23700
"유동부채",22384,10903,15612,18119
"단기사채",NA,NA,NA,1790
"단기차입금",7656,3919,6317,7343
"유동성장기부채",7476,1,2058,1724
"유동금융부채",224,194,234,392
"매입채무및기타유동채무",4343,4060,5388,5106
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",226,148,85,86
"당기법인세부채",308,312,279,266
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",2151,2270,1252,1412
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",15784,8251,7044,5581
"사채",7523,108,NA,NA
"장기차입금",2361,4375,2704,1597
"비유동금융부채",914,861,958,970
"장기매입채무및기타비유동채무",2061,208,151,187
"비유동종업원급여충당부채",123,67,21,3
"기타장기충당부채",33,35,37,39
"이연법인세부채",2742,2524,3090,2694
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",27,74,83,92
"기타금융업부채",NA,NA,NA,NA
"자본",27102,25143,29898,28973
"지배기업주주지분",24404,22333,26228,25550
"자본금",1054,1054,1054,1054
"신종자본증권",NA,NA,NA,NA
"자본잉여금",9514,9514,9521,9546
"기타자본",-48334,-48613,-48613,-48613
"기타포괄손익누계액",-1196,-1427,-692,-579
"이익잉여금(결손금)",63366,61805,64959,64143
"비지배주주지분",2699,2811,3670,3423
"영업활동으로인한현금흐름",1408,2782,-713,1682
"당기순손익",1226,941,5406,248
