"","X2019.12","X2020.12","X2021.12","X2022.12"
"(현금유입이없는수익등차감)",12448,14447,21151,29439
"금융부채관련이익",NA,NA,NA,NA
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",NA,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",2737,1333,6496,6763
"종속회사관련이익",NA,NA,NA,NA
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-408,28036,-70706,-3354
"자산의감소(증가)",10732,27050,-85133,-1516
"부채의증가(감소)",-11140,986,14427,-1838
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",76907,93246,62205,85139
"기타영업활동으로인한현금흐름",-16861,-6388,388,-23271
"이자수입",3203,3685,2796,2498
"이자지급(-)",-7602,-6244,-4338,-5608
"배당금수입",2668,2679,7821,7575
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-15130,-6509,-5890,-27736
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-36829,-62593,-55835,-42199
"투자활동으로인한현금유입액",361639,413616,414262,935634
"유동금융자산의감소",354158,405008,403364,915399
"장기금융상품의감소",NA,NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",3988,1383,5685,10870
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",625,4481,2739,3327
"관계기업등지분관련투자자산의감소",165,184,610,1694
"유형자산의감소",518,NA,NA,9
"무형자산의감소",242,790,95,77
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",121,3,38,234
"기타투자활동으로인한현금유입액",1823,1767,1730,4024
"(투자활동으로인한현금유출액)",398468,476208,470097,977833
"유동금융자산의증가",360634,433077,417975,893272
"장기금융상품의증가",NA,NA,2896,216
"매도가능금융자산의증가",NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",4506,3292,5266,10874
"기타비유동금융자산의증가",2968,3381,3008,4931
"관계기업등지분관련투자자산의증가",1604,1418,4924,5182
"유형자산의증가",25192,31969,30797,49276
"무형자산의증가",2996,3006,4311,4929
"생물자산의증가",NA,NA,NA,NA
"투자부동산의증가",193,10,919,16
