"","X2019.12","X2020.12","X2021.12"
"매출액",5497,5019,5705
"매출원가",4641,4327,4741
"매출총이익",856,693,965
"판매비와관리비",830,707,706
"인건비",372,348,334
"유무형자산상각비",52,30,34
"연구개발비",1,2,4
"광고선전비",7,3,3
"판매비",214,185,216
"관리비",183,137,112
"기타원가성비용",NA,NA,NA
"기타",1,3,4
"영업이익",26,-15,259
"영업이익(발표기준)",26,-15,259
"금융수익",24,14,17
"이자수익",24,14,17
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",133,111,85
"이자비용",133,111,85
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",118,373,143
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,1,2
"자산처분(폐기)이익",22,258,16
"자산평가이익",NA,NA,0
"자산손상차손환입",11,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",3,NA,12
"충당부채환입액",NA,NA,1
"기타비용",66,229,57
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,0
"자산처분(폐기)손실",2,9,1
"자산평가손실",1,8,0
"자산손상차손",NA,44,3
"기타대손상각비",3,3,5
"충당부채전입액",2,9,NA
"종속기업,공동지배기업및관계기업관련손익",7,-2,11
"지분법손익",7,-2,11
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-24,32,289
"법인세비용",26,9,69
"계속영업이익",-50,23,220
"중단영업이익",NA,NA,NA
"당기순이익",-50,23,220
"지배주주순이익",-90,-15,199
"비지배주주순이익",40,38,21
"자산",8340,7792,8687
"유동자산",3886,3068,3553
"재고자산",1202,1013,1268
"유동생물자산",NA,63,87
"유동금융자산",230,14,15
"매출채권및기타유동채권",1204,1085,1161
"당기법인세자산",20,21,20
"계약자산",NA,0,2
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",67,26,41
"현금및현금성자산",772,846,958
"매각예정비유동자산및처분자산집단",391,NA,NA
"비유동자산",4454,4723,5133
"유형자산",3753,3839,4219
"무형자산",93,84,89
"비유동생물자산",NA,1,1
"투자부동산",242,302,153
"장기금융자산",142,249,390
"관계기업등지분관련투자자산",185,176,193
"장기매출채권및기타비유동채권",16,29,13
"이연법인세자산",14,6,20
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",10,37,55
"기타금융업자산",NA,NA,NA
"부채",4881,4259,4820
"유동부채",4442,3523,4053
"단기사채",194,83,NA
"단기차입금",2726,2449,2868
"유동성장기부채",351,60,118
"유동금융부채",97,83,25
"매입채무및기타유동채무",685,593,730
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",11,23,38
"계약부채",13,0,12
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",366,232,260
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",438,736,767
"사채",NA,299,300
"장기차입금",228,206,163
"비유동금융부채",5,45,91
"장기매입채무및기타비유동채무",28,14,15
"비유동종업원급여충당부채",8,18,9
"기타장기충당부채",NA,2,3
"이연법인세부채",169,151,187
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",3459,3533,3867
"지배기업주주지분",2717,2753,3106
"자본금",250,273,299
"신종자본증권",NA,NA,NA
"자본잉여금",329,401,528
"기타자본",-140,-175,-186
"기타포괄손익누계액",3,-26,-15
"이익잉여금(결손금)",2276,2281,2479
"비지배주주지분",742,780,761
"영업활동으로인한현금흐름",279,140,-202
"당기순손익",-50,23,220
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",938,974,761
"퇴직급여",37,41,30
"종업원급여",NA,NA,4
"주식보상비",NA,NA,NA
"감가상각비",662,585,523
"무형자산상각비",1,1,1
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",3,3,5
"배당금지급",NA,NA,NA
"금융부채관련손실",2,9,NA
"사채상환손실",NA,13,NA
"투자자산평가손실",1,0,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,2,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",92,338,100
"금융부채관련이익",NA,NA,1
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",7,NA,11
"종속회사관련이익",NA,NA,14
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-378,-426,-990
"자산의감소(증가)",-737,-194,-1083
"부채의증가(감소)",360,-232,94
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",419,233,-108
"기타영업활동으로인한현금흐름",-140,-93,-94
"이자수입",34,18,23
"이자지급(-)",-146,-109,-94
"배당금수입",5,2,2
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-33,-4,-25
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",5,377,-53
"투자활동으로인한현금유입액",410,983,582
"유동금융자산의감소",335,85,85
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",1,150,252
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,12
"유형자산의감소",17,67,214
"무형자산의감소",1,12,5
"생물자산의감소",NA,NA,NA
"투자부동산의감소",5,3,4
"기타투자활동으로인한현금유입액",52,666,10
"(투자활동으로인한현금유출액)",406,606,636
"유동금융자산의증가",185,57,97
