"","X2019.12","X2020.12","X2021.12"
"매출액",20964,20518,23845
"매출원가",17127,16512,19972
"매출총이익",3837,4006,3873
"판매비와관리비",3022,2890,3047
"인건비",750,719,741
"유무형자산상각비",187,213,222
"연구개발비",198,212,233
"광고선전비",119,93,101
"판매비",843,836,921
"관리비",859,761,769
"기타원가성비용",NA,NA,NA
"기타",66,57,60
"영업이익",816,1116,826
"영업이익(발표기준)",816,1116,826
"금융수익",152,200,249
"이자수익",63,52,37
"배당금수익",46,77,108
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",1,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",42,72,104
"기타금융수익",NA,NA,NA
"금융원가",268,305,236
"이자비용",228,210,202
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",0,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",39,95,34
"기타금융원가",NA,NA,NA
"기타수익",272,341,271
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",1,8,7
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",23,22,19
"대손충당금환입",NA,6,NA
"충당부채환입액",NA,NA,NA
"기타비용",305,386,362
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",4,7,2
"자산평가손실",NA,NA,NA
"자산손상차손",31,107,67
"기타대손상각비",24,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",12,8,13
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",678,974,762
"법인세비용",149,204,198
"계속영업이익",529,770,564
"중단영업이익",NA,NA,NA
"당기순이익",529,770,564
"지배주주순이익",338,576,412
"비지배주주순이익",191,194,152
"자산",23882,25765,28020
"유동자산",8075,9227,9852
"재고자산",2725,2893,4097
"유동생물자산",NA,NA,NA
"유동금융자산",1894,2822,1627
"매출채권및기타유동채권",2342,2328,2802
"당기법인세자산",46,3,5
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",103,94,103
"현금및현금성자산",965,1046,1203
"매각예정비유동자산및처분자산집단",NA,40,15
"비유동자산",15807,16538,18169
"유형자산",10948,11209,11379
"무형자산",2444,2409,2617
"비유동생물자산",NA,NA,NA
"투자부동산",44,41,170
"장기금융자산",2054,2518,3640
"관계기업등지분관련투자자산",157,194,210
"장기매출채권및기타비유동채권",145,153,135
"이연법인세자산",3,7,5
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",11,7,14
"기타금융업자산",NA,NA,NA
"부채",10937,12235,13761
"유동부채",4001,4657,7492
"단기사채",NA,NA,NA
"단기차입금",1203,703,1791
"유동성장기부채",228,926,2547
"유동금융부채",111,122,62
"매입채무및기타유동채무",2242,2532,2829
