"","X2019.12","X2020.12","X2021.12"
"매출액",1269,1144,818
"매출원가",1093,1087,690
"매출총이익",176,58,128
"판매비와관리비",172,161,143
"인건비",72,77,56
"유무형자산상각비",12,16,13
"연구개발비",44,36,29
"광고선전비",0,0,0
"판매비",4,1,15
"관리비",40,31,30
"기타원가성비용",NA,NA,NA
"기타",0,0,NA
"영업이익",4,-103,-15
"영업이익(발표기준)",4,-103,-15
"금융수익",25,26,42
"이자수익",1,0,0
"배당금수익",NA,NA,NA
"외환이익",13,20,32
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",12,5,9
"기타금융수익",NA,NA,NA
"금융원가",17,92,25
"이자비용",2,2,7
"외환손실",3,44,5
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,1
"금융자산손상차손",NA,NA,NA
"파생상품손실",6,13,12
"기타금융원가",7,33,NA
"기타수익",7,7,102
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,1,96
"자산평가이익",NA,NA,NA
"자산손상차손환입",2,2,1
"임대료수익",0,3,4
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",10,22,36
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,8
"자산평가손실",NA,NA,NA
"자산손상차손",7,19,6
"기타대손상각비",NA,NA,11
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",9,-183,68
"법인세비용",-1,-37,15
"계속영업이익",11,-146,54
"중단영업이익",NA,NA,NA
"당기순이익",11,-146,54
"지배주주순이익",16,-142,61
"비지배주주순이익",-5,-4,-8
"자산",1528,1467,1605
"유동자산",618,536,708
"재고자산",27,34,9
"유동생물자산",NA,NA,NA
"유동금융자산",15,11,7
"매출채권및기타유동채권",298,183,79
"당기법인세자산",NA,NA,NA
"계약자산",174,142,224
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",11,15,28
"현금및현금성자산",93,151,362
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",910,931,898
"유형자산",748,698,617
"무형자산",48,29,33
"비유동생물자산",NA,NA,NA
"투자부동산",21,119,116
"장기금융자산",38,5,72
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",13,14,14
"이연법인세자산",24,62,41
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",232,321,384
"유동부채",230,310,214
"단기사채",NA,NA,NA
"단기차입금",140,201,94
"유동성장기부채",NA,NA,NA
"유동금융부채",0,0,1
"매입채무및기타유동채무",56,59,35
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",2,4,9
"당기법인세부채",1,1,0
"계약부채",4,21,56
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",26,24,19
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",2,11,170
"사채",NA,NA,128
"장기차입금",NA,6,6
"비유동금융부채",NA,1,32
"장기매입채무및기타비유동채무",1,2,3
"비유동종업원급여충당부채",2,3,2
"기타장기충당부채",NA,NA,NA
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",1296,1146,1221
"지배기업주주지분",1300,1151,1229
"자본금",73,73,73
"신종자본증권",NA,NA,NA
"자본잉여금",42,42,65
"기타자본",-9,-9,-9
"기타포괄손익누계액",0,0,0
"이익잉여금(결손금)",1194,1045,1099
"비지배주주지분",-4,-5,-8
"영업활동으로인한현금흐름",-83,87,74
"당기순손익",11,-146,54
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",72,101,131
"퇴직급여",19,5,2
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",19,20,21
"무형자산상각비",5,5,3
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,7
"배당금지급",NA,NA,NA
"금융부채관련손실",7,33,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,6
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",21,11,119
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-142,146,13
"자산의감소(증가)",-82,136,11
"부채의증가(감소)",-60,10,1
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",-81,90,78
"기타영업활동으로인한현금흐름",-3,-4,-4
"이자수입",1,0,0
"이자지급(-)",-2,-3,-3
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-2,-1,-1
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-30,-89,54
"투자활동으로인한현금유입액",1,8,261
"유동금융자산의감소",NA,NA,NA
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",1,0,2
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",0,1,217
"무형자산의감소",NA,2,1
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",0,5,41
"(투자활동으로인한현금유출액)",31,98,207
"유동금융자산의증가",NA,NA,57
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",2,2,3
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",26,76,88
"무형자산의증가",1,5,7
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",2,15,52
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",127,68,83
"재무활동으로인한현금유입액",236,511,343
"사채의증가",NA,NA,190
"차입금의증가",234,498,145
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,1,1
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",2,12,7
"(재무활동으로인한현금유출액)",94,436,253
"사채의감소",NA,NA,NA
"차입금의감소",94,436,252
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",NA,NA,NA
"기타금융부채의감소",NA,0,1
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,0
"기타재무활동으로인한현금흐름",-14,-7,-7
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,1,NA
"환율변동효과",-1,-8,0
"현금및현금성자산의증가",14,58,211
"기초현금및현금성자산",79,93,151
"기말현금및현금성자산",93,151,362
