"","X2019.12","X2020.12","X2021.12"
"매출액",669,727,854
"매출원가",542,667,838
"매출총이익",128,59,16
"판매비와관리비",125,127,139
"인건비",61,67,67
"유무형자산상각비",10,15,9
"연구개발비",5,3,4
"광고선전비",0,NA,NA
"판매비",14,17,24
"관리비",34,26,36
"기타원가성비용",NA,NA,NA
"기타",NA,NA,0
"영업이익",3,-68,-123
"영업이익(발표기준)",3,-68,-123
"금융수익",4,3,1
"이자수익",4,3,1
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",0,1,0
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",9,10,11
"이자비용",9,10,11
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",0,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",24,21,65
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,1
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",1,1,1
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,2
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",11,56,17
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",NA,38,NA
"기타대손상각비",NA,7,1
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",11,-110,-84
"법인세비용",1,1,1
"계속영업이익",11,-111,-86
"중단영업이익",NA,NA,NA
"당기순이익",11,-111,-86
"지배주주순이익",11,-111,-86
"비지배주주순이익",NA,NA,NA
"자산",1202,1155,1145
"유동자산",685,616,591
"재고자산",177,179,233
"유동생물자산",NA,NA,NA
"유동금융자산",158,91,61
"매출채권및기타유동채권",173,214,200
"당기법인세자산",5,1,6
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",29,43,22
"현금및현금성자산",143,88,69
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",518,539,555
"유형자산",471,491,515
"무형자산",9,6,6
"비유동생물자산",NA,NA,NA
"투자부동산",8,13,12
"장기금융자산",11,11,6
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",5,5,5
"이연법인세자산",NA,1,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",14,12,11
"기타금융업자산",NA,NA,NA
"부채",539,599,656
"유동부채",410,426,507
"단기사채",NA,NA,NA
"단기차입금",189,225,262
"유동성장기부채",46,24,79
"유동금융부채",NA,1,2
"매입채무및기타유동채무",157,159,162
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",1,2,2
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",17,15,1
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",130,173,149
"사채",NA,NA,NA
"장기차입금",108,153,131
"비유동금융부채",11,10,10
"장기매입채무및기타비유동채무",2,1,2
"비유동종업원급여충당부채",8,9,7
"기타장기충당부채",NA,NA,NA
"이연법인세부채",1,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",663,556,489
"지배기업주주지분",663,556,489
"자본금",15,15,15
"신종자본증권",NA,NA,NA
"자본잉여금",318,318,328
"기타자본",-38,-38,-28
"기타포괄손익누계액",-3,1,-4
"이익잉여금(결손금)",372,261,179
"비지배주주지분",NA,NA,NA
"영업활동으로인한현금흐름",38,-77,-51
"당기순손익",11,-111,-86
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",53,114,72
"퇴직급여",1,1,2
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",38,46,43
"무형자산상각비",2,2,3
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,7,1
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",6,4,25
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",1,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",0,-66,-3
"자산의감소(증가)",-41,-66,-174
"부채의증가(감소)",42,0,171
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",0,NA,NA
"*영업에서창출된현금흐름",58,-67,-41
