"","X2019.12","X2020.12","X2021.12","X2022.12"
"매출액",581460,591681,698624,865590
"매출원가",487666,492226,569372,685360
"매출총이익",93794,99455,129252,180230
"판매비와관리비",73697,78791,78595,107899
"인건비",13664,13034,13859,15859
"유무형자산상각비",1787,1794,1812,1785
"연구개발비",9140,8966,10468,12572
"광고선전비",12694,13007,14362,17030
"판매비",29927,36102,31427,52339
"관리비",6272,5855,6497,7900
"기타원가성비용",NA,NA,NA,NA
"기타",213,33,170,414
"영업이익",20097,20665,50657,72331
"영업이익(발표기준)",20097,20665,50657,72331
"금융수익",2378,3418,3567,6044
"이자수익",1901,1701,1419,3464
"배당금수익",29,35,36,38
"외환이익",326,1173,738,1368
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",NA,NA,NA,NA
"금융자산평가이익",NA,NA,787,559
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",123,509,588,615
"기타금융수익",NA,NA,NA,NA
"금융원가",2923,4248,3274,6624
"이자비용",1887,2345,1699,2330
"외환손실",809,1540,1096,2755
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",NA,NA,NA,NA
"금융자산평가손실",NA,NA,NA,NA
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",227,362,479,1539
"기타금융원가",NA,NA,NA,NA
"기타수익",7082,6015,6265,8105
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",58,66,85,77
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,42,46
"임대료수익",89,98,95,95
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",1,11,5,2
"충당부채환입액",NA,NA,7,2
"기타비용",6394,8051,4959,8473
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",272,303,143,197
"자산평가손실",NA,NA,NA,NA
"자산손상차손",1213,258,14,987
"기타대손상각비",NA,NA,NA,NA
"충당부채전입액",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",5071,614,11682,3637
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",25311,18414,63938,75020
"법인세비용",7044,3538,16335,20930
"계속영업이익",18267,14876,47603,54090
"중단영업이익",NA,NA,NA,NA
"당기순이익",18267,14876,47603,54090
"지배주주순이익",18267,14876,47605,54094
"비지배주주순이익",NA,NA,-1,-5
"자산",553448,604904,668500,737110
"유동자산",215554,260934,292055,341471
"재고자산",81087,70940,70877,91038
"유동생물자산",NA,NA,NA,NA
"유동금융자산",48636,46747,61313,80756
"매출채권및기타유동채권",36928,37884,37629,47999
"당기법인세자산",836,1474,2280,2458
"계약자산",NA,NA,NA,NA
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",5379,2281,4619,3680
"현금및현금성자산",42687,101607,115337,115540
"매각예정비유동자산및처분자산집단",NA,NA,NA,NA
"비유동자산",337894,343971,376445,395638
"유형자산",157467,155797,155838,153834
"무형자산",25528,26656,28315,29060
"비유동생물자산",NA,NA,NA,NA
"투자부동산",250,224,232,236
"장기금융자산",7097,6521,10525,11784
"관계기업등지분관련투자자산",139165,146136,170048,188511
"장기매출채권및기타비유동채권",2090,1986,2350,2239
"이연법인세자산",5589,5358,4830,680
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",708,1293,4306,9295
"기타금융업자산",NA,NA,NA,NA
"부채",263667,305988,319374,343679
"유동부채",172766,210976,215626,253778
"단기사채",NA,NA,NA,NA
"단기차입금",14148,44795,31078,16595
"유동성장기부채",10755,7885,13078,17686
"유동금융부채",534,504,573,736
"매입채무및기타유동채무",119441,116665,124581,152783
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",20167,32816,31660,50567
"당기법인세부채",1760,3005,7773,7374
"계약부채",NA,NA,NA,NA
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",5962,5306,6884,8037
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA,NA
"비유동부채",90900,95012,103748,89901
"사채",26671,27230,32970,30992
"장기차입금",13078,21757,16313,9452
"비유동금융부채",2066,2680,2326,2398
"장기매입채무및기타비유동채무",6411,5995,5934,7330
"비유동종업원급여충당부채",5233,3349,3225,2928
"기타장기충당부채",18394,14087,17213,17798
"이연법인세부채",14089,13655,17552,8142
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",4957,6258,8216,10862
"기타금융업부채",NA,NA,NA,NA
"자본",289781,298917,349126,393431
"지배기업주주지분",289781,298917,349104,393379
