"","X2019.12","X2020.12","X2021.12"
"영업수익",249785,262231,271736
"보험료수익",155881,162278,164579
"재보험수익",14948,12582,13226
"재보험금수익",NA,NA,NA
"이자수익",29881,30004,30174
"수수료수익",248,255,1237
"금융상품관련이익",7717,15974,15058
"배당금수익",5677,6016,6106
"위험회피회계파생상품관련이익",7056,13487,7598
"외환거래이익",14031,6976,19436
"대출채권평가및처분이익",NA,NA,NA
"기타금융자산관련이익",12261,12173,11884
"기타영업수익",2086,2484,2438
"영업비용",249291,258794,258217
"보험계약부채(책임준비금)전입액",46458,47199,43805
"비상위험준비금전입액",NA,NA,NA
"지급보험금",118797,123494,127848
"보험금비용",NA,NA,NA
"배당금비용",NA,NA,NA
"환급금비용",NA,NA,NA
"손해조사비",1162,1175,1327
"재보험비용",15842,13368,14783
"재보험료비용",NA,NA,NA
"사업비",19853,20155,17632
"신계약비상각비",12522,12503,12079
"재산관리비",1310,1235,1457
"이자비용",NA,NA,NA
"수수료비용",86,84,221
"금융상품관련손실",4754,4682,8021
"위험회피회계파생상품관련손실",17053,11400,20363
"외환거래손실",3665,15500,1475
"대출채권평가및처분손실",1281,1146,317
"기타금융자산관련손실",2561,2800,2648
"기타영업비용",3946,4054,6240
"영업이익",494,3437,13520
"영업외수익",618,409,3757
"상각채권추심이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"유가증권처분이익",NA,NA,NA
"유가증권손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"종속기업,공동지배기업및관계기업관련이익",174,99,1233
"자산처분이익",246,111,443
"자산재평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"사채상환이익",NA,NA,NA
"충당부채환입액",NA,NA,NA
"수입수수료",NA,NA,NA
"임대료",NA,NA,NA
"자산수증이익",NA,NA,NA
"보험차익",NA,NA,NA
"법인세환급액",NA,NA,NA
"전기오류수정이익",NA,NA,NA
"퇴직연금운용이익",NA,NA,NA
"보험수리적이익",NA,NA,NA
"기타영업외수익",198,199,2081
"영업외비용",763,1096,691
"기타대손상각비",NA,NA,NA
"유가증권처분손실",NA,NA,NA
"유가증권손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손실",205,52,223
"자산처분손실",154,153,24
"자산손상차손",NA,1,17
"자산재평가손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"충당부채전입액",NA,NA,NA
"지급수수료",NA,NA,NA
"기부금",110,89,75
"법인세추납액",NA,NA,NA
"전기오류수정손실",NA,NA,NA
"퇴직연금운용손실",NA,NA,NA
"보험수리적손실",NA,NA,NA
"기타영업외비용",295,803,352
"세전계속사업이익",349,2749,16585
"법인세비용",-238,667,4093
"계속영업이익",587,2082,12492
"중단영업이익",NA,NA,NA
"당기순이익",587,2082,12492
"지배주주순이익",1004,2021,11913
"비지배주주순이익",-418,61,578
"자산",1418501,1487748,1635914
"현금및예치금",19704,15583,25993
"당기손익인식(지정)금융자산",NA,NA,25
"당기손익-공정가치측정 금융자산",NA,NA,NA
"단기매매금융자산",71651,85504,153908
"매매목적파생상품자산",510,2574,1449
"위험회피파생상품자산",2470,7931,362
"매도가능금융자산",706281,720512,757501
"기타포괄손익-공정가치측정 금융자산",NA,NA,NA
"만기보유금융자산",NA,NA,NA
"상각후원가측정 유가증권",NA,NA,NA
"관계기업등지분관련투자자산",2308,2571,3679
"기타유가증권",NA,NA,NA
"상각후원가측정 금융자산",NA,NA,NA
"대출채권",288128,295963,314064
"*대출채권명목금액",288477,296995,314996
"*대손충당금",879,1507,1264
"*현재가치할인차금",16,12,5
"*이연대출부대(수익)비용",546,487,337
"기타금융업자산",NA,NA,NA
"유형자산",18550,19017,18843
"무형자산",11626,11340,11618
"투자부동산",25535,25506,24980
"비업무용자산",NA,NA,NA
"이연법인세자산",153,92,1389
"당기법인세자산",1414,1454,169
"기타자산",48889,46480,60120
"특별계정자산",221281,253221,261815
"부채",1278568,1356202,1501718
"당기손익인식(지정)금융부채",NA,NA,13567
"당기손익-공정가치측정 금융부채",NA,NA,NA
"단기매매금융부채",NA,NA,NA
"매도파생결합증권",NA,NA,NA
"매매목적파생상품부채",418,29,2752
"위험회피파생상품부채",5658,1818,7142
"보험계약부채(책임준비금)",992681,1049546,1084066
"*보험계약부채명목금액",992681,1049546,1084066
"*출재보험준비금",NA,NA,NA
"계약자지분조정",12068,12083,3484
"비상위험준비금",NA,NA,NA
"차입부채",5560,5526,69873
"기타금융업부채",NA,NA,NA
"비유동종업원급여충당부채",1738,1670,2880
"기타충당부채",165,762,897
"이연법인세부채",10662,7503,5852
"당기법인세부채",50,45,654
"기타부채",21306,21144,43087
"특별계정부채",228263,256076,267463
"자본",139933,131546,134196
"지배주주지분",126859,118769,112738
"자본금",43427,43427,43427
"신종자본증권",20563,20563,20563
"자본잉여금",4853,4853,4853
"기타자본",-9432,-9394,-9380
"기타포괄손익누계액",28206,26810,2446
"이익잉여금(결손금)",39242,32511,50831
"비지배주주지분",13074,12777,21457
"영업활동으로인한현금흐름",10075,15144,55610
"당기순손익",587,2082,12492
