"","X2019.12","X2020.12","X2021.12"
"매출액",4035,5300,5634
"매출원가",3346,4517,4592
"매출총이익",688,784,1042
"판매비와관리비",425,563,657
"인건비",140,196,293
"유무형자산상각비",50,48,67
"연구개발비",75,158,105
"광고선전비",0,NA,NA
"판매비",58,55,66
"관리비",102,90,112
"기타원가성비용",NA,NA,NA
"기타",1,15,14
"영업이익",263,221,385
"영업이익(발표기준)",263,221,385
"금융수익",42,56,57
"이자수익",3,5,5
"배당금수익",NA,NA,NA
"외환이익",30,18,40
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",9,33,1
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",1,1,12
"기타금융수익",NA,NA,NA
"금융원가",122,98,100
"이자비용",58,58,56
"외환손실",63,35,33
"대손상각비",NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",0,0,0
"금융자산손상차손",NA,NA,NA
"파생상품손실",2,5,10
"기타금융원가",NA,NA,2
"기타수익",43,137,85
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",5,12,7
"자산평가이익",NA,20,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,2,0
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",30,121,85
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",7,24,7
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",2,1,1
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,2
"기타대손상각비",0,0,0
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",197,196,343
"법인세비용",31,16,57
"계속영업이익",166,180,285
"중단영업이익",NA,NA,NA
"당기순이익",166,180,285
"지배주주순이익",162,170,285
"비지배주주순이익",4,10,0
"자산",2941,3686,4226
"유동자산",1377,1761,2301
"재고자산",434,430,904
"유동생물자산",NA,NA,NA
"유동금융자산",75,36,46
"매출채권및기타유동채권",504,735,929
"당기법인세자산",3,2,7
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",31,109,44
"현금및현금성자산",330,449,372
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",1564,1925,1925
"유형자산",1177,1496,1457
"무형자산",200,205,256
"비유동생물자산",NA,NA,NA
"투자부동산",35,38,38
"장기금융자산",42,61,71
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",6,14,16
"이연법인세자산",72,76,38
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",31,36,50
"기타금융업자산",NA,NA,NA
"부채",1947,2504,2774
"유동부채",1469,1880,2280
"단기사채",NA,NA,79
"단기차입금",840,1152,1425
"유동성장기부채",74,70,25
"유동금융부채",11,23,47
"매입채무및기타유동채무",515,622,658
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",18,4,30
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",9,8,16
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",478,623,494
"사채",13,NA,NA
"장기차입금",384,583,452
"비유동금융부채",6,5,14
"장기매입채무및기타비유동채무",49,1,2
"비유동종업원급여충당부채",27,34,26
"기타장기충당부채",0,1,1
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",994,1182,1452
"지배기업주주지분",964,1132,1402
"자본금",73,74,74
"신종자본증권",NA,NA,NA
"자본잉여금",530,540,540
"기타자본",-74,-74,-74
"기타포괄손익누계액",42,69,91
"이익잉여금(결손금)",394,523,770
"비지배주주지분",29,50,50
"영업활동으로인한현금흐름",545,123,59
"당기순손익",166,180,285
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",298,414,491
"퇴직급여",17,29,29
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",131,216,240
"무형자산상각비",20,32,34
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",0,NA,2
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,2
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",30,87,52
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,20,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",174,-294,-611
"자산의감소(증가)",-46,-178,-624
"부채의증가(감소)",220,-116,12
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",608,213,112
"기타영업활동으로인한현금흐름",-64,-89,-53
"이자수입",5,8,7
"이자지급(-)",-59,-57,-56
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-10,-40,-4
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-461,-387,-387
"투자활동으로인한현금유입액",122,245,248
"유동금융자산의감소",104,211,210
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",1,0,6
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",13,13,23
