"","Price"
"2013-03-11",3455
"2013-03-12",3450
"2013-03-13",3520
"2013-03-14",3490
"2013-03-15",3460
"2013-03-18",3460
"2013-03-19",3505
"2013-03-20",3640
"2013-03-21",3560
"2013-03-22",3600
"2013-03-25",3690
"2013-03-26",3700
"2013-03-27",3695
"2013-03-28",3630
"2013-03-29",3700
"2013-04-01",3675
"2013-04-02",3620
"2013-04-03",3580
"2013-04-04",3580
"2013-04-05",3510
"2013-04-08",3445
"2013-04-09",3400
"2013-04-10",3530
"2013-04-11",3500
"2013-04-12",3590
"2013-04-15",3590
"2013-04-16",3450
"2013-04-17",3450
"2013-04-18",3450
"2013-04-19",3460
"2013-04-22",3465
"2013-04-23",3485
"2013-04-24",3500
"2013-04-25",3440
"2013-04-26",3430
"2013-04-29",3420
"2013-04-30",3355
"2013-05-02",3445
"2013-05-03",3520
"2013-05-06",3535
"2013-05-07",3580
"2013-05-08",3660
"2013-05-09",3740
"2013-05-10",3600
"2013-05-13",3720
"2013-05-14",3870
"2013-05-15",3885
"2013-05-16",3870
"2013-05-20",3925
"2013-05-21",3940
"2013-05-22",3940
"2013-05-23",3865
"2013-05-24",3920
"2013-05-27",3980
"2013-05-28",4000
"2013-05-29",4080
"2013-05-30",3915
"2013-05-31",3895
"2013-06-03",3815
"2013-06-04",3745
"2013-06-05",3690
"2013-06-07",3680
"2013-06-10",3775
"2013-06-11",3790
"2013-06-12",3760
"2013-06-13",3695
"2013-06-14",3705
"2013-06-17",3625
"2013-06-18",3600
"2013-06-19",3665
"2013-06-20",3650
"2013-06-21",3595
"2013-06-24",3450
"2013-06-25",3230
"2013-06-26",3240
"2013-06-27",3355
"2013-06-28",3690
"2013-07-01",3565
"2013-07-02",3620
"2013-07-03",3525
"2013-07-04",3525
"2013-07-05",3510
"2013-07-08",3385
"2013-07-09",3450
"2013-07-10",3430
"2013-07-11",3530
"2013-07-12",3550
"2013-07-15",3540
"2013-07-16",3530
"2013-07-17",3575
"2013-07-18",3480
"2013-07-19",3520
"2013-07-22",3500
"2013-07-23",3540
"2013-07-24",3530
"2013-07-25",3520
"2013-07-26",3520
"2013-07-29",3480
"2013-07-30",3500
"2013-07-31",3515
"2013-08-01",3535
"2013-08-02",3660
"2013-08-05",3630
"2013-08-06",3605
"2013-08-07",3540
"2013-08-08",3545
"2013-08-09",3565
"2013-08-12",3555
"2013-08-13",3555
"2013-08-14",3540
"2013-08-16",3475
"2013-08-19",3495
"2013-08-20",3445
"2013-08-21",3350
"2013-08-22",3240
"2013-08-23",3335
"2013-08-26",3330
"2013-08-27",3305
"2013-08-28",3295
"2013-08-29",3330
"2013-08-30",3325
"2013-09-02",3305
"2013-09-03",3340
"2013-09-04",3330
"2013-09-05",3350
"2013-09-06",3405
"2013-09-09",3410
"2013-09-10",3420
"2013-09-11",3500
"2013-09-12",3580
"2013-09-13",3520
"2013-09-16",3485
"2013-09-17",3420
"2013-09-23",3350
"2013-09-24",3350
"2013-09-25",3350
"2013-09-26",3305
"2013-09-27",3370
"2013-09-30",3370
"2013-10-01",3450
"2013-10-02",3400
"2013-10-04",3340
"2013-10-07",3360
"2013-10-08",3360
"2013-10-10",3370
"2013-10-11",3395
"2013-10-14",3375
"2013-10-15",3360
"2013-10-16",3340
"2013-10-17",3310
"2013-10-18",3470
"2013-10-21",3500
"2013-10-22",3495
"2013-10-23",3470
"2013-10-24",3480
"2013-10-25",3480
"2013-10-28",3470
"2013-10-29",3475
"2013-10-30",3450
"2013-10-31",3360
"2013-11-01",3465
"2013-11-04",3410
"2013-11-05",3435
"2013-11-06",3430
"2013-11-07",3495
"2013-11-08",3600
"2013-11-11",3600
"2013-11-12",3620
"2013-11-13",3565
"2013-11-14",3590
"2013-11-15",3505
"2013-11-18",3495
"2013-11-19",3415
"2013-11-20",3400
"2013-11-21",3405
"2013-11-22",3460
"2013-11-25",3400
"2013-11-26",3365
"2013-11-27",3360
"2013-11-28",3350
"2013-11-29",3345
"2013-12-02",3345
"2013-12-03",3385
"2013-12-04",3410
"2013-12-05",3350
"2013-12-06",3340
"2013-12-09",3345
"2013-12-10",3295
"2013-12-11",3285
"2013-12-12",3285
"2013-12-13",3305
"2013-12-16",3290
"2013-12-17",3270
"2013-12-18",3315
"2013-12-19",3405
"2013-12-20",3400
"2013-12-23",3515
"2013-12-24",3505
"2013-12-26",3530
"2013-12-27",3495
"2013-12-30",3585
"2014-01-02",3470
"2014-01-03",3360
"2014-01-06",3380
"2014-01-07",3390
"2014-01-08",3365
"2014-01-09",3330
"2014-01-10",3385
"2014-01-13",3400
"2014-01-14",3430
"2014-01-15",3430
"2014-01-16",3400
"2014-01-17",3420
"2014-01-20",3465
"2014-01-21",3530
"2014-01-22",3465
"2014-01-23",3410
"2014-01-24",3395
"2014-01-27",3365
"2014-01-28",3350
"2014-01-29",3370
"2014-02-03",3385
"2014-02-04",3400
"2014-02-05",3405
"2014-02-06",3415
"2014-02-07",3390
"2014-02-10",3555
"2014-02-11",3600
"2014-02-12",3530
"2014-02-13",3590
"2014-02-14",3775
"2014-02-17",3765
"2014-02-18",3640
"2014-02-19",3805
"2014-02-20",3630
"2014-02-21",3650
"2014-02-24",4195
"2014-02-25",4150
"2014-02-26",4115
"2014-02-27",3940
"2014-02-28",4530
"2014-03-03",4450
"2014-03-04",4360
"2014-03-05",4780
"2014-03-06",4695
"2014-03-07",5000
"2014-03-10",5030
"2014-03-11",4870
"2014-03-12",4990
"2014-03-13",4970
"2014-03-14",4895
"2014-03-17",4935
"2014-03-18",4795
"2014-03-19",4780
"2014-03-20",4730
"2014-03-21",4690
"2014-03-24",4500
"2014-03-25",4400
"2014-03-26",4560
"2014-03-27",4515
"2014-03-28",4545
"2014-03-31",4450
"2014-04-01",4520
"2014-04-02",4700
"2014-04-03",4510
"2014-04-04",4425
"2014-04-07",4600
"2014-04-08",4850
"2014-04-09",4755
"2014-04-10",4645
"2014-04-11",4720
"2014-04-14",4655
"2014-04-15",4680
