"","Price"
"2013-03-11",22453
"2013-03-12",22453
"2013-03-13",22453
"2013-03-14",22453
"2013-03-15",22453
"2013-03-18",22453
"2013-03-19",22453
"2013-03-20",22453
"2013-03-21",22453
"2013-03-22",46415
"2013-03-25",44658
"2013-03-26",44575
"2013-03-27",44157
"2013-03-28",44491
"2013-03-29",45076
"2013-04-01",44408
"2013-04-02",43738
"2013-04-03",43655
"2013-04-04",43321
"2013-04-05",42985
"2013-04-08",42400
"2013-04-09",41647
"2013-04-10",41439
"2013-04-11",39556
"2013-04-12",39850
"2013-04-15",39641
"2013-04-16",41647
"2013-04-17",36085
"2013-04-18",30818
"2013-04-19",26216
"2013-04-22",22286
"2013-04-23",24461
"2013-04-24",28099
"2013-04-25",27639
"2013-04-26",27012
"2013-04-29",27095
"2013-04-30",26426
"2013-05-02",25590
"2013-05-03",25882
"2013-05-06",25966
"2013-05-07",26008
"2013-05-08",25046
"2013-05-09",23373
"2013-05-10",23833
"2013-05-13",24084
"2013-05-14",24043
"2013-05-15",25882
"2013-05-16",26426
"2013-05-20",26552
"2013-05-21",26469
"2013-05-22",26678
"2013-05-23",26301
"2013-05-24",26426
"2013-05-27",27430
"2013-05-28",28099
"2013-05-29",29269
"2013-05-30",31778
"2013-05-31",31444
"2013-06-03",30859
"2013-06-04",32113
"2013-06-05",30942
"2013-06-07",29437
"2013-06-10",30022
"2013-06-11",28601
"2013-06-12",27806
"2013-06-13",27261
"2013-06-14",27555
"2013-06-17",27765
"2013-06-18",28141
"2013-06-19",27597
"2013-06-20",28433
"2013-06-21",29228
"2013-06-24",30357
"2013-06-25",30692
"2013-06-26",32531
"2013-06-27",32741
"2013-06-28",34958
"2013-07-01",40183
"2013-07-02",43822
"2013-07-03",43489
"2013-07-04",40853
"2013-07-05",40769
"2013-07-08",40183
"2013-07-09",37465
"2013-07-10",38260
"2013-07-11",38343
"2013-07-12",39013
"2013-07-15",37674
"2013-07-16",39641
"2013-07-17",41062
"2013-07-18",41062
"2013-07-19",42149
"2013-07-22",42317
"2013-07-23",42736
"2013-07-24",42651
"2013-07-25",43321
"2013-07-26",43738
