"","Price"
"2017-08-28",7925
"2017-08-29",8025
"2017-08-30",7925
"2017-08-31",7950
"2017-09-01",7900
"2017-09-04",7550
"2017-09-05",7425
"2017-09-06",7250
"2017-09-07",7250
"2017-09-08",7050
"2017-09-11",7325
"2017-09-12",7325
"2017-09-13",7125
"2017-09-14",6875
"2017-09-15",6500
"2017-09-18",6575
"2017-09-19",6575
"2017-09-20",6375
"2017-09-21",6525
"2017-09-22",6425
"2017-09-25",6525
"2017-09-26",6675
"2017-09-27",7000
"2017-09-28",6925
"2017-09-29",7250
"2017-10-10",7125
"2017-10-11",7375
"2017-10-12",7650
"2017-10-13",7350
"2017-10-16",7050
"2017-10-17",7500
"2017-10-18",8100
"2017-10-19",8050
"2017-10-20",8350
"2017-10-23",8300
"2017-10-24",8375
"2017-10-25",9250
"2017-10-26",9300
"2017-10-27",9700
"2017-10-30",9950
"2017-10-31",9775
"2017-11-01",9800
"2017-11-02",9450
"2017-11-03",10200
"2017-11-06",10275
"2017-11-07",10200
"2017-11-08",9750
"2017-11-09",9850
"2017-11-10",10200
"2017-11-13",10900
"2017-11-14",11225
"2017-11-15",10500
"2017-11-16",10500
"2017-11-17",10350
"2017-11-20",10175
"2017-11-21",9975
"2017-11-22",10175
"2017-11-23",10375
"2017-11-24",10725
"2017-11-27",11450
"2017-11-28",11575
"2017-11-29",11975
"2017-11-30",10500
"2017-12-01",10250
"2017-12-04",9025
"2017-12-05",9475
"2017-12-06",8800
"2017-12-07",9225
"2017-12-08",8825
"2017-12-11",8900
"2017-12-12",9050
"2017-12-13",9625
"2017-12-14",9700
"2017-12-15",9350
"2017-12-18",9100
"2017-12-19",8700
"2017-12-20",8500
"2017-12-21",8550
"2017-12-22",8750
"2017-12-26",8125
"2017-12-27",8825
"2017-12-28",8900
"2018-01-02",9275
"2018-01-03",9325
"2018-01-04",9200
"2018-01-05",8625
"2018-01-08",8425
"2018-01-09",8550
"2018-01-10",8425
"2018-01-11",8600
"2018-01-12",8600
"2018-01-15",8325
"2018-01-16",8650
"2018-01-17",8825
"2018-01-18",8925
"2018-01-19",8825
"2018-01-22",7925
"2018-01-23",8050
"2018-01-24",7925
"2018-01-25",7925
"2018-01-26",8000
"2018-01-29",8275
"2018-01-30",8025
"2018-01-31",8100
"2018-02-01",8125
"2018-02-02",7875
"2018-02-05",7475
"2018-02-06",7400
"2018-02-07",7175
"2018-02-08",7350
"2018-02-09",7000
"2018-02-12",7000
"2018-02-13",6950
"2018-02-14",6900
"2018-02-19",7325
"2018-02-20",7250
"2018-02-21",7325
"2018-02-22",7175
"2018-02-23",7225
"2018-02-26",7200
"2018-02-27",7725
"2018-02-28",7625
"2018-03-02",7475
"2018-03-05",7075
"2018-03-06",7225
"2018-03-07",6875
"2018-03-08",7025
"2018-03-09",7125
"2018-03-12",7350
"2018-03-13",7375
"2018-03-14",7325
"2018-03-15",7275
"2018-03-16",7250
"2018-03-19",7250
"2018-03-20",7150
"2018-03-21",7075
"2018-03-22",6950
"2018-03-23",6600
"2018-03-26",6500
"2018-03-27",6550
"2018-03-28",6450
"2018-03-29",6775
"2018-03-30",6675
"2018-04-02",6425
"2018-04-03",6550
"2018-04-04",6425
"2018-04-05",6575
"2018-04-06",6800
"2018-04-09",6850
"2018-04-10",6725
"2018-04-11",6800
"2018-04-12",7000
"2018-04-13",7200
"2018-04-16",7200
"2018-04-17",7150
"2018-04-18",7075
"2018-04-19",6975
"2018-04-20",6975
"2018-04-23",6925
"2018-04-24",6950
"2018-04-25",6800
"2018-04-26",6875
"2018-04-27",6825
"2018-04-30",6700
"2018-05-02",6650
"2018-05-03",6875
"2018-05-04",6800
"2018-05-08",6875
"2018-05-09",6925
"2018-05-10",7175
"2018-05-11",7225
"2018-05-14",7225
"2018-05-15",7000
"2018-05-16",6825
"2018-05-17",6775
"2018-05-18",6900
"2018-05-21",7050
"2018-05-23",6850
"2018-05-24",6625
"2018-05-25",6825
"2018-05-28",7275
"2018-05-29",7175
"2018-05-30",7100
"2018-05-31",7125
"2018-06-01",7150
"2018-06-04",7600
"2018-06-05",7625
"2018-06-07",7925
"2018-06-08",7750
"2018-06-11",7525
"2018-06-12",7600
"2018-06-14",7600
"2018-06-15",7425
"2018-06-18",7000
"2018-06-19",6950
"2018-06-20",7050
"2018-06-21",6900
"2018-06-22",6800
"2018-06-25",6825
"2018-06-26",6675
"2018-06-27",6750
"2018-06-28",6475
"2018-06-29",6250
"2018-07-02",5800
"2018-07-03",5675
"2018-07-04",5700
"2018-07-05",5650
"2018-07-06",5850
"2018-07-09",5850
"2018-07-10",5875
"2018-07-11",5900
"2018-07-12",5875
"2018-07-13",5950
"2018-07-16",6000
"2018-07-17",6150
"2018-07-18",6200
"2018-07-19",6200
"2018-07-20",6175
"2018-07-23",5975
"2018-07-24",5875
"2018-07-25",5800
"2018-07-26",5875
"2018-07-27",6125
"2018-07-30",6050
"2018-07-31",6075
"2018-08-01",6075
"2018-08-02",5925
"2018-08-03",5975
"2018-08-06",5875
"2018-08-07",5725
"2018-08-08",5725
"2018-08-09",5775
"2018-08-10",5700
"2018-08-13",5500
"2018-08-14",5400
"2018-08-16",5200
"2018-08-17",5175
"2018-08-20",5125
"2018-08-21",5250
"2018-08-22",5275
"2018-08-23",5325
"2018-08-24",5475
"2018-08-27",5525
"2018-08-28",5575
"2018-08-29",5825
"2018-08-30",5850
