"","Price"
"2013-03-11",10300
"2013-03-12",10500
"2013-03-13",10550
"2013-03-14",10450
"2013-03-15",10950
"2013-03-18",10850
"2013-03-19",10850
"2013-03-20",10650
"2013-03-21",10600
"2013-03-22",10850
"2013-03-25",10900
"2013-03-26",11200
"2013-03-27",11100
"2013-03-28",10900
"2013-03-29",10850
"2013-04-01",10750
"2013-04-02",10850
"2013-04-03",11000
"2013-04-04",11350
"2013-04-05",10800
"2013-04-08",10300
"2013-04-09",10200
"2013-04-10",10050
"2013-04-11",10450
"2013-04-12",10100
"2013-04-15",10100
"2013-04-16",9970
"2013-04-17",9410
"2013-04-18",9520
"2013-04-19",9500
"2013-04-22",9690
"2013-04-23",9830
"2013-04-24",9670
"2013-04-25",9990
"2013-04-26",9950
"2013-04-29",9790
"2013-04-30",9940
"2013-05-02",10300
"2013-05-03",10350
"2013-05-06",10300
"2013-05-07",10500
"2013-05-08",11150
"2013-05-09",11000
"2013-05-10",11150
"2013-05-13",11250
"2013-05-14",11050
"2013-05-15",11600
"2013-05-16",11300
"2013-05-20",11350
"2013-05-21",11050
"2013-05-22",11050
"2013-05-23",10750
"2013-05-24",11400
"2013-05-27",11450
"2013-05-28",11500
"2013-05-29",11450
"2013-05-30",11000
"2013-05-31",10900
"2013-06-03",10950
"2013-06-04",10900
"2013-06-05",10800
"2013-06-07",10500
"2013-06-10",10650
"2013-06-11",10250
"2013-06-12",10050
"2013-06-13",9860
"2013-06-14",9820
"2013-06-17",9500
"2013-06-18",9750
"2013-06-19",9750
"2013-06-20",9520
"2013-06-21",9120
"2013-06-24",9020
"2013-06-25",8480
"2013-06-26",8700
"2013-06-27",9140
"2013-06-28",9210
"2013-07-01",9330
"2013-07-02",9330
"2013-07-03",9150
"2013-07-04",9250
"2013-07-05",9230
"2013-07-08",9350
"2013-07-09",9370
"2013-07-10",9120
"2013-07-11",9320
"2013-07-12",9430
"2013-07-15",9420
"2013-07-16",9370
"2013-07-17",9590
"2013-07-18",9560
"2013-07-19",9480
"2013-07-22",9430
"2013-07-23",9430
"2013-07-24",9500
