"","Price"
"2013-03-11",3850
"2013-03-12",3855
"2013-03-13",3885
"2013-03-14",3890
"2013-03-15",3935
"2013-03-18",3945
"2013-03-19",3905
"2013-03-20",3895
"2013-03-21",3870
"2013-03-22",3840
"2013-03-25",3860
"2013-03-26",3920
"2013-03-27",3945
"2013-03-28",3930
"2013-03-29",3940
"2013-04-01",4075
"2013-04-02",4005
"2013-04-03",4310
"2013-04-04",4175
"2013-04-05",4275
"2013-04-08",4915
"2013-04-09",4375
"2013-04-10",4200
"2013-04-11",4345
"2013-04-12",4270
"2013-04-15",4670
"2013-04-16",4655
"2013-04-17",4585
"2013-04-18",4325
"2013-04-19",4330
"2013-04-22",4335
"2013-04-23",4300
"2013-04-24",4175
"2013-04-25",4270
"2013-04-26",4255
"2013-04-29",4325
"2013-04-30",4385
"2013-05-02",4220
"2013-05-03",4415
"2013-05-06",4235
"2013-05-07",4300
"2013-05-08",4280
"2013-05-09",4365
"2013-05-10",4305
"2013-05-13",4165
"2013-05-14",4135
"2013-05-15",4015
"2013-05-16",3865
"2013-05-20",3820
"2013-05-21",3870
"2013-05-22",3885
"2013-05-23",3830
"2013-05-24",3800
"2013-05-27",3775
"2013-05-28",3860
"2013-05-29",3835
"2013-05-30",3755
"2013-05-31",3735
"2013-06-03",3685
"2013-06-04",3695
"2013-06-05",3680
"2013-06-07",3660
"2013-06-10",3630
"2013-06-11",3730
"2013-06-12",3740
"2013-06-13",3700
"2013-06-14",3715
"2013-06-17",3600
"2013-06-18",3605
"2013-06-19",3525
"2013-06-20",3300
"2013-06-21",3230
"2013-06-24",3170
"2013-06-25",2930
"2013-06-26",2935
"2013-06-27",3375
"2013-06-28",3210
"2013-07-01",3220
"2013-07-02",3265
"2013-07-03",3180
"2013-07-04",3190
"2013-07-05",3270
"2013-07-08",3245
"2013-07-09",3255
"2013-07-10",3200
"2013-07-11",3205
"2013-07-12",3260
"2013-07-15",3235
"2013-07-16",3220
"2013-07-17",3240
"2013-07-18",3210
"2013-07-19",3200
"2013-07-22",3325
"2013-07-23",3300
"2013-07-24",3400
"2013-07-25",3350
"2013-07-26",3310
"2013-07-29",3190
"2013-07-30",3265
"2013-07-31",3310
"2013-08-01",3280
"2013-08-02",3280
"2013-08-05",3320
"2013-08-06",3305
"2013-08-07",3305
"2013-08-08",3350
"2013-08-09",3380
"2013-08-12",3415
"2013-08-13",3425
"2013-08-14",3350
"2013-08-16",3345
"2013-08-19",3265
"2013-08-20",3205
"2013-08-21",3135
"2013-08-22",3000
"2013-08-23",3050
"2013-08-26",3065
"2013-08-27",3060
"2013-08-28",3045
"2013-08-29",3095
"2013-08-30",3090
"2013-09-02",3060
"2013-09-03",3060
"2013-09-04",3055
"2013-09-05",3095
"2013-09-06",3180
"2013-09-09",3125
"2013-09-10",3130
"2013-09-11",3110
"2013-09-12",3130
"2013-09-13",3120
"2013-09-16",3075
"2013-09-17",3075
"2013-09-23",3110
"2013-09-24",3065
"2013-09-25",3070
"2013-09-26",3110
"2013-09-27",3215
"2013-09-30",3200
"2013-10-01",3225
"2013-10-02",3230
"2013-10-04",3230
"2013-10-07",3270
"2013-10-08",3300
"2013-10-10",3300
"2013-10-11",3345
"2013-10-14",3275
"2013-10-15",3305
"2013-10-16",3360
"2013-10-17",3410
"2013-10-18",3440
"2013-10-21",3345
"2013-10-22",3420
"2013-10-23",3340
"2013-10-24",3400
"2013-10-25",3390
"2013-10-28",3325
"2013-10-29",3330
"2013-10-30",3365
"2013-10-31",3345
"2013-11-01",3295
"2013-11-04",3220
"2013-11-05",3200
"2013-11-06",3245
"2013-11-07",3190
"2013-11-08",3245
"2013-11-11",3215
"2013-11-12",3260
"2013-11-13",3245
"2013-11-14",3175
"2013-11-15",3175
"2013-11-18",3245
"2013-11-19",3245
"2013-11-20",3280
"2013-11-21",3245
"2013-11-22",3295
"2013-11-25",3205
"2013-11-26",3295
"2013-11-27",3265
"2013-11-28",3295
"2013-11-29",3290
"2013-12-02",3220
"2013-12-03",3240
"2013-12-04",3250
"2013-12-05",3275
"2013-12-06",3240
"2013-12-09",3240
"2013-12-10",3245
"2013-12-11",3240
"2013-12-12",3220
"2013-12-13",3245
"2013-12-16",3350
"2013-12-17",3425
"2013-12-18",3425
"2013-12-19",3380
"2013-12-20",3395
"2013-12-23",3380
"2013-12-24",3330
"2013-12-26",3345
"2013-12-27",3345
"2013-12-30",3345
"2014-01-02",3335
"2014-01-03",3325
"2014-01-06",3300
"2014-01-07",3290
"2014-01-08",3280
"2014-01-09",3295
"2014-01-10",3260
"2014-01-13",3290
"2014-01-14",3320
"2014-01-15",3375
"2014-01-16",3370
"2014-01-17",3875
"2014-01-20",4455
"2014-01-21",4030
"2014-01-22",3815
"2014-01-23",3745
"2014-01-24",3745
"2014-01-27",4080
"2014-01-28",3720
"2014-01-29",3955
"2014-02-03",3805
"2014-02-04",3590
"2014-02-05",3415
"2014-02-06",3365
"2014-02-07",3420
"2014-02-10",3355
"2014-02-11",3295
"2014-02-12",3245
"2014-02-13",3260
"2014-02-14",3260
"2014-02-17",3225
"2014-02-18",3210
"2014-02-19",3190
"2014-02-20",3130
"2014-02-21",3155
"2014-02-24",3250
"2014-02-25",3225
"2014-02-26",3205
"2014-02-27",3210
"2014-02-28",3220
"2014-03-03",3215
"2014-03-04",3200
"2014-03-05",3190
"2014-03-06",3215
"2014-03-07",3260
"2014-03-10",3230
"2014-03-11",3260
"2014-03-12",3205
"2014-03-13",3250
"2014-03-14",3300
"2014-03-17",3295
"2014-03-18",3285
"2014-03-19",3250
"2014-03-20",3235
"2014-03-21",3195
"2014-03-24",3210
"2014-03-25",3185
"2014-03-26",3180
"2014-03-27",3220
"2014-03-28",3240
"2014-03-31",3260
"2014-04-01",3290
"2014-04-02",3245
"2014-04-03",3240
"2014-04-04",3240
"2014-04-07",3235
"2014-04-08",3270
"2014-04-09",3265
"2014-04-10",3280
"2014-04-11",3295
"2014-04-14",3310
"2014-04-15",3400
"2014-04-16",3365
"2014-04-17",3430
"2014-04-18",3415
"2014-04-21",3360
"2014-04-22",3400
"2014-04-23",3355
"2014-04-24",3380
"2014-04-25",3355
"2014-04-28",3340
"2014-04-29",3320
"2014-04-30",3330
"2014-05-02",3350
"2014-05-07",3205
"2014-05-08",3275
"2014-05-09",3270
"2014-05-12",3275
"2014-05-13",3340
"2014-05-14",3340
"2014-05-15",3375
"2014-05-16",3325
"2014-05-19",3330
"2014-05-20",3310
"2014-05-21",3315
"2014-05-22",3310
"2014-05-23",3310
"2014-05-26",3330
"2014-05-27",3330
