"","Price"
"2013-03-11",5130
"2013-03-12",5258
"2013-03-13",5284
"2013-03-14",5771
"2013-03-15",6028
"2013-03-18",5925
"2013-03-19",5925
"2013-03-20",5925
"2013-03-21",5463
"2013-03-22",5463
"2013-03-25",5463
"2013-03-26",5463
"2013-03-27",5463
"2013-03-28",5463
"2013-03-29",6259
"2013-04-01",6310
"2013-04-02",6284
"2013-04-03",6541
"2013-04-04",6438
"2013-04-05",6233
"2013-04-08",6156
"2013-04-09",6053
"2013-04-10",6259
"2013-04-11",6284
"2013-04-12",6130
"2013-04-15",6156
"2013-04-16",6438
"2013-04-17",6618
"2013-04-18",6541
"2013-04-19",6489
"2013-04-22",6592
"2013-04-23",6566
"2013-04-24",6669
"2013-04-25",7105
"2013-04-26",7028
"2013-04-29",6977
"2013-04-30",6823
"2013-05-02",6669
"2013-05-03",6849
"2013-05-06",6849
"2013-05-07",6823
"2013-05-08",6746
"2013-05-09",6849
"2013-05-10",6233
"2013-05-13",6310
"2013-05-14",6413
"2013-05-15",6413
"2013-05-16",6361
"2013-05-20",6566
"2013-05-21",6720
"2013-05-22",6874
"2013-05-23",6849
"2013-05-24",6977
"2013-05-27",7464
"2013-05-28",7515
"2013-05-29",7362
"2013-05-30",7490
"2013-05-31",7208
"2013-06-03",6977
"2013-06-04",6720
"2013-06-05",6695
"2013-06-07",6515
"2013-06-10",6695
"2013-06-11",6720
"2013-06-12",6772
"2013-06-13",6951
"2013-06-14",6797
"2013-06-17",6413
"2013-06-18",6797
"2013-06-19",6695
"2013-06-20",6695
"2013-06-21",6413
"2013-06-24",6310
"2013-06-25",6105
"2013-06-26",6284
"2013-06-27",6464
"2013-06-28",6849
"2013-07-01",6823
"2013-07-02",6438
"2013-07-03",6310
"2013-07-04",6259
"2013-07-05",6310
"2013-07-08",6130
"2013-07-09",6259
"2013-07-10",6233
"2013-07-11",6310
"2013-07-12",6053
"2013-07-15",6156
"2013-07-16",6002
"2013-07-17",6130
"2013-07-18",6028
"2013-07-19",6489
"2013-07-22",6336
"2013-07-23",6310
"2013-07-24",6541
"2013-07-25",6464
"2013-07-26",6823
"2013-07-29",6541
"2013-07-30",7131
"2013-07-31",7387
"2013-08-01",7259
"2013-08-02",7285
"2013-08-05",7105
"2013-08-06",7105
"2013-08-07",7156
"2013-08-08",6926
"2013-08-09",7182
"2013-08-12",7285
"2013-08-13",7439
"2013-08-14",7439
"2013-08-16",7387
"2013-08-19",7439
"2013-08-20",7336
"2013-08-21",7079
"2013-08-22",6977
"2013-08-23",7567
"2013-08-26",7952
"2013-08-27",7823
"2013-08-28",8208
"2013-08-29",8311
"2013-08-30",8721
"2013-09-02",8952
"2013-09-03",9054
"2013-09-04",8875
"2013-09-05",9131
"2013-09-06",9080
"2013-09-09",8772
"2013-09-10",9260
"2013-09-11",9234
"2013-09-12",9747
"2013-09-13",9183
"2013-09-16",8978
"2013-09-17",9183
"2013-09-23",8901
"2013-09-24",9260
"2013-09-25",9029
"2013-09-26",8901
"2013-09-27",9362
"2013-09-30",9362
"2013-10-01",10209
"2013-10-02",9875
"2013-10-04",9516
"2013-10-07",9644
"2013-10-08",9644
"2013-10-10",9414
"2013-10-11",9516
"2013-10-14",9080
"2013-10-15",9311
"2013-10-16",9619
