"","Price"
"2013-03-11",7581
"2013-03-12",7553
"2013-03-13",7404
"2013-03-14",6928
"2013-03-15",6764
"2013-03-18",6744
"2013-03-19",6738
"2013-03-20",6589
"2013-03-21",6643
"2013-03-22",6452
"2013-03-25",6385
"2013-03-26",6377
"2013-03-27",6385
"2013-03-28",6385
"2013-03-29",6385
"2013-04-01",6282
"2013-04-02",6377
"2013-04-03",5427
"2013-04-04",5434
"2013-04-05",5536
"2013-04-08",5616
"2013-04-09",5557
"2013-04-10",5678
"2013-04-11",5977
"2013-04-12",6316
"2013-04-15",6377
"2013-04-16",6276
"2013-04-17",6228
"2013-04-18",6249
"2013-04-19",6092
"2013-04-22",6052
"2013-04-23",5705
"2013-04-24",5908
"2013-04-25",5957
"2013-04-26",6031
"2013-04-29",5841
"2013-04-30",5834
"2013-05-02",5841
"2013-05-03",5849
"2013-05-06",5746
"2013-05-07",5752
"2013-05-08",5759
"2013-05-09",5719
"2013-05-10",5759
"2013-05-13",5752
"2013-05-14",5752
"2013-05-15",5834
"2013-05-16",5895
"2013-05-20",5875
"2013-05-21",5936
"2013-05-22",5908
"2013-05-23",5903
"2013-05-24",5923
"2013-05-27",5903
"2013-05-28",6018
"2013-05-29",5875
"2013-05-30",5949
"2013-05-31",5854
"2013-06-03",5869
"2013-06-04",5808
"2013-06-05",5869
"2013-06-07",5895
"2013-06-10",5739
"2013-06-11",5739
"2013-06-12",5739
"2013-06-13",5773
"2013-06-14",5732
"2013-06-17",5787
"2013-06-18",5869
"2013-06-19",5869
"2013-06-20",5732
"2013-06-21",5828
"2013-06-24",5828
"2013-06-25",5828
"2013-06-26",5651
"2013-06-27",5841
"2013-06-28",5903
"2013-07-01",5888
"2013-07-02",5834
"2013-07-03",5637
"2013-07-04",5719
"2013-07-05",5501
"2013-07-08",5570
"2013-07-09",5637
"2013-07-10",5562
"2013-07-11",5577
"2013-07-12",5739
"2013-07-15",5692
"2013-07-16",5440
"2013-07-17",5475
"2013-07-18",5549
"2013-07-19",5495
"2013-07-22",5481
"2013-07-23",5427
"2013-07-24",5413
"2013-07-25",5189
"2013-07-26",5373
"2013-07-29",5324
"2013-07-30",5229
"2013-07-31",5345
"2013-08-01",5345
"2013-08-02",5557
"2013-08-05",5352
"2013-08-06",5359
"2013-08-07",5400
"2013-08-08",5427
"2013-08-09",5434
"2013-08-12",5434
"2013-08-13",5427
"2013-08-14",5427
"2013-08-16",5434
"2013-08-19",5175
"2013-08-20",5427
"2013-08-21",5345
"2013-08-22",5304
"2013-08-23",5229
"2013-08-26",5189
"2013-08-27",5257
"2013-08-28",5209
"2013-08-29",5365
"2013-08-30",5257
"2013-09-02",5359
"2013-09-03",5229
"2013-09-04",5285
"2013-09-05",5318
"2013-09-06",5332
"2013-09-09",5175
"2013-09-10",5298
"2013-09-11",5516
"2013-09-12",6336
"2013-09-13",7281
"2013-09-16",7376
"2013-09-17",7661
"2013-09-23",7661
"2013-09-24",7389
"2013-09-25",7484
"2013-09-26",8598
"2013-09-27",8639
"2013-09-30",8150
"2013-10-01",8014
"2013-10-02",8150
"2013-10-04",8273
"2013-10-07",8137
"2013-10-08",8381
"2013-10-10",8273
"2013-10-11",8068
"2013-10-14",7973
"2013-10-15",8109
"2013-10-16",8137
"2013-10-17",8165
"2013-10-18",8083
"2013-10-21",7743
"2013-10-22",7675
"2013-10-23",7322
"2013-10-24",7227
"2013-10-25",7036
"2013-10-28",7077
"2013-10-29",7199
"2013-10-30",7199
"2013-10-31",6996
"2013-11-01",6744
"2013-11-04",6915
"2013-11-05",6779
"2013-11-06",6725
"2013-11-07",6520
"2013-11-08",6849
"2013-11-11",6951
"2013-11-12",7024
"2013-11-13",6863
"2013-11-14",6878
"2013-11-15",6812
"2013-11-18",6754
"2013-11-19",6710
"2013-11-20",6644
"2013-11-21",6060
"2013-11-22",6060
"2013-11-25",5958
"2013-11-26",5987
"2013-11-27",6075
"2013-11-28",6272
"2013-11-29",6338
"2013-12-02",6323
"2013-12-03",6294
"2013-12-04",6279
"2013-12-05",6330
"2013-12-06",6330
"2013-12-09",6133
"2013-12-10",5987
"2013-12-11",5914
"2013-12-12",5929
