"","Price"
"2013-03-11",1067
"2013-03-12",1067
"2013-03-13",1095
"2013-03-14",1119
"2013-03-15",1115
"2013-03-18",1071
"2013-03-19",1083
"2013-03-20",1099
"2013-03-21",1075
"2013-03-22",1095
"2013-03-25",1087
"2013-03-26",1079
"2013-03-27",1058
"2013-03-28",1075
"2013-03-29",1075
"2013-04-01",1103
"2013-04-02",1095
"2013-04-03",1119
"2013-04-04",1107
"2013-04-05",1075
"2013-04-08",1002
"2013-04-09",982
"2013-04-10",1002
"2013-04-11",1018
"2013-04-12",998
"2013-04-15",986
"2013-04-16",982
"2013-04-17",958
"2013-04-18",958
"2013-04-19",934
"2013-04-22",978
"2013-04-23",970
"2013-04-24",978
"2013-04-25",962
"2013-04-26",962
"2013-04-29",962
"2013-04-30",966
"2013-05-02",974
"2013-05-03",986
"2013-05-06",974
"2013-05-07",994
"2013-05-08",1054
"2013-05-09",1042
"2013-05-10",1042
"2013-05-13",1038
"2013-05-14",1034
"2013-05-15",1103
"2013-05-16",1119
"2013-05-20",1099
"2013-05-21",1139
"2013-05-22",1159
"2013-05-23",1115
"2013-05-24",1244
"2013-05-27",1276
"2013-05-28",1284
"2013-05-29",1292
"2013-05-30",1328
"2013-05-31",1340
"2013-06-03",1316
"2013-06-04",1276
"2013-06-05",1304
"2013-06-07",1280
"2013-06-10",1288
"2013-06-11",1324
"2013-06-12",1320
"2013-06-13",1284
"2013-06-14",1292
"2013-06-17",1232
"2013-06-18",1211
"2013-06-19",1187
"2013-06-20",1167
"2013-06-21",1203
"2013-06-24",1171
"2013-06-25",1079
"2013-06-26",1079
"2013-06-27",1159
"2013-06-28",1171
"2013-07-01",1163
"2013-07-02",1187
"2013-07-03",1175
"2013-07-04",1163
"2013-07-05",1155
"2013-07-08",1127
"2013-07-09",1163
"2013-07-10",1171
"2013-07-11",1211
"2013-07-12",1276
"2013-07-15",1300
"2013-07-16",1292
"2013-07-17",1280
"2013-07-18",1336
"2013-07-19",1320
"2013-07-22",1288
"2013-07-23",1300
"2013-07-24",1352
"2013-07-25",1344
"2013-07-26",1316
"2013-07-29",1336
"2013-07-30",1312
"2013-07-31",1316
"2013-08-01",1316
"2013-08-02",1316
"2013-08-05",1296
"2013-08-06",1268
"2013-08-07",1244
"2013-08-08",1320
"2013-08-09",1320
"2013-08-12",1308
"2013-08-13",1336
"2013-08-14",1360
"2013-08-16",1352
"2013-08-19",1320
"2013-08-20",1264
"2013-08-21",1252
"2013-08-22",1228
"2013-08-23",1236
"2013-08-26",1264
"2013-08-27",1223
"2013-08-28",1252
"2013-08-29",1256
"2013-08-30",1264
"2013-09-02",1244
"2013-09-03",1248
"2013-09-04",1240
"2013-09-05",1248
"2013-09-06",1248
"2013-09-09",1203
"2013-09-10",1143
"2013-09-11",1179
"2013-09-12",1167
"2013-09-13",1167
"2013-09-16",1163
"2013-09-17",1143
"2013-09-23",1191
"2013-09-24",1195
"2013-09-25",1232
"2013-09-26",1219
"2013-09-27",1228
"2013-09-30",1203
"2013-10-01",1159
"2013-10-02",1167
"2013-10-04",1155
"2013-10-07",1147
"2013-10-08",1139
"2013-10-10",1147
"2013-10-11",1159
"2013-10-14",1151
"2013-10-15",1115
"2013-10-16",1127
"2013-10-17",1135
"2013-10-18",1143
"2013-10-21",1143
"2013-10-22",1195
"2013-10-23",1179
"2013-10-24",1203
"2013-10-25",1199
"2013-10-28",1183
"2013-10-29",1167
"2013-10-30",1151
"2013-10-31",1135
"2013-11-01",1127
"2013-11-04",1127
"2013-11-05",1115
"2013-11-06",1127
"2013-11-07",1127
"2013-11-08",1107
"2013-11-11",1103
"2013-11-12",1099
"2013-11-13",1095
"2013-11-14",1119
"2013-11-15",1147
"2013-11-18",1127
"2013-11-19",1119
"2013-11-20",1123
"2013-11-21",1103
"2013-11-22",1103
"2013-11-25",1111
"2013-11-26",1131
"2013-11-27",1123
"2013-11-28",1115
"2013-11-29",1123
"2013-12-02",1127
"2013-12-03",1103
"2013-12-04",1147
"2013-12-05",1159
"2013-12-06",1127
"2013-12-09",1135
"2013-12-10",1151
"2013-12-11",1163
"2013-12-12",1151
"2013-12-13",1123
"2013-12-16",1107
"2013-12-17",1103
"2013-12-18",1119
"2013-12-19",1111
"2013-12-20",1103
"2013-12-23",1123
"2013-12-24",1107
"2013-12-26",1143
"2013-12-27",1139
"2013-12-30",1143
"2014-01-02",1135
"2014-01-03",1127
"2014-01-06",1127
"2014-01-07",1143
"2014-01-08",1215
"2014-01-09",1207
"2014-01-10",1232
"2014-01-13",1292
"2014-01-14",1332
"2014-01-15",1308
"2014-01-16",1292
"2014-01-17",1308
"2014-01-20",1368
"2014-01-21",1288
"2014-01-22",1417
"2014-01-23",1372
"2014-01-24",1328
"2014-01-27",1312
"2014-01-28",1320
"2014-01-29",1324
"2014-02-03",1296
"2014-02-04",1215
"2014-02-05",1215
"2014-02-06",1364
"2014-02-07",1348
"2014-02-10",1401
"2014-02-11",1368
"2014-02-12",1376
"2014-02-13",1360
"2014-02-14",1332
"2014-02-17",1372
"2014-02-18",1364
"2014-02-19",1421
"2014-02-20",1401
"2014-02-21",1393
"2014-02-24",1332
"2014-02-25",1320
"2014-02-26",1300
"2014-02-27",1316
"2014-02-28",1324
"2014-03-03",1312
"2014-03-04",1344
"2014-03-05",1344
"2014-03-06",1473
"2014-03-07",1445
"2014-03-10",1433
"2014-03-11",1517
"2014-03-12",1485
"2014-03-13",1505
"2014-03-14",1501
"2014-03-17",1453
"2014-03-18",1489
"2014-03-19",1473
"2014-03-20",1529
"2014-03-21",1517
"2014-03-24",1537
"2014-03-25",1493
"2014-03-26",1578
"2014-03-27",1618
"2014-03-28",1610
"2014-03-31",1602
"2014-04-01",1662
"2014-04-02",1654
"2014-04-03",1706
"2014-04-04",1541
"2014-04-07",1545
"2014-04-08",1477
"2014-04-09",1501
"2014-04-10",1473
"2014-04-11",1469
"2014-04-14",1453
"2014-04-15",1485
"2014-04-16",1473
"2014-04-17",1457
"2014-04-18",1457
"2014-04-21",1493
"2014-04-22",1521
"2014-04-23",1521
"2014-04-24",1481
"2014-04-25",1461
"2014-04-28",1449
"2014-04-29",1401
"2014-04-30",1364
"2014-05-02",1413
"2014-05-07",1380
"2014-05-08",1401
"2014-05-09",1477
"2014-05-12",1501
"2014-05-13",1501
"2014-05-14",1485
"2014-05-15",1461
"2014-05-16",1457
"2014-05-19",1437
"2014-05-20",1413
"2014-05-21",1425
"2014-05-22",1413
"2014-05-23",1485
"2014-05-26",1497
"2014-05-27",1521
"2014-05-28",1497
"2014-05-29",1497
"2014-05-30",1529
"2014-06-02",1461
"2014-06-03",1425
"2014-06-05",1445
"2014-06-09",1477
"2014-06-10",1558
"2014-06-11",1549
"2014-06-12",1505
"2014-06-13",1525
"2014-06-16",1586
"2014-06-17",1598
"2014-06-18",1610
"2014-06-19",1698
"2014-06-20",1698
"2014-06-23",1686
"2014-06-24",1630
"2014-06-25",1594
"2014-06-26",1638
"2014-06-27",1674
"2014-06-30",1602
"2014-07-01",1602
"2014-07-02",1626
"2014-07-03",1670
"2014-07-04",1654
"2014-07-07",1682
"2014-07-08",1751
"2014-07-09",1755
"2014-07-10",1751
"2014-07-11",1735
"2014-07-14",1823
"2014-07-15",1723
"2014-07-16",1710
"2014-07-17",1743
"2014-07-18",1791
"2014-07-21",1819
"2014-07-22",1867
"2014-07-23",1835
"2014-07-24",1795
"2014-07-25",1835
"2014-07-28",1755
"2014-07-29",1658
"2014-07-30",1654
"2014-07-31",1670
"2014-08-01",1698
"2014-08-04",1952
