"","Price"
"2013-03-11",2995
"2013-03-12",2950
"2013-03-13",2985
"2013-03-14",2995
"2013-03-15",3020
"2013-03-18",2965
"2013-03-19",2955
"2013-03-20",2885
"2013-03-21",2885
"2013-03-22",2905
"2013-03-25",2920
"2013-03-26",2960
"2013-03-27",2995
"2013-03-28",2995
"2013-03-29",3040
"2013-04-01",3075
"2013-04-02",3180
"2013-04-03",3175
"2013-04-04",3210
"2013-04-05",3145
"2013-04-08",3020
"2013-04-09",3060
"2013-04-10",3060
"2013-04-11",3100
"2013-04-12",3080
"2013-04-15",3090
"2013-04-16",3060
"2013-04-17",3135
"2013-04-18",3135
"2013-04-19",3125
"2013-04-22",3275
"2013-04-23",3250
"2013-04-24",3275
"2013-04-25",3345
"2013-04-26",3500
"2013-04-29",3500
"2013-04-30",3550
"2013-05-02",3570
"2013-05-03",3640
"2013-05-06",3645
"2013-05-07",3575
"2013-05-08",3640
"2013-05-09",3655
"2013-05-10",3560
"2013-05-13",3520
"2013-05-14",3565
"2013-05-15",3880
"2013-05-16",3965
"2013-05-20",3990
"2013-05-21",4020
"2013-05-22",4150
"2013-05-23",4070
"2013-05-24",4165
"2013-05-27",4150
"2013-05-28",4145
"2013-05-29",4105
"2013-05-30",3965
"2013-05-31",3970
"2013-06-03",3900
"2013-06-04",3850
"2013-06-05",3690
"2013-06-07",3625
"2013-06-10",3730
"2013-06-11",3900
"2013-06-12",3865
"2013-06-13",3810
"2013-06-14",3810
"2013-06-17",3730
"2013-06-18",3775
"2013-06-19",3840
"2013-06-20",3700
"2013-06-21",3505
"2013-06-24",3440
"2013-06-25",3200
"2013-06-26",3300
"2013-06-27",3425
"2013-06-28",3425
"2013-07-01",3470
"2013-07-02",3520
"2013-07-03",3505
"2013-07-04",3520
"2013-07-05",3450
"2013-07-08",3450
"2013-07-09",3485
"2013-07-10",3445
"2013-07-11",3540
"2013-07-12",3640
"2013-07-15",3675
"2013-07-16",3770
"2013-07-17",3745
"2013-07-18",3695
"2013-07-19",3600
"2013-07-22",3700
"2013-07-23",3710
"2013-07-24",3670
"2013-07-25",3620
"2013-07-26",3595
"2013-07-29",3480
"2013-07-30",3505
"2013-07-31",3525
"2013-08-01",3450
"2013-08-02",3430
"2013-08-05",3545
"2013-08-06",3565
"2013-08-07",3550
"2013-08-08",3650
"2013-08-09",3900
"2013-08-12",3860
"2013-08-13",3955
"2013-08-14",3930
"2013-08-16",3770
"2013-08-19",3825
"2013-08-20",3700
"2013-08-21",3655
"2013-08-22",3565
"2013-08-23",3695
"2013-08-26",3645
"2013-08-27",3685
"2013-08-28",3755
"2013-08-29",3835
"2013-08-30",3845
"2013-09-02",3820
"2013-09-03",3810
"2013-09-04",3805
"2013-09-05",3870
"2013-09-06",3710
"2013-09-09",3725
"2013-09-10",3620
"2013-09-11",3695
"2013-09-12",3695
"2013-09-13",3670
"2013-09-16",3635
"2013-09-17",3635
"2013-09-23",3640
"2013-09-24",3660
"2013-09-25",3650
"2013-09-26",3615
"2013-09-27",3615
"2013-09-30",3565
"2013-10-01",3450
"2013-10-02",3465
"2013-10-04",3390
"2013-10-07",3340
"2013-10-08",3405
"2013-10-10",3405
"2013-10-11",3420
"2013-10-14",3440
"2013-10-15",3505
"2013-10-16",3495
"2013-10-17",3440
"2013-10-18",3460
"2013-10-21",3465
"2013-10-22",3425
"2013-10-23",3355
"2013-10-24",3320
"2013-10-25",3330
"2013-10-28",3385
"2013-10-29",3430
"2013-10-30",3455
"2013-10-31",3430
"2013-11-01",3455
"2013-11-04",3445
"2013-11-05",3440
"2013-11-06",3340
"2013-11-07",3390
"2013-11-08",3430
"2013-11-11",3380
"2013-11-12",3420
"2013-11-13",3215
"2013-11-14",3200
"2013-11-15",3160
"2013-11-18",3200
"2013-11-19",3225
