"","Price"
"2013-03-11",975
"2013-03-12",975
"2013-03-13",965
"2013-03-14",975
"2013-03-15",975
"2013-03-18",950
"2013-03-19",958
"2013-03-20",970
"2013-03-21",963
"2013-03-22",975
"2013-03-25",975
"2013-03-26",975
"2013-03-27",973
"2013-03-28",986
"2013-03-29",993
"2013-04-01",1006
"2013-04-02",996
"2013-04-03",1001
"2013-04-04",991
"2013-04-05",965
"2013-04-08",965
"2013-04-09",968
"2013-04-10",975
"2013-04-11",955
"2013-04-12",950
"2013-04-15",953
"2013-04-16",960
"2013-04-17",973
"2013-04-18",970
"2013-04-19",965
"2013-04-22",963
"2013-04-23",963
"2013-04-24",965
"2013-04-25",968
"2013-04-26",965
"2013-04-29",965
"2013-04-30",963
"2013-05-02",965
"2013-05-03",970
"2013-05-06",973
"2013-05-07",973
"2013-05-08",980
"2013-05-09",998
"2013-05-10",1006
"2013-05-13",1036
"2013-05-14",1041
"2013-05-15",1036
"2013-05-16",1034
"2013-05-20",1026
"2013-05-21",1031
"2013-05-22",1080
"2013-05-23",1077
"2013-05-24",1069
"2013-05-27",1082
"2013-05-28",1077
"2013-05-29",1072
"2013-05-30",1082
"2013-05-31",1090
"2013-06-03",1082
"2013-06-04",1082
"2013-06-05",1074
"2013-06-07",1059
"2013-06-10",1057
"2013-06-11",1062
"2013-06-12",1062
"2013-06-13",1057
"2013-06-14",1049
"2013-06-17",1036
"2013-06-18",1036
"2013-06-19",1034
"2013-06-20",1008
"2013-06-21",1001
"2013-06-24",1011
"2013-06-25",950
"2013-06-26",1003
"2013-06-27",1013
"2013-06-28",1016
"2013-07-01",1001
"2013-07-02",1003
"2013-07-03",998
"2013-07-04",1001
"2013-07-05",1013
"2013-07-08",986
"2013-07-09",988
"2013-07-10",963
"2013-07-11",986
"2013-07-12",986
"2013-07-15",988
"2013-07-16",991
"2013-07-17",993
"2013-07-18",998
"2013-07-19",991
"2013-07-22",993
"2013-07-23",1006
"2013-07-24",1008
"2013-07-25",1021
"2013-07-26",1021
"2013-07-29",1019
"2013-07-30",1016
"2013-07-31",1016
"2013-08-01",1011
"2013-08-02",1021
"2013-08-05",1021
"2013-08-06",1011
"2013-08-07",1024
"2013-08-08",1021
"2013-08-09",1016
"2013-08-12",1021
"2013-08-13",1013
"2013-08-14",1024
"2013-08-16",1024
"2013-08-19",1046
"2013-08-20",1021
"2013-08-21",1006
"2013-08-22",1001
"2013-08-23",1019
"2013-08-26",1008
"2013-08-27",1019
"2013-08-28",1016
"2013-08-29",1036
"2013-08-30",1039
"2013-09-02",1046
"2013-09-03",1044
"2013-09-04",1039
"2013-09-05",1052
"2013-09-06",1044
"2013-09-09",1044
"2013-09-10",1041
"2013-09-11",1041
"2013-09-12",1044
"2013-09-13",1031
"2013-09-16",1041
"2013-09-17",1039
"2013-09-23",1049
"2013-09-24",1041
"2013-09-25",1046
"2013-09-26",1046
"2013-09-27",1052
"2013-09-30",1067
"2013-10-01",1092
"2013-10-02",1082
"2013-10-04",1074
"2013-10-07",1125
"2013-10-08",1102
"2013-10-10",1087
"2013-10-11",1077
"2013-10-14",1095
"2013-10-15",1095
"2013-10-16",1087
"2013-10-17",1090
"2013-10-18",1107
"2013-10-21",1087
"2013-10-22",1100
"2013-10-23",1087
"2013-10-24",1090
"2013-10-25",1090
"2013-10-28",1100
"2013-10-29",1080
"2013-10-30",1077
"2013-10-31",1072
"2013-11-01",1074
"2013-11-04",1085
"2013-11-05",1064
"2013-11-06",1077
"2013-11-07",1046
"2013-11-08",1062
"2013-11-11",1064
"2013-11-12",1064
"2013-11-13",1054
"2013-11-14",1062
"2013-11-15",1072
"2013-11-18",1062
"2013-11-19",1072
"2013-11-20",1057
"2013-11-21",1067
"2013-11-22",1062
"2013-11-25",1074
"2013-11-26",1067
"2013-11-27",1067
"2013-11-28",1085
"2013-11-29",1097
"2013-12-02",1072
"2013-12-03",1067
"2013-12-04",1074
"2013-12-05",1085
"2013-12-06",1087
"2013-12-09",1092
"2013-12-10",1092
"2013-12-11",1105
"2013-12-12",1082
"2013-12-13",1087
"2013-12-16",1085
"2013-12-17",1082
"2013-12-18",1090
"2013-12-19",1082
"2013-12-20",1087
"2013-12-23",1077
"2013-12-24",1095
"2013-12-26",1097
"2013-12-27",1041
"2013-12-30",1044
"2014-01-02",1039
"2014-01-03",1039
"2014-01-06",1041
"2014-01-07",1034
"2014-01-08",1024
"2014-01-09",1046
"2014-01-10",1039
"2014-01-13",1046
"2014-01-14",1046
"2014-01-15",1046
"2014-01-16",1046
"2014-01-17",1041
"2014-01-20",1016
"2014-01-21",1026
"2014-01-22",1034
"2014-01-23",1019
"2014-01-24",1029
"2014-01-27",1013
"2014-01-28",1026
"2014-01-29",1024
"2014-02-03",1029
"2014-02-04",1026
"2014-02-05",1026
"2014-02-06",1021
"2014-02-07",1021
"2014-02-10",1026
"2014-02-11",1029
"2014-02-12",1031
"2014-02-13",1031
"2014-02-14",1046
"2014-02-17",1044
"2014-02-18",1052
"2014-02-19",1041
"2014-02-20",1087
"2014-02-21",1059
"2014-02-24",1044
"2014-02-25",1039
"2014-02-26",1046
"2014-02-27",1049
"2014-02-28",1069
"2014-03-03",1069
"2014-03-04",1074
"2014-03-05",1090
"2014-03-06",1090
"2014-03-07",1097
"2014-03-10",1090
"2014-03-11",1095
"2014-03-12",1085
"2014-03-13",1092
"2014-03-14",1092
"2014-03-17",1080
"2014-03-18",1085
"2014-03-19",1092
"2014-03-20",1095
"2014-03-21",1105
"2014-03-24",1090
"2014-03-25",1092
"2014-03-26",1090
"2014-03-27",1092
"2014-03-28",1097
"2014-03-31",1100
"2014-04-01",1100
"2014-04-02",1102
"2014-04-03",1118
"2014-04-04",1128
"2014-04-07",1153
"2014-04-08",1153
"2014-04-09",1148
"2014-04-10",1148
"2014-04-11",1153
"2014-04-14",1171
"2014-04-15",1199
"2014-04-16",1204
"2014-04-17",1204
"2014-04-18",1204
"2014-04-21",1201
"2014-04-22",1161
"2014-04-23",1158
"2014-04-24",1156
"2014-04-25",1143
"2014-04-28",1156
"2014-04-29",1151
"2014-04-30",1143
"2014-05-02",1153
"2014-05-07",1138
"2014-05-08",1138
"2014-05-09",1151
"2014-05-12",1153
"2014-05-13",1146
"2014-05-14",1138
"2014-05-15",1143
"2014-05-16",1153
"2014-05-19",1148
"2014-05-20",1153
"2014-05-21",1156
"2014-05-22",1173
"2014-05-23",1163
"2014-05-26",1166
"2014-05-27",1163
"2014-05-28",1166
"2014-05-29",1168
"2014-05-30",1173
"2014-06-02",1163
"2014-06-03",1156
"2014-06-05",1146
"2014-06-09",1146
"2014-06-10",1146
"2014-06-11",1140
"2014-06-12",1156
"2014-06-13",1156
"2014-06-16",1151
"2014-06-17",1146
"2014-06-18",1148
"2014-06-19",1143
"2014-06-20",1146
"2014-06-23",1123
"2014-06-24",1118
"2014-06-25",1115
"2014-06-26",1146
"2014-06-27",1146
"2014-06-30",1158
"2014-07-01",1168
"2014-07-02",1184
"2014-07-03",1209
"2014-07-04",1209
"2014-07-07",1209
"2014-07-08",1181
"2014-07-09",1189
"2014-07-10",1186
"2014-07-11",1189
"2014-07-14",1184
"2014-07-15",1184
"2014-07-16",1189
"2014-07-17",1201
"2014-07-18",1209
"2014-07-21",1209
"2014-07-22",1207
"2014-07-23",1173
"2014-07-24",1191
"2014-07-25",1217
"2014-07-28",1270
"2014-07-29",1273
"2014-07-30",1280
"2014-07-31",1273
"2014-08-01",1262
"2014-08-04",1252
"2014-08-05",1219
"2014-08-06",1219
"2014-08-07",1212
"2014-08-08",1209
"2014-08-11",1207
"2014-08-12",1204
"2014-08-13",1227
"2014-08-14",1222
"2014-08-18",1232
"2014-08-19",1229
"2014-08-20",1227
"2014-08-21",1194
"2014-08-22",1214
"2014-08-25",1194
"2014-08-26",1209
"2014-08-27",1219
"2014-08-28",1214
"2014-08-29",1212
"2014-09-01",1163
"2014-09-02",1173
"2014-09-03",1173
"2014-09-04",1143
"2014-09-05",1148
"2014-09-11",1153
"2014-09-12",1158
"2014-09-15",1168
"2014-09-16",1173
"2014-09-17",1181
"2014-09-18",1168
"2014-09-19",1176
"2014-09-22",1176
"2014-09-23",1173
"2014-09-24",1171
"2014-09-25",1173
"2014-09-26",1181
"2014-09-29",1179
"2014-09-30",1179
"2014-10-01",1176
"2014-10-02",1166
"2014-10-06",1179
"2014-10-07",1173
"2014-10-08",1173
"2014-10-10",1156
"2014-10-13",1146
"2014-10-14",1148
"2014-10-15",1166
"2014-10-16",1173
"2014-10-17",1161
"2014-10-20",1161
"2014-10-21",1168
"2014-10-22",1148
"2014-10-23",1125
"2014-10-24",1128
"2014-10-27",1130
"2014-10-28",1135
"2014-10-29",1151
"2014-10-30",1148
"2014-10-31",1151
"2014-11-03",1133
"2014-11-04",1102
"2014-11-05",1090
"2014-11-06",1072
"2014-11-07",1067
"2014-11-10",1059
"2014-11-11",1067
"2014-11-12",1077
"2014-11-13",1069
"2014-11-14",1062
"2014-11-17",1069
"2014-11-18",1064
"2014-11-19",1059
"2014-11-20",1062
"2014-11-21",1064
"2014-11-24",1072
"2014-11-25",1074
"2014-11-26",1067
"2014-11-27",1064
"2014-11-28",1067
"2014-12-01",1057
"2014-12-02",1062
"2014-12-03",1062
"2014-12-04",1082
"2014-12-05",1090
"2014-12-08",1102
"2014-12-09",1107
"2014-12-10",1113
"2014-12-11",1113
"2014-12-12",1123
"2014-12-15",1115
"2014-12-16",1115
"2014-12-17",1118
"2014-12-18",1115
"2014-12-19",1105
"2014-12-22",1110
"2014-12-23",1110
"2014-12-24",1072
"2014-12-26",1092
"2014-12-29",1044
"2014-12-30",1052
"2015-01-02",1039
"2015-01-05",1026
"2015-01-06",1024
"2015-01-07",1026
"2015-01-08",1029
"2015-01-09",1039
"2015-01-12",1041
"2015-01-13",1021
"2015-01-14",1026
"2015-01-15",1034
"2015-01-16",1034
"2015-01-19",1013
"2015-01-20",1021
"2015-01-21",1024
"2015-01-22",1067
"2015-01-23",1069
"2015-01-26",1074
"2015-01-27",1067
"2015-01-28",1064
"2015-01-29",1062
"2015-01-30",1062
"2015-02-02",1052
"2015-02-03",1052
"2015-02-04",1062
"2015-02-05",1062
"2015-02-06",1067
"2015-02-09",1067
"2015-02-10",1062
"2015-02-11",1067
"2015-02-12",1059
"2015-02-13",1059
"2015-02-16",1092
"2015-02-17",1085
"2015-02-23",1072
"2015-02-24",1074
"2015-02-25",1077
"2015-02-26",1082
"2015-02-27",1082
"2015-03-02",1102
"2015-03-03",1107
"2015-03-04",1130
"2015-03-05",1146
"2015-03-06",1191
"2015-03-09",1219
"2015-03-10",1237
"2015-03-11",1217
"2015-03-12",1227
"2015-03-13",1222
"2015-03-16",1293
"2015-03-17",1293
"2015-03-18",1273
"2015-03-19",1260
"2015-03-20",1285
"2015-03-23",1288
"2015-03-24",1311
"2015-03-25",1293
"2015-03-26",1275
"2015-03-27",1275
"2015-03-30",1255
"2015-03-31",1306
"2015-04-01",1290
"2015-04-02",1367
"2015-04-03",1351
"2015-04-06",1377
"2015-04-07",1369
"2015-04-08",1341
"2015-04-09",1334
"2015-04-10",1331
"2015-04-13",1334
"2015-04-14",1334
"2015-04-15",1323
"2015-04-16",1316
"2015-04-17",1328
"2015-04-20",1328
"2015-04-21",1331
"2015-04-22",1334
"2015-04-23",1321
"2015-04-24",1323
"2015-04-27",1334
"2015-04-28",1331
"2015-04-29",1354
"2015-04-30",1359
"2015-05-04",1331
"2015-05-06",1321
"2015-05-07",1346
"2015-05-08",1384
"2015-05-11",1369
"2015-05-12",1379
"2015-05-13",1379
"2015-05-14",1585
"2015-05-15",1621
"2015-05-18",1575
"2015-05-19",1534
"2015-05-20",1547
"2015-05-21",1778
"2015-05-22",1646
"2015-05-26",1654
"2015-05-27",1582
"2015-05-28",1588
"2015-05-29",1552
"2015-06-01",1669
"2015-06-02",1554
"2015-06-03",1557
"2015-06-04",1567
"2015-06-05",1582
"2015-06-08",1539
"2015-06-09",1748
"2015-06-10",2009
"2015-06-11",2012
"2015-06-12",1938
"2015-06-15",1796
"2015-06-16",1880
"2015-06-17",1902
"2015-06-18",2159
"2015-06-19",2134
"2015-06-22",2045
"2015-06-23",2047
"2015-06-24",2022
"2015-06-25",1948
"2015-06-26",1869
"2015-06-29",1836
"2015-06-30",1829
"2015-07-01",1864
"2015-07-02",1788
"2015-07-03",1717
"2015-07-06",1654
"2015-07-07",1631
"2015-07-08",1676
"2015-07-09",1626
"2015-07-10",1666
"2015-07-13",1656
"2015-07-14",1664
"2015-07-15",1664
"2015-07-16",1715
"2015-07-17",1755
"2015-07-20",1737
"2015-07-21",1720
"2015-07-22",1659
"2015-07-23",1633
"2015-07-24",1605
"2015-07-27",1552
"2015-07-28",1514
"2015-07-29",1516
"2015-07-30",1473
"2015-07-31",1506
"2015-08-03",1562
"2015-08-04",1572
"2015-08-05",1580
"2015-08-06",1570
"2015-08-07",1539
"2015-08-10",1519
"2015-08-11",1537
"2015-08-12",1473
"2015-08-13",1473
"2015-08-17",1499
"2015-08-18",1466
"2015-08-19",1367
"2015-08-20",1361
"2015-08-21",1280
"2015-08-24",1219
"2015-08-25",1331
"2015-08-26",1402
"2015-08-27",1438
"2015-08-28",1445
"2015-08-31",1440
"2015-09-01",1443
"2015-09-02",1433
"2015-09-03",1430
"2015-09-04",1367
"2015-09-07",1356
"2015-09-08",1311
"2015-09-09",1361
"2015-09-10",1394
"2015-09-11",1389
"2015-09-14",1384
"2015-09-15",1412
"2015-09-16",1422
"2015-09-17",1410
"2015-09-18",1422
"2015-09-21",1425
"2015-09-22",1425
"2015-09-23",1407
"2015-09-24",1417
"2015-09-25",1417
"2015-09-30",1417
"2015-10-01",1417
"2015-10-02",1412
"2015-10-05",1412
"2015-10-06",1412
"2015-10-07",1427
"2015-10-08",1547
"2015-10-12",1588
"2015-10-13",1554
"2015-10-14",1554
"2015-10-15",1547
"2015-10-16",1542
"2015-10-19",1539
"2015-10-20",1544
"2015-10-21",1605
"2015-10-22",1577
"2015-10-23",1600
"2015-10-26",1582
"2015-10-27",1593
"2015-10-28",1595
"2015-10-29",1633
"2015-10-30",1610
"2015-11-02",1623
"2015-11-03",1613
"2015-11-04",1623
"2015-11-05",1600
"2015-11-06",1575
"2015-11-09",1524
"2015-11-10",1506
"2015-11-11",1486
"2015-11-12",1486
"2015-11-13",1463
"2015-11-16",1417
"2015-11-17",1440
"2015-11-18",1440
"2015-11-19",1440
"2015-11-20",1455
"2015-11-23",1476
"2015-11-24",1478
"2015-11-25",1514
"2015-11-26",1532
"2015-11-27",1547
"2015-11-30",1521
"2015-12-01",1542
"2015-12-02",1527
"2015-12-03",1521
"2015-12-04",1519
"2015-12-07",1496
"2015-12-08",1488
"2015-12-09",1463
"2015-12-10",1458
"2015-12-11",1466
"2015-12-14",1420
"2015-12-15",1422
"2015-12-16",1453
"2015-12-17",1417
"2015-12-18",1402
"2015-12-21",1364
"2015-12-22",1387
"2015-12-23",1377
"2015-12-24",1402
"2015-12-28",1402
"2015-12-29",1405
"2015-12-30",1417
"2016-01-04",1377
"2016-01-05",1392
"2016-01-06",1410
"2016-01-07",1389
"2016-01-08",1382
"2016-01-11",1367
"2016-01-12",1346
"2016-01-13",1359
"2016-01-14",1349
"2016-01-15",1367
"2016-01-18",1334
"2016-01-19",1349
"2016-01-20",1328
"2016-01-21",1336
"2016-01-22",1346
"2016-01-25",1361
"2016-01-26",1369
"2016-01-27",1367
"2016-01-28",1346
"2016-01-29",1374
"2016-02-01",1379
"2016-02-02",1346
"2016-02-03",1336
"2016-02-04",1361
"2016-02-05",1356
"2016-02-11",1344
"2016-02-12",1280
"2016-02-15",1298
"2016-02-16",1321
"2016-02-17",1316
"2016-02-18",1349
"2016-02-19",1351
"2016-02-22",1339
"2016-02-23",1349
"2016-02-24",1346
"2016-02-25",1351
"2016-02-26",1356
"2016-02-29",1361
"2016-03-02",1387
"2016-03-03",1389
"2016-03-04",1392
"2016-03-07",1374
"2016-03-08",1384
"2016-03-09",1389
"2016-03-10",1389
"2016-03-11",1389
"2016-03-14",1382
"2016-03-15",1367
"2016-03-16",1384
"2016-03-17",1438
"2016-03-18",1488
"2016-03-21",1453
"2016-03-22",1440
"2016-03-23",1427
"2016-03-24",1433
"2016-03-25",1443
"2016-03-28",1466
"2016-03-29",1524
"2016-03-30",1504
"2016-03-31",1519
"2016-04-01",1521
"2016-04-04",1524
"2016-04-05",1509
"2016-04-06",1534
"2016-04-07",1560
"2016-04-08",1544
"2016-04-11",1529
"2016-04-12",1532
"2016-04-14",1547
"2016-04-15",1554
"2016-04-18",1534
"2016-04-19",1524
"2016-04-20",1534
"2016-04-21",1552
"2016-04-22",1554
"2016-04-25",1542
"2016-04-26",1529
"2016-04-27",1554
"2016-04-28",1575
"2016-04-29",1575
"2016-05-02",1557
"2016-05-03",1565
"2016-05-04",1557
"2016-05-09",1534
"2016-05-10",1534
"2016-05-11",1544
"2016-05-12",1544
"2016-05-13",1570
"2016-05-16",1577
"2016-05-17",1537
"2016-05-18",1532
"2016-05-19",1509
"2016-05-20",1491
"2016-05-23",1501
"2016-05-24",1463
"2016-05-25",1519
"2016-05-26",1516
"2016-05-27",1516
"2016-05-30",1496
"2016-05-31",1499
"2016-06-01",1473
"2016-06-02",1455
"2016-06-03",1476
"2016-06-07",1483
"2016-06-08",1468
"2016-06-09",1435
"2016-06-10",1412
"2016-06-13",1412
"2016-06-14",1407
"2016-06-15",1422
"2016-06-16",1427
"2016-06-17",1422
"2016-06-20",1448
"2016-06-21",1427
"2016-06-22",1445
"2016-06-23",1433
"2016-06-24",1377
"2016-06-27",1387
"2016-06-28",1397
"2016-06-29",1412
"2016-06-30",1430
"2016-07-01",1435
"2016-07-04",1448
"2016-07-05",1473
"2016-07-06",1466
"2016-07-07",1463
"2016-07-08",1461
"2016-07-11",1468
"2016-07-12",1461
"2016-07-13",1494
"2016-07-14",1499
"2016-07-15",1501
"2016-07-18",1509
"2016-07-19",1511
"2016-07-20",1509
"2016-07-21",1496
"2016-07-22",1509
"2016-07-25",1473
"2016-07-26",1488
"2016-07-27",1509
"2016-07-28",1509
"2016-07-29",1519
"2016-08-01",1514
"2016-08-02",1514
"2016-08-03",1506
"2016-08-04",1524
"2016-08-05",1521
"2016-08-08",1516
