"","Price"
"2015-12-14",3193
"2015-12-15",3203
"2015-12-16",3415
"2015-12-17",3338
"2015-12-18",3217
"2015-12-21",3004
"2015-12-22",2859
"2015-12-23",2709
"2015-12-24",2733
"2015-12-28",2767
"2015-12-29",2767
"2015-12-30",2854
"2016-01-04",2975
"2016-01-05",3357
"2016-01-06",4363
"2016-01-07",5660
"2016-01-08",4983
"2016-01-11",4538
"2016-01-12",4959
"2016-01-13",4639
"2016-01-14",4707
"2016-01-15",4837
"2016-01-18",5055
"2016-01-19",5418
"2016-01-20",5152
"2016-01-21",4741
"2016-01-22",4489
"2016-01-25",4779
"2016-01-26",4548
"2016-01-27",4479
"2016-01-28",4281
"2016-01-29",4272
"2016-02-01",4233
"2016-02-02",3991
"2016-02-03",4059
"2016-02-04",4044
"2016-02-05",4063
"2016-02-11",3652
"2016-02-12",3434
"2016-02-15",3362
"2016-02-16",3792
"2016-02-17",3710
"2016-02-18",3846
"2016-02-19",3822
"2016-02-22",3701
"2016-02-23",3677
"2016-02-24",3643
"2016-02-25",3633
"2016-02-26",3623
"2016-02-29",3493
"2016-03-02",3541
"2016-03-03",3585
"2016-03-04",3633
"2016-03-07",3773
"2016-03-08",4107
"2016-03-09",4034
"2016-03-10",3827
"2016-03-11",3706
"2016-03-14",3841
"2016-03-15",3730
"2016-03-16",3628
"2016-03-17",3478
"2016-03-18",3459
"2016-03-21",3463
"2016-03-22",3410
"2016-03-23",3348
"2016-03-24",3410
"2016-03-25",3406
"2016-03-28",3299
"2016-03-29",3241
"2016-03-30",3270
"2016-03-31",3396
"2016-04-01",3377
"2016-04-04",3314
"2016-04-05",3532
"2016-04-06",4073
"2016-04-07",3885
"2016-04-08",3904
"2016-04-11",3681
"2016-04-12",3730
"2016-04-14",3730
"2016-04-15",3739
"2016-04-18",3551
"2016-04-19",3865
"2016-04-20",3817
"2016-04-21",4010
"2016-04-22",4001
"2016-04-25",4190
"2016-04-26",4112
"2016-04-27",4030
"2016-04-28",3977
"2016-04-29",4015
"2016-05-02",3894
"2016-05-03",3928
"2016-05-04",3749
"2016-05-09",3590
"2016-05-10",3643
"2016-05-11",3662
"2016-05-12",3662
"2016-05-13",3614
"2016-05-16",3580
"2016-05-17",3425
"2016-05-18",3338
"2016-05-19",3352
"2016-05-20",3391
"2016-05-23",3498
"2016-05-24",3430
"2016-05-25",3333
"2016-05-26",3217
"2016-05-27",3319
"2016-05-30",3261
"2016-05-31",3401
"2016-06-01",3444
"2016-06-02",3517
"2016-06-03",3677
"2016-06-07",3768
"2016-06-08",3846
"2016-06-09",3832
"2016-06-10",3788
"2016-06-13",3696
"2016-06-14",3556
"2016-06-15",3773
"2016-06-16",3759
"2016-06-17",3967
"2016-06-20",3991
"2016-06-21",3967
"2016-06-22",3880
"2016-06-23",3827
"2016-06-24",3463
"2016-06-27",3498
"2016-06-28",3527
"2016-06-29",3681
"2016-06-30",3652
"2016-07-01",3730
"2016-07-04",3739
"2016-07-05",3972
"2016-07-06",4039
"2016-07-07",4068
"2016-07-08",4083
"2016-07-11",4088
