"","Price"
"2013-03-11",30385
"2013-03-12",30751
"2013-03-13",30647
"2013-03-14",30332
"2013-03-15",31223
"2013-03-18",29756
"2013-03-19",29966
"2013-03-20",28761
"2013-03-21",29075
"2013-03-22",28918
"2013-03-25",28813
"2013-03-26",27241
"2013-03-27",27922
"2013-03-28",28551
"2013-03-29",29232
"2013-04-01",29127
"2013-04-02",28813
"2013-04-03",28289
"2013-04-04",28446
"2013-04-05",28237
"2013-04-08",27608
"2013-04-09",28656
"2013-04-10",30542
"2013-04-11",31799
"2013-04-12",31328
"2013-04-15",31380
"2013-04-16",29599
"2013-04-17",30385
"2013-04-18",29127
"2013-04-19",28080
"2013-04-22",28918
"2013-04-23",29599
"2013-04-24",28970
"2013-04-25",29442
"2013-04-26",30227
"2013-04-29",29913
"2013-04-30",29966
"2013-05-02",29337
"2013-05-03",29494
"2013-05-06",29075
"2013-05-07",28289
"2013-05-08",29075
"2013-05-09",30018
"2013-05-10",30018
"2013-05-13",29180
"2013-05-14",28813
"2013-05-15",28184
"2013-05-16",28027
"2013-05-20",27608
"2013-05-21",28865
"2013-05-22",28761
"2013-05-23",28027
"2013-05-24",28551
"2013-05-27",28656
"2013-05-28",29599
"2013-05-29",29756
"2013-05-30",28603
"2013-05-31",28394
"2013-06-03",28080
"2013-06-04",26979
"2013-06-05",26613
"2013-06-07",24779
"2013-06-10",25775
"2013-06-11",24936
"2013-06-12",24936
"2013-06-13",23679
"2013-06-14",23260
"2013-06-17",22998
"2013-06-18",24465
"2013-06-19",24491
"2013-06-20",24517
"2013-06-21",23862
"2013-06-24",24255
"2013-06-25",22815
"2013-06-26",22579
"2013-06-27",23941
"2013-06-28",24412
"2013-07-01",25329
"2013-07-02",25670
"2013-07-03",25984
"2013-07-04",26194
"2013-07-05",26115
"2013-07-08",24963
"2013-07-09",26036
"2013-07-10",25722
"2013-07-11",25958
"2013-07-12",25932
"2013-07-15",25853
"2013-07-16",26456
"2013-07-17",26875
"2013-07-18",26194
"2013-07-19",26613
"2013-07-22",26298
"2013-07-23",25486
"2013-07-24",25670
"2013-07-25",26089
"2013-07-26",28027
"2013-07-29",28027
"2013-07-30",28813
"2013-07-31",30123
"2013-08-01",30070
"2013-08-02",29808
"2013-08-05",29808
"2013-08-06",29337
"2013-08-07",29284
"2013-08-08",29389
"2013-08-09",29861
"2013-08-12",30070
"2013-08-13",30070
"2013-08-14",29651
"2013-08-16",28446
"2013-08-19",28708
"2013-08-20",27922
"2013-08-21",27870
"2013-08-22",27975
"2013-08-23",27922
"2013-08-26",28289
"2013-08-27",27399
"2013-08-28",27399
"2013-08-29",27503
"2013-08-30",27084
"2013-09-02",26718
"2013-09-03",26560
"2013-09-04",26560
"2013-09-05",26298
"2013-09-06",25775
"2013-09-09",24963
"2013-09-10",24963
"2013-09-11",26089
"2013-09-12",26115
"2013-09-13",26036
"2013-09-16",25617
"2013-09-17",25670
"2013-09-23",25617
"2013-09-24",25853
"2013-09-25",25670
"2013-09-26",25539
"2013-09-27",26718
"2013-09-30",26194
"2013-10-01",25906
"2013-10-02",25748
"2013-10-04",26115
"2013-10-07",25775
"2013-10-08",25670
"2013-10-10",25644
"2013-10-11",25617
"2013-10-14",25460
"2013-10-15",25591
"2013-10-16",25460
"2013-10-17",25617
"2013-10-18",25565
"2013-10-21",24884
"2013-10-22",24596
"2013-10-23",24596
"2013-10-24",24648
"2013-10-25",24386
"2013-10-28",23941
"2013-10-29",24098
"2013-10-30",24884
"2013-10-31",25329
"2013-11-01",24334
"2013-11-04",24124
"2013-11-05",24596
"2013-11-06",24910
"2013-11-07",25094
"2013-11-08",25094
"2013-11-11",25120
"2013-11-12",24936
"2013-11-13",24622
"2013-11-14",24622
"2013-11-15",24622
"2013-11-18",25355
"2013-11-19",25539
"2013-11-20",25565
"2013-11-21",25748
"2013-11-22",25617
"2013-11-25",25251
"2013-11-26",25251
"2013-11-27",25146
"2013-11-28",24779
"2013-11-29",24805
"2013-12-02",23941
"2013-12-03",23208
"2013-12-04",22553
"2013-12-05",23574
"2013-12-06",23469
"2013-12-09",23469
"2013-12-10",23312
"2013-12-11",24779
"2013-12-12",24596
"2013-12-13",25146
"2013-12-16",25067
"2013-12-17",25251
"2013-12-18",24910
"2013-12-19",25120
"2013-12-20",25460
"2013-12-23",25251
"2013-12-24",25120
"2013-12-26",25382
"2013-12-27",25565
"2013-12-30",25775
"2014-01-02",25591
"2014-01-03",25460
"2014-01-06",25853
"2014-01-07",27241
"2014-01-08",27608
"2014-01-09",27975
"2014-01-10",27713
"2014-01-13",28027
"2014-01-14",28027
"2014-01-15",28813
"2014-01-16",28656
"2014-01-17",28027
"2014-01-20",28551
"2014-01-21",28551
"2014-01-22",28865
"2014-01-23",29180
"2014-01-24",28813
"2014-01-27",28289
"2014-01-28",28708
"2014-01-29",28813
"2014-02-03",28446
"2014-02-04",27765
"2014-02-05",27032
"2014-02-06",27556
"2014-02-07",28184
"2014-02-10",28132
"2014-02-11",28342
"2014-02-12",28499
"2014-02-13",28918
"2014-02-14",28813
"2014-02-17",28289
"2014-02-18",28551
"2014-02-19",27975
"2014-02-20",28603
"2014-02-21",29284
"2014-02-24",29389
"2014-02-25",29442
"2014-02-26",30018
"2014-02-27",29861
"2014-02-28",30385
"2014-03-03",30804
"2014-03-04",30018
"2014-03-05",30227
"2014-03-06",29913
"2014-03-07",29808
"2014-03-10",30699
"2014-03-11",30647
"2014-03-12",30332
"2014-03-13",30856
"2014-03-14",30489
"2014-03-17",30123
"2014-03-18",30123
"2014-03-19",29913
"2014-03-20",30175
"2014-03-21",29913
"2014-03-24",29442
"2014-03-25",29599
"2014-03-26",29756
"2014-03-27",30227
"2014-03-28",30175
"2014-03-31",30070
"2014-04-01",29494
"2014-04-02",29966
"2014-04-03",30227
"2014-04-04",29861
"2014-04-07",29599
"2014-04-08",28446
"2014-04-09",28184
"2014-04-10",28446
"2014-04-11",28289
"2014-04-14",28446
"2014-04-15",28027
"2014-04-16",28708
"2014-04-17",28708
"2014-04-18",28813
"2014-04-21",28289
"2014-04-22",28708
"2014-04-23",28603
"2014-04-24",27922
"2014-04-25",28394
"2014-04-28",28603
"2014-04-29",28184
"2014-04-30",28551
"2014-05-02",29075
"2014-05-07",28813
"2014-05-08",28918
"2014-05-09",29337
"2014-05-12",29180
"2014-05-13",28708
"2014-05-14",29337
"2014-05-15",29023
"2014-05-16",30018
"2014-05-19",29442
"2014-05-20",28865
"2014-05-21",28446
"2014-05-22",28027
"2014-05-23",28865
"2014-05-26",28918
