"","Price"
"2017-07-12",6906
"2017-07-13",6639
"2017-07-14",6624
"2017-07-17",6624
"2017-07-18",6609
"2017-07-19",7484
"2017-07-20",7039
"2017-07-21",7010
"2017-07-24",6861
"2017-07-25",6698
"2017-07-26",6624
"2017-07-27",6446
"2017-07-28",6446
"2017-07-31",6521
"2017-08-01",6432
"2017-08-02",6343
"2017-08-03",6061
"2017-08-04",5839
"2017-08-07",6002
"2017-08-08",6239
"2017-08-09",6106
"2017-08-10",5987
"2017-08-11",5868
"2017-08-14",5676
"2017-08-16",5898
"2017-08-17",5928
"2017-08-18",5868
"2017-08-21",5720
"2017-08-22",5646
"2017-08-23",5735
"2017-08-24",5972
"2017-08-25",5824
"2017-08-28",6091
"2017-08-29",6046
"2017-08-30",5943
"2017-08-31",5883
"2017-09-01",5705
"2017-09-04",5513
"2017-09-05",5394
"2017-09-06",5335
"2017-09-07",5379
"2017-09-08",5142
"2017-09-11",5202
"2017-09-12",5276
"2017-09-13",5068
"2017-09-14",5053
"2017-09-15",5128
"2017-09-18",5039
"2017-09-19",4816
"2017-09-20",4683
"2017-09-21",4476
"2017-09-22",4461
"2017-09-25",4461
"2017-09-26",4727
"2017-09-27",5024
"2017-09-28",5024
"2017-09-29",5261
"2017-10-10",5276
"2017-10-11",5291
"2017-10-12",5261
"2017-10-13",5261
"2017-10-16",5513
"2017-10-17",5394
"2017-10-18",5261
"2017-10-19",5246
"2017-10-20",5424
"2017-10-23",5483
"2017-10-24",5498
"2017-10-25",5513
"2017-10-26",5646
"2017-10-27",6091
"2017-10-30",6387
"2017-10-31",6372
"2017-11-01",6476
"2017-11-02",6743
"2017-11-03",6995
"2017-11-06",7010
"2017-11-07",6802
"2017-11-08",6728
"2017-11-09",6684
"2017-11-10",6624
"2017-11-13",6802
"2017-11-14",6506
"2017-11-15",6639
"2017-11-16",6521
"2017-11-17",7113
"2017-11-20",6950
"2017-11-21",6575
"2017-11-22",6250
"2017-11-23",6450
"2017-11-24",6600
"2017-11-27",7225
"2017-11-28",7175
"2017-11-29",7600
"2017-11-30",7400
"2017-12-01",7450
"2017-12-04",7200
"2017-12-05",6775
"2017-12-06",6800
"2017-12-07",6600
"2017-12-08",6375
"2017-12-11",6475
"2017-12-12",6050
"2017-12-13",6250
"2017-12-14",6100
"2017-12-15",5950
"2017-12-18",5775
"2017-12-19",5700
"2017-12-20",5425
"2017-12-21",5150
"2017-12-22",5150
"2017-12-26",4895
"2017-12-27",5025
"2017-12-28",4970
"2018-01-02",5200
"2018-01-03",5150
"2018-01-04",4965
"2018-01-05",5025
"2018-01-08",5600
"2018-01-09",5625
"2018-01-10",5850
"2018-01-11",6150
"2018-01-12",5750
"2018-01-15",5750
"2018-01-16",5875
"2018-01-17",5875
"2018-01-18",5875
